team_slug,planning_year,source_race_name,canonical_race_name,race_id
unibet-rose-rockets-2026,2026,Classic Adélie de Vitré,Route Adélie de Vitré,134
unibet-rose-rockets-2026,2026,Classic Velox Adélie de Vitré,Route Adélie de Vitré,134
unibet-rose-rockets-2026,2026,Clàssica Comunitat Valenciana - Gran Premi València,Clàssica Comunitat Valenciana 1969,411
unibet-rose-rockets-2026,2026,Clásica Jaén Paraiso Interior,Clásica Jaén,16519
unibet-rose-rockets-2026,2026,Danilith Nokere Koerse,Nokere Koerse,122
unibet-rose-rockets-2026,2026,De Brabantse Pijl - La Flèche Brabançonne ME,Brabantse Pijl,77
unibet-rose-rockets-2026,2026,Dwars door Vlaanderen - A travers la Flandre ME,Dwars door Vlaanderen,75
unibet-rose-rockets-2026,2026,E3 Saxo Classic ME,E3 Saxo Classic,47
unibet-rose-rockets-2026,2026,Etoile de Bessèges - Tour du Gard,Étoile de Bessèges,106
unibet-rose-rockets-2026,2026,Gent-Wevelgem in Flanders Fields ME,In Flanders Fields,7
unibet-rose-rockets-2026,2026,Gent-Wevelgem,In Flanders Fields,7
unibet-rose-rockets-2026,2026,Gran Premio Castellón - Ruta de la Cerámica,Gran Premio Castellón,22183
unibet-rose-rockets-2026,2026,Grand Prix Cycliste de Marseille La Marseillaise,GP la Marseillaise,97
unibet-rose-rockets-2026,2026,Grand Prix Cycliste la Marseillaise,GP la Marseillaise,97
unibet-rose-rockets-2026,2026,Grand Prix de Denain,GP de Denain,146
unibet-rose-rockets-2026,2026,Grand Prix de Denain - Porte du Hainaut,GP de Denain,146
unibet-rose-rockets-2026,2026,Grote prijs Jean-Pierre Monseré,GP Jean-Pierre Monseré,2729
unibet-rose-rockets-2026,2026,In Flanders Fields - From Middelkerke to Wevelgem,In Flanders Fields,7
unibet-rose-rockets-2026,2026,La Polynormande,Polynormande,203
unibet-rose-rockets-2026,2026,La Roue Tourangelle Centre Val de Loire - Groupama P.V.L.,La Roue Tourangelle,260
unibet-rose-rockets-2026,2026,Lotto Famenne Ardenne Classic,Famenne Ardenne Classic,7660
unibet-rose-rockets-2026,2026,Minerva Classic Brugge-De Panne ME,Ronde Van Brugge - Tour of Bruges,40
unibet-rose-rockets-2026,2026,NXT Classic ME,NXT Classic,126
unibet-rose-rockets-2026,2026,Omloop Het Nieuwsblad ME,Omloop Nieuwsblad,53
unibet-rose-rockets-2026,2026,Omloop Nieuwsblad ME,Omloop Nieuwsblad,53
unibet-rose-rockets-2026,2026,Oxyclean Classic Brugge-De Panne ME,Ronde Van Brugge - Tour of Bruges,40
unibet-rose-rockets-2026,2026,PostNord Tour of Denmark,Tour of Denmark,192
unibet-rose-rockets-2026,2026,Presidential Cycling Tour of Turkiye,Tour of Türkiye,152
unibet-rose-rockets-2026,2026,Ronde Van Brugge - Tour of Bruges ME,Ronde Van Brugge - Tour of Bruges,40
unibet-rose-rockets-2026,2026,Ronde van Vlaanderen ME,Ronde van Vlaanderen,5
unibet-rose-rockets-2026,2026,Tour du Finistère Pays de Quimper,Tour du Finistère,147
unibet-rose-rockets-2026,2026,Tour du Jura Cycliste,Tour du Jura,1285
unibet-rose-rockets-2026,2026,Tour du Limousin-Périgord - Nouvelle Aquitaine,Tour du Limousin,191
unibet-rose-rockets-2026,2026,TPC en Nouvelle-Aquitaine,Tour du Poitou-Charentes,187
unibet-rose-rockets-2026,2026,Trofeo Ses Salines,Trofeo Ses Salines TTT,27987
unibet-rose-rockets-2026,2026,Vuelta a la Región de Murcia,Vuelta a Murcia,74
unibet-rose-rockets-2026,2026,Vuelta a la Región de Murcia “Costa Cálida”,Vuelta a Murcia,74
