team_slug,pcs_team_slug,team_name,planning_year,profile_path,enabled,notes
bardiani-csf-7-saber,bardiani-csf-7-saber-2026,Bardiani CSF 7 Saber,2026,data/team_profiles/bardiani_csf_7_saber_2026_profile.json,true,
burgos-burpellet-bh,burgos-burpellet-bh-2026,Burgos Burpellet BH,2026,data/team_profiles/burgos_burpellet_bh_2026_profile.json,true,
caja-rural-seguros-rga,caja-rural-seguros-rga-2026,Caja Rural - Seguros RGA,2026,data/team_profiles/caja_rural_seguros_rga_2026_profile.json,true,
cofidis,cofidis-2026,Cofidis,2026,data/team_profiles/cofidis_2026_profile.json,true,
equipo-kern-pharma,equipo-kern-pharma-2026,Equipo Kern Pharma,2026,data/team_profiles/equipo_kern_pharma_2026_profile.json,true,
euskaltel-euskadi,euskaltel-euskadi-2026,Euskaltel - Euskadi,2026,data/team_profiles/euskaltel_euskadi_2026_profile.json,true,
mbh-bank-csb-telecom-fort,mbh-bank-csb-telecom-fort-2026,MBH Bank CSB Telecom Fort,2026,data/team_profiles/mbh_bank_csb_telecom_fort_2026_profile.json,true,
modern-adventure-pro-cycling,modern-adventure-pro-cycling-2026,Modern Adventure Pro Cycling,2026,data/team_profiles/modern_adventure_pro_cycling_2026_profile.json,true,
pinarello-q365-pro-cycling-team,pinarello-q365-pro-cycling-team-2026,Pinarello Q36.5 Pro Cycling Team,2026,data/team_profiles/pinarello_q365_pro_cycling_team_2026_profile.json,true,
solution-tech-nippo-rali,solution-tech-nippo-rali-2026,Solution Tech NIPPO Rali,2026,data/team_profiles/solution_tech_nippo_rali_2026_profile.json,true,
team-flanders-baloise,team-flanders-baloise-2026,Team Flanders - Baloise,2026,data/team_profiles/team_flanders_baloise_2026_profile.json,true,
team-novo-nordisk,team-novo-nordisk-2026,Team Novo Nordisk,2026,data/team_profiles/team_novo_nordisk_2026_profile.json,true,
team-polti-visitmalta,team-polti-visitmalta-2026,Team Polti VisitMalta,2026,data/team_profiles/team_polti_visitmalta_2026_profile.json,true,
totalenergies,totalenergies-2026,TotalEnergies,2026,data/team_profiles/totalenergies_2026_profile.json,true,
tudor-pro-cycling-team,tudor-pro-cycling-team-2026,Tudor Pro Cycling Team,2026,data/team_profiles/tudor_pro_cycling_team_2026_profile.json,true,
unibet-rose-rockets,unibet-rose-rockets-2026,Unibet Rose Rockets,2026,data/team_profiles/unibet_rose_rockets_2026_profile.json,true,
