season_year,team_name,team_slug,team_class,team_rank,team_total_uci_points,top1_share,top3_share,top5_share,n_riders_100,n_riders_150,n_riders_250,n_riders_400,avg_points_per_raceday,median_points_per_raceday,team_points_per_rider_raceday,archetype_anchor_count,archetype_engine_count,archetype_banker_count
2021,Alpecin - Fenix,alpecin-fenix-2021,PRT,1,9296.0,0.251936,0.62629,0.74021,15,13,7,4,5.70079328125,1.5663265000000002,6.152217,3,1,2
2021,Team Arkéa Samsic,team-arkea-samsic-2021,PRT,2,6659.0,0.124193,0.350804,0.518697,18,15,10,5,3.757294833333334,2.873798,4.219899,0,3,5
2021,TotalEnergies,totalenergies-2021,PRT,3,3726.0,0.194579,0.426731,0.60467,12,9,6,3,2.3681560344827597,0.684211,2.875,0,1,3
2021,B&B Hotels p/b KTM,b-b-hotels-pb-ktm-2021,PRT,4,3247.0,0.174315,0.507854,0.636588,11,5,3,3,2.079734074074074,1.242424,2.591381,0,1,2
2021,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2021,PRT,5,2910.0,0.239519,0.491753,0.631615,9,7,3,2,2.5221658,0.8125,3.112299,0,2,2
2021,Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb-2021,PRT,6,2284.0,0.201839,0.474169,0.65543,8,4,4,1,1.8157518636363634,1.2429835,2.134579,0,0,3
2021,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2021,PRT,7,2065.0,0.25908,0.564164,0.758353,6,5,3,1,2.1787886190476193,0.804348,2.438017,0,1,3
2021,Androni Giocattoli - Sidermec,androni-giocattoli-sidermec-2021,PRT,8,2018.0,0.168979,0.431616,0.569872,10,3,3,0,1.583703416666667,1.1142855,1.826244,0,0,1
2021,Bardiani-CSF-Faizanè,bardiani-csf-2021,PRT,9,1648.0,0.154733,0.423543,0.590412,7,4,1,0,1.08695448,0.744681,1.42069,0,0,0
2021,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2021,PRT,10,1481.0,0.271438,0.675895,0.844025,4,4,3,1,1.085084608695652,0.144928,1.370028,0,0,1
2021,Euskaltel - Euskadi,euskaltel-euskadi-2021,PRT,11,1120.0,0.171429,0.438393,0.661607,6,2,0,0,0.8942605454545457,0.3504135,1.039926,0,0,0
2021,Equipo Kern Pharma,equipo-kern-pharma-2021,PRT,12,1066.0,0.253283,0.545966,0.707317,3,2,1,0,0.8265221304347826,0.45098,1.024015,0,0,0
2021,Rally Cycling,rally-cycling-2021,PRT,13,1003.0,0.292124,0.559322,0.732802,3,1,1,0,1.2154105500000003,0.5588234999999999,1.387275,0,0,1
2021,EOLO-Kometa,eolo-kometa-2021,PRT,14,987.0,0.383992,0.743668,0.85917,2,2,2,0,0.8446145217391302,0.185185,1.235294,0,0,1
2021,Burgos - BH,burgos-bh-2021,PRT,15,908.0,0.121145,0.35022,0.562776,3,0,0,0,0.8390676250000001,0.3395745,0.989107,0,0,0
2021,Team Novo Nordisk,team-novo-nordisk-2021,PRT,16,67.0,0.746269,1.0,1.0,0,0,0,0,0.11076464705882352,0.0,0.145336,0,0,0
2022,Alpecin - Deceuninck,alpecin-deceuninck-2022,PRT,1,9961.0,0.199478,0.509185,0.638087,16,14,12,6,5.376034806451615,1.421053,6.249059,3,0,8
2022,Team Arkéa Samsic,team-arkea-samsic-2022,PRT,2,9379.0,0.130824,0.353236,0.532999,19,15,12,7,5.265316411764707,2.2832505000000003,5.193245,1,6,2
2022,TotalEnergies,totalenergies-2022,PRT,3,7642.0,0.149568,0.365873,0.53664,15,13,12,7,5.024473785714286,4.0798915000000004,5.374121,1,3,7
2022,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2022,PRT,4,3173.0,0.171447,0.437126,0.581154,9,7,4,2,2.636913655172415,1.8,2.657454,0,2,4
2022,B&B Hotels - KTM,b-b-hotels-ktm-2022,PRT,5,2619.0,0.327224,0.632684,0.725468,7,3,3,2,1.6029722962962965,0.557377,1.857447,0,1,2
2022,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2022,PRT,6,2201.0,0.175829,0.425716,0.571104,7,5,2,0,2.3134699047619045,1.645833,2.369214,0,0,3
2022,Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb-2022,PRT,7,2170.0,0.176498,0.441935,0.616129,8,5,3,0,1.5290522500000001,0.93042,1.853117,0,0,2
2022,Bardiani-CSF-Faizanè,bardiani-csf-faizane-2022,PRT,8,1718.0,0.259022,0.554715,0.697905,6,2,2,1,1.0497986799999999,0.391304,1.292701,0,0,1
2022,Drone Hopper - Androni Giocattoli,drone-hopper-androni-giocattoli-2022,PRT,9,1680.0,0.363095,0.661309,0.817856,4,4,2,1,1.3397227083333334,0.393897,1.548387,0,0,2
2022,EOLO-Kometa,eolo-kometa-2022,PRT,10,1482.0,0.366397,0.675439,0.803644,4,2,2,1,1.0504605833333331,0.377913,1.367159,0,0,2
2022,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2022,PRT,11,1361.0,0.235856,0.59515,0.748714,4,3,2,0,0.9560732083333333,0.372863,1.130399,0,0,1
2022,Human Powered Health,human-powered-health-2022,PRT,12,948.0,0.256329,0.668776,0.819619,3,3,0,0,0.849341,0.27829800000000005,0.970317,0,0,1
2022,Equipo Kern Pharma,equipo-kern-pharma-2022,PRT,13,865.0,0.19422,0.472833,0.678614,2,1,0,0,0.5486647142857143,0.20398349999999998,0.736797,0,0,0
2022,Burgos - BH,burgos-bh-2022,PRT,14,698.0,0.190544,0.426934,0.577364,1,0,0,0,0.53422275,0.4267855,0.641544,0,0,0
2022,Euskaltel - Euskadi,euskaltel-euskadi-2022,PRT,15,597.0,0.273032,0.541039,0.700168,1,1,0,0,0.4655420909090909,0.2041665,0.545704,0,0,0
2022,Team Novo Nordisk,team-novo-nordisk-2022,PRT,16,98.0,0.5,0.928571,0.989795,0,0,0,0,0.11671427777777778,0.0,0.178832,0,0,0
2023,Lotto Dstny,lotto-dstny-2023,PRT,1,13846.0,0.199769,0.413838,0.569911,20,17,16,10,7.675554103448274,3.988095,7.553737,3,4,7
2023,Israel - Premier Tech,israel-premier-tech-2023,PRT,2,10467.0,0.141206,0.36381,0.475017,21,19,14,9,6.477943499999999,4.544686,6.39011,1,5,10
2023,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2023,PRT,3,6522.0,0.180466,0.514259,0.711745,11,8,6,5,3.528635285714285,1.6280965,4.625532,0,4,3
2023,TotalEnergies,totalenergies-2023,PRT,4,5875.0,0.149447,0.336171,0.488852,14,12,10,7,3.369648464285714,1.8988095,3.730159,0,1,7
2023,Q36.5 Pro Cycling Team,q365-pro-cycling-team-2023,PRT,5,3368.0,0.22209,0.440915,0.636283,10,9,5,1,2.46874316,1.259259,2.604795,0,0,5
2023,Green Project - Bardiani CSF - Faizanè,green-project-bardiani-csf-faizane-2023,PRT,6,3008.0,0.180519,0.42121,0.579455,10,8,4,1,1.573702896551724,0.888889,1.997344,0,0,2
2023,Tudor Pro Cycling Team,tudor-pro-cycling-team-2023,PRT,7,2737.0,0.248447,0.607234,0.732919,9,4,3,2,2.374069428571429,1.090909,2.546047,0,2,1
2023,Bolton Equities Black Spoke,bolton-equities-black-spoke-2023,PRT,8,2284.0,0.175131,0.43739,0.623905,8,6,3,1,2.055176434782608,1.191176,2.325866,0,0,4
2023,EOLO-Kometa,eolo-kometa-2023,PRT,9,2253.0,0.314248,0.636041,0.780737,6,4,3,2,1.8677883181818187,0.495942,1.863524,0,1,1
2023,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2023,PRT,10,2088.0,0.309866,0.497606,0.65661,7,5,1,1,1.4479354800000002,0.5625,1.842895,0,0,1
2023,Equipo Kern Pharma,equipo-kern-pharma-2023,PRT,11,1617.0,0.346939,0.577613,0.713668,5,3,1,1,1.2720098399999997,0.245614,1.471338,0,0,1
2023,Burgos - BH,burgos-bh-2023,PRT,12,1467.0,0.263804,0.504431,0.637356,4,2,1,0,1.0423129583333333,0.7759125,1.292511,0,0,1
2023,Team Corratec - Selle Italia,team-corratec-selle-italia-2023,PRT,13,1466.0,0.126876,0.366985,0.557299,8,3,0,0,1.1057229583333332,0.510606,1.186084,0,0,0
2023,Euskaltel - Euskadi,euskaltel-euskadi-2023,PRT,14,1461.0,0.141684,0.394935,0.604381,6,5,0,0,1.44142055,0.9891305,1.559232,0,0,0
2023,Bingoal WB,bingoal-wb-2023,PRT,15,1394.0,0.146341,0.368005,0.534433,5,3,0,0,1.0975642272727273,0.9006995,1.165552,0,0,0
2023,Human Powered Health,human-powered-health-2023,PRT,16,1300.0,0.214615,0.472308,0.649231,6,2,1,0,1.3690468695652174,0.327869,1.361257,0,0,1
2023,Team Flanders - Baloise,team-flanders--baloise-2023,PRT,17,1066.0,0.223265,0.5394,0.749532,4,3,0,0,0.93802515,0.361979,1.115063,0,0,0
2023,Team Novo Nordisk,team-novo-nordisk-2023,PRT,18,295.0,0.318644,0.752543,0.925424,0,0,0,0,0.3162258947368421,0.0,0.52305,0,0,0
2024,Lotto Dstny,lotto-dstny-2024,PRT,1,12187.0,0.207762,0.552884,0.683761,18,15,10,8,8.01494451724138,2.395349,7.164609,3,3,4
2024,Israel - Premier Tech,israel-premier-tech-2024,PRT,2,12019.0,0.133539,0.348865,0.48906,23,21,14,10,6.5949188125,4.0672885,7.28866,3,4,7
2024,Uno-X Mobility,uno-x-mobility-2024,PRT,3,8831.0,0.152078,0.410259,0.619295,15,12,10,7,4.585740499999999,2.1739515,6.145442,0,5,4
2024,Tudor Pro Cycling Team,tudor-pro-cycling-team-2024,PRT,4,5707.0,0.187139,0.479763,0.634486,12,9,8,5,3.50820827586207,1.396825,3.81484,0,3,5
2024,TotalEnergies,totalenergies-2024,PRT,5,4932.0,0.214112,0.433698,0.599148,11,10,8,4,3.1058141538461532,1.4566564999999998,3.629139,0,1,5
