race,year,team_norm,riders_started,slug,tier,points_scored,is_proteam
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,bingoal wb,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,bolton equities black spoke,6,4-jours-de-dunkerque,Pro,32.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,equipo kern pharma,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,human powered health,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,lotto dstny,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,team flanders - baloise,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,totalenergies,7,4-jours-de-dunkerque,Pro,50.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2023,uno-x pro cycling team,7,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,caja rural - seguros rga,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,euskaltel - euskadi,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,israel - premier tech,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,lotto,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,totalenergies,6,4-jours-de-dunkerque,Pro,55.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,tudor pro cycling team,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,unibet tietema rockets,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,uno-x mobility,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  General classification,2025,wagner bazin wb,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,b&b hotels - ktm,7,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,bingoal pauwels sauces wb,7,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,burgos - bh,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,human powered health,5,4-jours-de-dunkerque,Pro,30.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,sport vlaanderen - baloise,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,team arkéa samsic,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 1,2022,totalenergies,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 6,2024,bingoal wb,5,4-jours-de-dunkerque,Pro,18.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 6,2024,israel - premier tech,6,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 6,2024,lotto dstny,7,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 6,2024,q36.5 pro cycling team,5,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 6,2024,tdt - unibet cycling team,4,4-jours-de-dunkerque,Pro,0.0,True
4 Jours de Dunkerque / Grand Prix des Hauts de France  |  Stage 6,2024,totalenergies,5,4-jours-de-dunkerque,Pro,0.0,True
ADAC Cyclassics,2025,israel - premier tech,7,cyclassics-hamburg,UWT,0.0,True
ADAC Cyclassics,2025,lotto,7,cyclassics-hamburg,UWT,150.0,True
ADAC Cyclassics,2025,q36.5 pro cycling team,7,cyclassics-hamburg,UWT,225.0,True
ADAC Cyclassics,2025,tudor pro cycling team,7,cyclassics-hamburg,UWT,0.0,True
ADAC Cyclassics,2025,uno-x mobility,7,cyclassics-hamburg,UWT,0.0,True
Adriatica Ionica Race / Sulle Rotte della Serenissima  |  Stage 2,2022,bardiani-csf-faizanè,7,adriatica-ionica-race,Lower,0.0,True
Adriatica Ionica Race / Sulle Rotte della Serenissima  |  Stage 2,2022,drone hopper - androni giocattoli,7,adriatica-ionica-race,Lower,20.0,True
Adriatica Ionica Race / Sulle Rotte della Serenissima  |  Stage 2,2022,eolo-kometa,7,adriatica-ionica-race,Lower,0.0,True
Adriatica Ionica Race / Sulle Rotte della Serenissima  |  Stage 2,2022,equipo kern pharma,5,adriatica-ionica-race,Lower,0.0,True
Adriatica Ionica Race / Sulle Rotte della Serenissima  |  Stage 2,2022,euskaltel - euskadi,6,adriatica-ionica-race,Lower,0.0,True
Adriatica Ionica Race / Sulle Rotte della Serenissima  |  Stage 2,2022,team novo nordisk,6,adriatica-ionica-race,Lower,0.0,True
AlUla Tour  |  General classification,2025,caja rural - seguros rga,7,alula-tour,Lower,0.0,True
AlUla Tour  |  General classification,2025,equipo kern pharma,7,alula-tour,Lower,0.0,True
AlUla Tour  |  General classification,2025,q36.5 pro cycling team,7,alula-tour,Lower,100.0,True
AlUla Tour  |  General classification,2025,totalenergies,7,alula-tour,Lower,0.0,True
AlUla Tour  |  General classification,2025,tudor pro cycling team,6,alula-tour,Lower,0.0,True
AlUla Tour  |  General classification,2025,uno-x mobility,7,alula-tour,Lower,0.0,True
AlUla Tour  |  General classification,2025,wagner bazin wb,7,alula-tour,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2022,b&b hotels - ktm,6,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2022,bingoal pauwels sauces wb,7,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2022,sport vlaanderen - baloise,7,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2022,team arkéa samsic,7,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2022,totalenergies,7,ronde-van-drenthe,Lower,75.0,True
Albert Achterhes Profronde van Drenthe,2022,uno-x pro cycling team,7,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2023,bingoal wb,7,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2023,bolton equities black spoke,6,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2023,human powered health,7,ronde-van-drenthe,Lower,40.0,True
Albert Achterhes Profronde van Drenthe,2023,lotto dstny,7,ronde-van-drenthe,Lower,0.0,True
Albert Achterhes Profronde van Drenthe,2023,team flanders - baloise,6,ronde-van-drenthe,Lower,14.0,True
Albert Achterhes Profronde van Drenthe,2023,team novo nordisk,7,ronde-van-drenthe,Lower,5.0,True
Albert Achterhes Profronde van Drenthe,2023,totalenergies,7,ronde-van-drenthe,Lower,0.0,True
Amstel Gold Race,2022,b&b hotels - ktm,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2022,bardiani-csf-faizanè,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2022,bingoal pauwels sauces wb,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2022,sport vlaanderen - baloise,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2022,team arkéa samsic,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2022,totalenergies,6,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2023,israel - premier tech,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2023,lotto dstny,7,amstel-gold-race,UWT,90.0,True
Amstel Gold Race,2023,q36.5 pro cycling team,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2023,team flanders - baloise,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2023,totalenergies,7,amstel-gold-race,UWT,0.0,True
Amstel Gold Race,2023,tudor pro cycling team,7,amstel-gold-race,UWT,46.0,True
Amstel Gold Race,2023,uno-x pro cycling team,7,amstel-gold-race,UWT,0.0,True
Antwerp Port Epic / Sels Trophy,2022,bingoal pauwels sauces wb,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2022,sport vlaanderen - baloise,6,antwerp-port-epic,Lower,32.0,True
Antwerp Port Epic / Sels Trophy,2023,bingoal wb,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2023,bolton equities black spoke,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2023,euskaltel - euskadi,6,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2023,israel - premier tech,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2023,lotto dstny,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2023,q36.5 pro cycling team,6,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2023,team flanders - baloise,5,antwerp-port-epic,Lower,24.0,True
Antwerp Port Epic / Sels Trophy,2023,totalenergies,6,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2024,bingoal wb,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2024,caja rural - seguros rga,7,antwerp-port-epic,Lower,0.0,True
Antwerp Port Epic / Sels Trophy,2024,equipo kern pharma,7,antwerp-port-epic,Lower,0.0,True
