team,prior_team_base,year_a,year_b,prior_team_slug,next_team_slug,next_team_name,continuity_source,prior_total_pts,prior_rank,prior_n_scorers,prior_n_riders_150,prior_n_riders_250,prior_top1_share,prior_top3_share,prior_top5_share,prior_hhi,prior_eff_n,prior_gini,prior_avg_points_per_raceday,prior_team_points_per_rider_raceday,prior_archetype_anchor_count,prior_archetype_engine_count,prior_archetype_banker_count,rank_change,pts_change,next_rank,next_pts,next_top3,next_top5,next_top8
Alpecin - Fenix,alpecin-fenix,2021,2022,alpecin-fenix-2021,alpecin-deceuninck-2022,Alpecin - Deceuninck,pcs_prev_link,9296.0,1,30,13,7,0.251936,0.62629,0.74021,0.146232570836,6.83842179812,0.781434006704,5.70079328125,6.152217,3,1,2,0,-2245.0,1,7051.0,1,1,1
Team Arkéa Samsic,team-arkea-samsic,2021,2022,team-arkea-samsic-2021,team-arkea-samsic-2022,Team Arkéa Samsic,pcs_prev_link,6659.0,2,28,15,10,0.124193,0.350804,0.518697,0.072004069423,13.888103936534,0.558777594233,3.757294833333334,4.219899,0,3,5,-1,-2806.0,3,3853.0,1,1,1
TotalEnergies,totalenergies,2021,2022,totalenergies-2021,totalenergies-2022,TotalEnergies,pcs_prev_link,3726.0,3,24,9,6,0.194579,0.426731,0.60467,0.098163553464,10.187080282976,0.672427983539,2.3681560344827597,2.875,0,1,3,-5,-1543.0,8,2183.0,0,0,1
B&B Hotels p/b KTM,b-b-hotels-pb-ktm,2021,2022,b-b-hotels-pb-ktm-2021,b-b-hotels-ktm-2022,B&B Hotels - KTM,pcs_prev_link,3247.0,4,21,5,3,0.174315,0.507854,0.636588,0.106156328415,9.420069579749,0.636507773557,2.079734074074074,2.591381,0,1,2,-8,-1841.0,12,1406.0,0,0,0
Uno-X Pro Cycling Team,uno-x-pro-cycling-team,2021,2022,uno-x-pro-cycling-team-2021,uno-x-pro-cycling-team-2022,Uno-X Pro Cycling Team,pcs_prev_link,2910.0,5,22,7,3,0.239519,0.491753,0.631615,0.112729984107,8.870754377565,0.704939862543,2.5221658,3.112299,0,2,2,3,2473.0,2,5383.0,1,1,1
Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb,2021,2022,bingoal-pauwels-sauzen-wb-2021,bingoal-pauwels-sauzen-wb-2022,Bingoal Pauwels Sauces WB,pcs_prev_link,2284.0,6,21,4,4,0.201839,0.474169,0.65543,0.109859512295,9.10253449255,0.715468052652,1.8157518636363632,2.134579,0,0,3,-3,-222.0,9,2062.0,0,0,0
Sport Vlaanderen - Baloise,sport-vlaanderen-baloise,2021,2022,sport-vlaanderen-baloise-2021,sport-vlaanderen-baloise-2022,Sport Vlaanderen - Baloise,pcs_prev_link,2065.0,7,19,5,3,0.25908,0.564164,0.758353,0.142073725626,7.03859911883,0.661547330797,2.1787886190476193,2.438017,0,1,3,-3,-186.0,10,1879.0,0,0,0
Androni Giocattoli - Sidermec,androni-giocattoli-sidermec,2021,2022,androni-giocattoli-sidermec-2021,drone-hopper-androni-giocattoli-2022,Drone Hopper - Androni Giocattoli,pcs_prev_link,2018.0,8,20,3,3,0.168979,0.431616,0.569872,0.090956123652,10.994311980863,0.560166831847,1.583703416666667,1.826244,0,0,1,-6,-1004.0,14,1014.0,0,0,0
Bardiani-CSF-Faizanè,bardiani-csf,2021,2022,bardiani-csf-2021,bardiani-csf-faizane-2022,Bardiani-CSF-Faizanè,pcs_prev_link,1648.0,9,19,4,1,0.154733,0.423543,0.590412,0.093663542654,10.676512671468,0.605582524272,1.08695448,1.42069,0,0,0,5,2088.0,4,3736.0,0,1,1
Caja Rural - Seguros RGA,caja-rural-seguros-rga,2021,2022,caja-rural-seguros-rga-2021,caja-rural-seguros-rga-2022,Caja Rural - Seguros RGA,pcs_prev_link,1481.0,10,16,4,3,0.271438,0.675895,0.844025,0.176455801805,5.66714151516,0.750785309573,1.085084608695652,1.370028,0,0,1,4,750.0,6,2231.0,0,0,1
Euskaltel - Euskadi,euskaltel-euskadi,2021,2022,euskaltel-euskadi-2021,euskaltel-euskadi-2022,Euskaltel - Euskadi,pcs_prev_link,1120.0,11,18,2,0,0.171429,0.438393,0.661607,0.110125907655,9.080515396366,0.625892857143,0.8942605454545457,1.039926,0,0,0,-2,77.0,13,1197.0,0,0,0
