season_year,rider_slug,rider_name,team_name,team_slug,team_class,panel_uci_points,profile_team_name,profile_team_slug,total_uci_points_detailed_raw,total_uci_points_detailed,total_uci_points_dual_credit,added_uci_points_dual_credit_world_continental_olympics,added_uci_points_dual_credit_national_regional,excluded_uci_points_world_continental_olympics,excluded_uci_points_other_team_context,excluded_uci_points_ambiguous_match,excluded_uci_points_unresolved_source_blocker,uci_point_diff_vs_panel,uci_point_diff_vs_panel_dual_credit,points_match_within_1,gap_classification,n_starts,n_started,n_finished,n_dnf,n_dns,n_wins,n_podiums,n_top10s,n_scoring_results,uci_points_from_stages,uci_points_from_gc,uci_points_from_one_day,uci_points_from_secondary_classifications,total_pcs_points_detailed_raw,total_pcs_points_detailed,total_pcs_points_dual_credit,n_result_rows_raw,n_result_rows,n_rows_profile_team_match,source_url,source_cache_path,scraped_at,parse_status,status
2021,alexandar-richardson,RICHARDSON Alexandar,Alpecin - Fenix,alpecin-fenix-2021,PRT,33.0,Alpecin - Fenix,alpecin-fenix-2021,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,33,33,29,3,0,0,1,3,2,0.0,3.0,30.0,0.0,9.0,9.0,9.0,36,36,36,https://www.procyclingstats.com/rider/alexandar-richardson/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/alexandar-richardson-2021.md,2026-04-13T02:11:56+00:00,ok,cached
2021,alexander-krieger,KRIEGER Alexander,Alpecin - Fenix,alpecin-fenix-2021,PRT,23.0,Alpecin - Fenix,alpecin-fenix-2021,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,59,58,57,1,1,0,0,1,3,0.0,0.0,23.0,0.0,78.0,78.0,78.0,64,64,64,https://www.procyclingstats.com/rider/alexander-krieger/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/alexander-krieger-2021.md,2026-04-13T02:11:56+00:00,ok,cached
2021,ayco-bastiaens,BASTIAENS Ayco,Alpecin - Fenix,alpecin-fenix-2021,PRT,0.0,Alpecin-Fenix Development Team,alpecin-fenix-development-team-2021,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,resolved_other_team_context,8,8,5,3,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,32,8,8,https://www.procyclingstats.com/rider/ayco-bastiaens/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/ayco-bastiaens-2021.md,2026-04-13T02:11:57+00:00,ok,cached
2021,ben-tulett,TULETT Ben,Alpecin - Fenix,alpecin-fenix-2021,PRT,239.0,Alpecin - Fenix,alpecin-fenix-2021,239.0,239.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,38,37,37,0,1,0,0,5,10,0.0,88.0,151.0,0.0,203.0,203.0,203.0,47,47,47,https://www.procyclingstats.com/rider/ben-tulett/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/ben-tulett-2021.md,2026-04-13T02:11:57+00:00,ok,cached
2021,david-van-der-poel,VAN DER POEL David,Alpecin - Fenix,alpecin-fenix-2021,PRT,8.0,Alpecin - Fenix,alpecin-fenix-2021,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,21,21,20,1,0,1,1,8,2,0.0,5.0,3.0,0.0,3.0,3.0,3.0,27,27,27,https://www.procyclingstats.com/rider/david-van-der-poel/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/david-van-der-poel-2021.md,2026-04-13T02:11:58+00:00,ok,cached
2021,diether-sweeck,SWEECK Diether,Alpecin - Fenix,alpecin-fenix-2021,PRT,0.0,Alpecin-Fenix Development Team,alpecin-fenix-development-team-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,6,6,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,https://www.procyclingstats.com/rider/diether-sweeck/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/diether-sweeck-2021.md,2026-04-13T02:11:58+00:00,ok,cached
2021,dries-de-bondt,DE BONDT Dries,Alpecin - Fenix,alpecin-fenix-2021,PRT,176.0,Alpecin - Fenix,alpecin-fenix-2021,176.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,74,74,74,0,0,0,0,5,15,12.0,5.0,159.0,0.0,206.0,206.0,206.0,86,86,86,https://www.procyclingstats.com/rider/dries-de-bondt/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/dries-de-bondt-2021.md,2026-04-13T02:11:58+00:00,ok,cached
2021,edward-anderson,ANDERSON Edward,Alpecin - Fenix,alpecin-fenix-2021,PRT,0.0,Alpecin - Fenix,alpecin-fenix-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,8,8,7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,9,https://www.procyclingstats.com/rider/edward-anderson/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/edward-anderson-2021.md,2026-04-13T02:11:58+00:00,ok,cached
2021,edward-planckaert,PLANCKAERT Edward,Alpecin - Fenix,alpecin-fenix-2021,PRT,41.0,Alpecin - Fenix,alpecin-fenix-2021,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,50,50,46,4,0,1,1,2,6,20.0,0.0,16.0,5.0,59.0,59.0,59.0,57,57,57,https://www.procyclingstats.com/rider/edward-planckaert/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/edward-planckaert-2021.md,2026-04-13T02:11:59+00:00,ok,cached
2021,floris-de-tier,DE TIER Floris,Alpecin - Fenix,alpecin-fenix-2021,PRT,47.0,Alpecin - Fenix,alpecin-fenix-2021,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,match_within_1,63,63,58,4,0,0,0,1,6,0.0,26.0,21.0,0.0,51.0,51.0,51.0,72,72,72,https://www.procyclingstats.com/rider/floris-de-tier/2021/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/floris-de-tier-2021.md,2026-04-13T02:11:59+00:00,ok,cached
