rider_slug,rider_name,year_from,year_to,team_from,team_from_slug,team_from_class,team_from_annotation,team_from_trainee_flag,team_from_as_from_mmdd,team_from_until_mmdd,team_to,team_to_slug,team_to_class,team_to_match_status,transfer_context_type,had_prior_year_trainee_with_team_to,date_of_birth,age_at_transfer,age_on_jan_1,specialty_primary,specialty_primary_score,origin_team_context_group,origin_is_development_like,origin_class_rank,destination_class_rank,transfer_class_step,transfer_step_label,prior_year_uci_points,prior_year_racedays,prior_year_points_per_raceday,prior_year_result_summary_source,prior_year_n_starts,prior_year_n_started,prior_year_n_finished,prior_year_n_wins,prior_year_n_podiums,prior_year_n_top10s,prior_year_n_scoring_results,prior_year_finish_rate,prior_year_scoring_rate,prior_year_uci_points_from_stages,prior_year_uci_points_from_gc,prior_year_uci_points_from_one_day,prior_year_uci_points_from_secondary,prior_year_stage_points_share,prior_year_gc_points_share,prior_year_one_day_points_share,prior_year_secondary_points_share,prior_year_scored_150_flag,prior_year_scored_250_flag,prior_year_panel_available,prior_year_baseline_available,prior_year_baseline_source,prior_year_racedays_is_proxy,prior_year_uci_points_external_context,prior_year_pcs_points_external_context,prior_year_racedays_external_context_proxy,prior_year_n_starts_external_context,prior_year_n_started_external_context,prior_year_n_finished_external_context,prior_year_n_wins_external_context,prior_year_n_podiums_external_context,prior_year_n_top10s_external_context,prior_year_n_scoring_results_external_context,prior_year_uci_points_from_stages_external_context,prior_year_uci_points_from_gc_external_context,prior_year_uci_points_from_one_day_external_context,prior_year_uci_points_from_secondary_external_context,prior_year_external_context_available,prior_year_external_source_url,prior_year_external_source_cache_path,prior_year_external_scraped_at,prior_year_external_parse_status,prior_year_external_status,prior_panel_team_name,prior_panel_team_slug,prior_panel_team_class,current_year_uci_points,current_year_racedays,current_year_points_per_raceday,uci_points_delta_post_transfer,racedays_delta_post_transfer,points_per_raceday_delta_post_transfer,prior_team_rank_within_roster,new_team_rank_within_roster,old_team_rank,old_team_total_uci_points,old_team_n_riders_150,old_team_depth_rank,new_team_rank,new_team_total_uci_points,new_team_n_riders_150,new_team_depth_rank,new_team_avg_points_per_raceday,new_team_median_points_per_raceday,new_team_points_per_rider_raceday,share_of_new_team_points_at_join,prior_vs_new_team_avg_ppr_ratio,new_team_archetype_anchor_count,new_team_archetype_engine_count,new_team_archetype_banker_count,new_team_top1_share,new_team_top3_share,new_team_top5_share,matched_intra_proteam_transfer_file,pts_carried,uci_pts_from,uci_pts_to,pts_in,n_in,pts_out,n_out,net_pts_delta,net_n_delta,rank_change,pts_change,team_delta_rank_within_year,team_delta_total_pts,profile_source_url,profile_source_cache_path,profile_scraped_at,source_url,source_cache_path,scraped_at,parse_status
edward-anderson,ANDERSON Edward,2020,2021,Hagens Berman Axeon,hagens-berman-axeon-2020,CT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1998-04-18,22.71,22.71,climber,14.0,continental_origin,False,2.0,3.0,1.0,step_up,0.0,13.0,0.0,external_results_page,13.0,13.0,12.0,0.0,0.0,1.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,True,external_results_page,True,0.0,0.0,13.0,13.0,13.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,https://www.procyclingstats.com/rider/edward-anderson/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/edward-anderson-2020.md,2026-04-13T02:35:32+00:00,ok,ok,,,,0.0,7.0,0.0,0.0,-6.0,0.0,,31,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.0,0.0,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/edward-anderson,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/edward-anderson.md,2026-04-12T17:13:03+00:00,https://www.procyclingstats.com/rider/edward-anderson,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/edward-anderson.md,2026-04-12T17:13:03+00:00,ok
tobias-bayer,BAYER Tobias,2020,2021,Tirol KTM Cycling Team,tirol-ktm-cycling-team-2020,CT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1999-11-17,21.13,21.13,oneday,215.0,continental_origin,False,2.0,3.0,1.0,step_up,43.0,22.0,1.9545454545454546,external_results_page,22.0,21.0,18.0,1.0,2.0,14.0,4.0,0.8571428571428571,0.18181818181818182,0.0,5.0,38.0,0.0,0.0,0.11627906976744186,0.8837209302325582,0.0,False,False,False,True,external_results_page,True,43.0,13.0,22.0,22.0,21.0,18.0,1.0,2.0,14.0,4.0,0.0,5.0,38.0,0.0,True,https://www.procyclingstats.com/rider/tobias-bayer/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/tobias-bayer-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,142.0,48.0,2.9583333333333335,99.0,26.0,1.003787878787879,,14,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.004625645438898451,0.34285499545720866,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/tobias-bayer,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/tobias-bayer.md,2026-04-12T17:27:19+00:00,https://www.procyclingstats.com/rider/tobias-bayer,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/tobias-bayer.md,2026-04-12T17:27:19+00:00,ok
laurens-de-vreese,DE VREESE Laurens,2020,2021,Astana Pro Team,astana-pro-team-2020,WT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1988-09-29,32.26,32.26,oneday,775.0,worldtour_origin,False,4.0,3.0,-1.0,step_down,3.0,34.0,0.08823529411764706,external_results_page,34.0,33.0,27.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.029411764705882353,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,False,False,False,True,external_results_page,True,3.0,15.0,34.0,34.0,33.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,True,https://www.procyclingstats.com/rider/laurens-de-vreese/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/laurens-de-vreese-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,16.0,20.0,0.8,13.0,-14.0,0.711764705882353,,24,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.00032271944922547335,0.015477722093143484,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/laurens-de-vreese,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/laurens-de-vreese.md,2026-04-12T17:18:40+00:00,https://www.procyclingstats.com/rider/laurens-de-vreese,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/laurens-de-vreese.md,2026-04-12T17:18:40+00:00,ok
silvan-dillier,DILLIER Silvan,2020,2021,AG2R La Mondiale,ag2r-la-mondiale-2020,WT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1990-08-03,30.41,30.41,oneday,1241.0,worldtour_origin,False,4.0,3.0,-1.0,step_down,124.0,34.0,3.6470588235294117,external_results_page,34.0,34.0,31.0,0.0,1.0,6.0,9.0,0.9117647058823529,0.2647058823529412,0.0,44.0,80.0,0.0,0.0,0.3548387096774194,0.6451612903225806,0.0,False,False,False,True,external_results_page,True,124.0,87.0,34.0,34.0,34.0,31.0,0.0,1.0,6.0,9.0,0.0,44.0,80.0,0.0,True,https://www.procyclingstats.com/rider/silvan-dillier/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/silvan-dillier-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,184.0,59.0,3.1186440677966103,60.0,25.0,-0.5284147557328014,,11,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.01333907056798623,0.6397458465165973,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/silvan-dillier,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/silvan-dillier.md,2026-04-12T17:27:01+00:00,https://www.procyclingstats.com/rider/silvan-dillier,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/silvan-dillier.md,2026-04-12T17:27:01+00:00,ok
xandro-meurisse,MEURISSE Xandro,2020,2021,Circus - Wanty Gobert,circus-wanty-gobert-2020,PRT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1992-01-31,28.92,28.92,gc,1475.0,proteam_origin,False,3.0,3.0,0.0,lateral,267.0,47.0,5.680851063829787,external_results_page,47.0,47.0,41.0,3.0,3.0,8.0,14.0,0.8723404255319149,0.2978723404255319,14.0,171.0,79.0,0.0,0.05303030303030303,0.6477272727272727,0.29924242424242425,0.0,True,True,False,True,external_results_page,True,267.0,225.0,47.0,47.0,47.0,41.0,3.0,3.0,8.0,14.0,14.0,171.0,79.0,0.0,True,https://www.procyclingstats.com/rider/xandro-meurisse/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/xandro-meurisse-2020.md,2026-04-13T02:35:34+00:00,ok,ok,,,,234.0,70.0,3.342857142857143,-33.0,23.0,-2.3379939209726444,,9,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.028722030981067126,0.9965018522096208,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/xandro-meurisse,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/xandro-meurisse.md,2026-04-12T17:27:42+00:00,https://www.procyclingstats.com/rider/xandro-meurisse,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/xandro-meurisse.md,2026-04-12T17:27:42+00:00,ok
jasper-philipsen,PHILIPSEN Jasper,2020,2021,UAE Team Emirates,uae-team-emirates-2020,WT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1998-03-02,22.84,22.84,sprint,6528.0,worldtour_origin,False,4.0,3.0,-1.0,step_down,602.0,50.0,12.04,external_results_page,50.0,50.0,48.0,4.0,11.0,24.0,16.0,0.96,0.32,293.0,40.0,261.0,0.0,0.49326599326599324,0.06734006734006734,0.4393939393939394,0.0,True,True,False,True,external_results_page,True,602.0,638.0,50.0,50.0,50.0,48.0,4.0,11.0,24.0,16.0,293.0,40.0,261.0,0.0,True,https://www.procyclingstats.com/rider/jasper-philipsen/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/jasper-philipsen-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,1777.0,67.0,26.52238805970149,1175.0,17.0,14.482388059701492,,2,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.06475903614457831,2.1119867720164054,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/jasper-philipsen,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/jasper-philipsen.md,2026-04-12T17:17:44+00:00,https://www.procyclingstats.com/rider/jasper-philipsen,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/jasper-philipsen.md,2026-04-12T17:17:44+00:00,ok
edward-planckaert,PLANCKAERT Edward,2020,2021,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2020,PRT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1995-02-01,25.92,25.92,oneday,585.0,proteam_origin,False,3.0,3.0,0.0,lateral,161.0,27.0,5.962962962962963,external_results_page,27.0,27.0,24.0,0.0,1.0,6.0,9.0,0.8888888888888888,0.3333333333333333,3.0,20.0,138.0,0.0,0.018633540372670808,0.12422360248447205,0.8571428571428571,0.0,True,False,False,True,external_results_page,True,161.0,109.0,27.0,27.0,27.0,24.0,0.0,1.0,6.0,9.0,3.0,20.0,138.0,0.0,True,https://www.procyclingstats.com/rider/edward-planckaert/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/edward-planckaert-2020.md,2026-04-13T02:35:32+00:00,ok,ok,,,,41.0,50.0,0.82,-120.0,23.0,-5.1429629629629625,,20,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.017319277108433735,1.0459882807144127,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/edward-planckaert,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/edward-planckaert.md,2026-04-12T17:13:03+00:00,https://www.procyclingstats.com/rider/edward-planckaert,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/edward-planckaert.md,2026-04-12T17:13:03+00:00,ok
lionel-taminiaux,TAMINIAUX Lionel,2020,2021,Bingoal - Wallonie Bruxelles,bingoal-wallonie-bruxelles-2020,PRT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1996-05-21,24.62,24.62,oneday,1085.0,proteam_origin,False,3.0,3.0,0.0,lateral,28.0,42.0,0.6666666666666666,external_results_page,42.0,41.0,35.0,0.0,0.0,5.0,4.0,0.8536585365853658,0.09523809523809523,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,False,False,False,True,external_results_page,True,28.0,38.0,42.0,42.0,41.0,35.0,0.0,0.0,5.0,4.0,0.0,0.0,28.0,0.0,True,https://www.procyclingstats.com/rider/lionel-taminiaux/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/lionel-taminiaux-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,118.0,35.0,3.3714285714285714,90.0,-7.0,2.704761904761905,,15,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.0030120481927710845,0.1169427891481952,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/lionel-taminiaux,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/lionel-taminiaux.md,2026-04-12T17:18:59+00:00,https://www.procyclingstats.com/rider/lionel-taminiaux,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/lionel-taminiaux.md,2026-04-12T17:18:59+00:00,ok
guillaume-van-keirsbulck,VAN KEIRSBULCK Guillaume,2020,2021,CCC Team,ccc-team-2020,WT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,no_profile_match,external_to_panel_transfer,False,1991-02-14,29.88,29.88,oneday,795.0,worldtour_origin,False,4.0,3.0,-1.0,step_down,24.0,36.0,0.6666666666666666,external_results_page,36.0,36.0,31.0,0.0,0.0,1.0,3.0,0.8611111111111112,0.08333333333333333,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,False,False,False,True,external_results_page,True,24.0,45.0,36.0,36.0,36.0,31.0,0.0,0.0,1.0,3.0,0.0,0.0,24.0,0.0,True,https://www.procyclingstats.com/rider/guillaume-van-keirsbulck/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/guillaume-van-keirsbulck-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,6.0,0.0,,-18.0,-36.0,,,28,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.0025817555938037868,0.1169427891481952,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/guillaume-van-keirsbulck,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/guillaume-van-keirsbulck.md,2026-04-12T17:14:59+00:00,https://www.procyclingstats.com/rider/guillaume-van-keirsbulck,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/guillaume-van-keirsbulck.md,2026-04-12T17:14:59+00:00,ok
julien-vermote,VERMOTE Julien,2020,2021,Cofidis,cofidis-2020,WT,,False,,,Alpecin - Fenix,alpecin-fenix-2021,PRT,exact_slug_match,external_to_panel_transfer,False,1989-07-26,31.44,31.44,gc,684.0,worldtour_origin,False,4.0,3.0,-1.0,step_down,47.0,50.0,0.94,external_results_page,50.0,50.0,47.0,0.0,0.0,0.0,7.0,0.94,0.14,0.0,18.0,29.0,0.0,0.0,0.3829787234042553,0.6170212765957447,0.0,False,False,False,True,external_results_page,True,47.0,42.0,50.0,50.0,50.0,47.0,0.0,0.0,0.0,7.0,0.0,18.0,29.0,0.0,True,https://www.procyclingstats.com/rider/julien-vermote/2020/results,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_results_pages/julien-vermote-2020.md,2026-04-13T02:35:33+00:00,ok,ok,,,,0.0,0.0,,-47.0,-50.0,,,38,,,,,1,9296.0,13,2.0,5.70079328125,1.5663265000000002,6.152217,0.005055938037865749,0.16488933269895523,3,1,2,0.251936,0.62629,0.74021,False,,,,,,,,,,,,,,https://www.procyclingstats.com/rider/julien-vermote,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/julien-vermote.md,2026-04-12T17:18:40+00:00,https://www.procyclingstats.com/rider/julien-vermote,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/rider_profile_pages/julien-vermote.md,2026-04-12T17:18:40+00:00,ok
