year_b,next_team_slug,next_team_name,prior_team_slug,year_a,continuity_source,cache_path,matched_prior_team
2022,alpecin-deceuninck-2022,Alpecin - Deceuninck,alpecin-fenix-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/alpecin-deceuninck-2022.md,1
2022,b-b-hotels-ktm-2022,B&B Hotels - KTM,b-b-hotels-pb-ktm-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/b-b-hotels-ktm-2022.md,1
2022,bardiani-csf-faizane-2022,Bardiani-CSF-Faizanè,bardiani-csf-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bardiani-csf-faizane-2022.md,1
2022,bingoal-pauwels-sauzen-wb-2022,Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bingoal-pauwels-sauzen-wb-2022.md,1
2022,burgos-bh-2022,Burgos - BH,burgos-bh-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/burgos-bh-2022.md,1
2022,caja-rural-seguros-rga-2022,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/caja-rural-seguros-rga-2022.md,1
2022,drone-hopper-androni-giocattoli-2022,Drone Hopper - Androni Giocattoli,androni-giocattoli-sidermec-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/drone-hopper-androni-giocattoli-2022.md,1
2022,eolo-kometa-2022,EOLO-Kometa,eolo-kometa-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/eolo-kometa-2022.md,1
2022,equipo-kern-pharma-2022,Equipo Kern Pharma,equipo-kern-pharma-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/equipo-kern-pharma-2022.md,1
2022,euskaltel-euskadi-2022,Euskaltel - Euskadi,euskaltel-euskadi-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/euskaltel-euskadi-2022.md,1
2022,human-powered-health-2022,Human Powered Health,rally-cycling-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/human-powered-health-2022.md,1
2022,sport-vlaanderen-baloise-2022,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/sport-vlaanderen-baloise-2022.md,1
2022,team-arkea-samsic-2022,Team Arkéa Samsic,team-arkea-samsic-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-arkea-samsic-2022.md,1
2022,team-novo-nordisk-2022,Team Novo Nordisk,team-novo-nordisk-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-novo-nordisk-2022.md,1
2022,totalenergies-2022,TotalEnergies,totalenergies-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/totalenergies-2022.md,1
