season,team_name,team_slug,team_class,proteam_rank,team_points_total,top1_share,top3_share,top5_share,imported_n_riders_100_plus,imported_n_riders_150_plus,imported_n_riders_250_plus,imported_n_riders_400_plus,avg_points_per_raceday,median_points_per_raceday,team_points_per_rider_raceday,archetype_anchor_count,archetype_engine_count,archetype_banker_count,team_base_slug,n_riders_50_plus,n_riders_100_plus,n_riders_150_plus,n_riders_250_plus,n_riders_300_plus,n_riders_400_plus,points_outside_top5,n_riders_scoring,effective_contributors,score_depth_index,next_season,next_team_slug,next_proteam_rank,next_team_points_total,next_top3_proteam,next_top5_proteam,next_top8_proteam,next_team_name,continuity_source,has_observed_next_season,team_history_source,rider_history_source
2021,Alpecin - Fenix,alpecin-fenix-2021,PRT,1,9296.0,0.251936,0.62629,0.74021,15,13,7,4,5.70079328125,1.5663265000000002,6.152217,3,1,2,alpecin-fenix,18,15,13,7,5,4,2415.0,30,6.83840323018179,30.691458,2022,alpecin-deceuninck-2022,1,7051.0,1,1,1,Alpecin - Deceuninck,pcs_prev_link,True,imported_history,imported_history
2021,Team Arkéa Samsic,team-arkea-samsic-2021,PRT,2,6659.0,0.124193,0.350804,0.518697,18,15,10,5,3.757294833333334,2.873798,4.219899,0,3,5,team-arkea-samsic,21,18,15,10,8,5,3205.0,28,13.888119941581444,41.307288,2022,team-arkea-samsic-2022,3,3853.0,1,1,1,Team Arkéa Samsic,pcs_prev_link,True,imported_history,imported_history
2021,TotalEnergies,totalenergies-2021,PRT,3,3726.0,0.194579,0.426731,0.60467,12,9,6,3,2.3681560344827597,0.684211,2.875,0,1,3,totalenergies,14,12,9,6,6,3,1473.0,24,10.187095780042705,25.561232,2022,totalenergies-2022,8,2183.0,0,0,1,TotalEnergies,pcs_prev_link,True,imported_history,imported_history
2021,B&B Hotels p/b KTM,b-b-hotels-pb-ktm-2021,PRT,4,3247.0,0.174315,0.507854,0.636588,11,5,3,3,2.079734074074074,1.242424,2.591381,0,1,2,b-b-hotels-pb-ktm,16,11,5,3,3,3,1180.0,21,9.420087472804358,19.122784,2022,b-b-hotels-ktm-2022,12,1406.0,0,0,0,B&B Hotels - KTM,pcs_prev_link,True,imported_history,imported_history
2021,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2021,PRT,5,2910.0,0.239519,0.491753,0.631615,9,7,3,2,2.5221658,0.8125,3.112299,0,2,2,uno-x-pro-cycling-team,13,9,7,3,3,2,1072.0,22,8.870761611048724,19.221305,2022,uno-x-pro-cycling-team-2022,2,5383.0,1,1,1,Uno-X Pro Cycling Team,pcs_prev_link,True,imported_history,imported_history
2021,Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb-2021,PRT,6,2284.0,0.201839,0.474169,0.65543,8,4,4,1,1.8157518636363632,1.2429835,2.134579,0,0,3,bingoal-pauwels-sauzen-wb,12,8,4,4,2,1,787.0,21,9.10255488590084,14.917921,2022,bingoal-pauwels-sauzen-wb-2022,9,2062.0,0,0,0,Bingoal Pauwels Sauces WB,pcs_prev_link,True,imported_history,imported_history
2021,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2021,PRT,7,2065.0,0.25908,0.564164,0.758353,6,5,3,1,2.1787886190476193,0.804348,2.438017,0,1,3,sport-vlaanderen-baloise,9,6,5,3,2,1,499.0,19,7.03859136563586,12.930976,2022,sport-vlaanderen-baloise-2022,10,1879.0,0,0,0,Sport Vlaanderen - Baloise,pcs_prev_link,True,imported_history,imported_history
2021,Androni Giocattoli - Sidermec,androni-giocattoli-sidermec-2021,PRT,8,2018.0,0.168979,0.431616,0.569872,10,3,3,0,1.583703416666667,1.1142855,1.826244,0,0,1,androni-giocattoli-sidermec,12,10,3,3,1,0,868.0,20,10.994335883715532,15.357252,2022,drone-hopper-androni-giocattoli-2022,14,1014.0,0,0,0,Drone Hopper - Androni Giocattoli,pcs_prev_link,True,imported_history,imported_history
2021,Bardiani-CSF-Faizanè,bardiani-csf-2021,PRT,9,1648.0,0.154733,0.423543,0.590412,7,4,1,0,1.08695448,0.744681,1.42069,0,0,0,bardiani-csf,10,7,4,1,0,0,675.0,19,10.676478681667728,14.019307,2022,bardiani-csf-faizane-2022,4,3736.0,0,1,1,Bardiani-CSF-Faizanè,pcs_prev_link,True,imported_history,imported_history
2021,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2021,PRT,10,1481.0,0.271438,0.675895,0.844025,4,4,3,1,1.085084608695652,0.144928,1.370028,0,0,1,caja-rural-seguros-rga,5,4,4,3,2,1,231.0,16,5.667145525810593,9.359821,2022,caja-rural-seguros-rga-2022,6,2231.0,0,0,1,Caja Rural - Seguros RGA,pcs_prev_link,True,imported_history,imported_history
2021,Euskaltel - Euskadi,euskaltel-euskadi-2021,PRT,11,1120.0,0.171429,0.438393,0.661607,6,2,0,0,0.8942605454545457,0.3504135,1.039926,0,0,0,euskaltel-euskadi,8,6,2,0,0,0,379.0,18,9.080511357878127,9.91254,2022,euskaltel-euskadi-2022,13,1197.0,0,0,0,Euskaltel - Euskadi,pcs_prev_link,True,imported_history,imported_history
2021,Equipo Kern Pharma,equipo-kern-pharma-2021,PRT,12,1066.0,0.253283,0.545966,0.707317,3,2,1,0,0.8265221304347826,0.45098,1.024015,0,0,0,equipo-kern-pharma,7,3,2,1,0,0,312.0,18,7.612857410831524,7.517297,2022,equipo-kern-pharma-2022,5,3129.0,0,1,1,Equipo Kern Pharma,pcs_prev_link,True,imported_history,imported_history
2021,Rally Cycling,rally-cycling-2021,PRT,13,1003.0,0.292124,0.559322,0.732802,3,1,1,0,1.2154105500000003,0.5588234999999999,1.387275,0,0,1,rally-cycling,7,3,1,1,0,0,268.0,14,6.701231656708167,5.81812,2022,human-powered-health-2022,15,965.0,0,0,0,Human Powered Health,pcs_prev_link,True,imported_history,imported_history
2021,EOLO-Kometa,eolo-kometa-2021,PRT,14,987.0,0.383992,0.743668,0.85917,2,2,2,0,0.8446145217391302,0.185185,1.235294,0,0,1,eolo-kometa,4,2,2,2,1,0,139.0,16,4.097433869889086,4.590749,2022,eolo-kometa-2022,7,2224.0,0,0,1,EOLO-Kometa,pcs_prev_link,True,imported_history,imported_history
2021,Burgos - BH,burgos-bh-2021,PRT,15,908.0,0.121145,0.35022,0.562776,3,0,0,0,0.8390676250000001,0.3395745,0.989107,0,0,0,burgos-bh,9,3,0,0,0,0,397.0,17,11.186453556212856,8.302647,2022,burgos-bh-2022,11,1444.0,0,0,0,Burgos - BH,pcs_prev_link,True,imported_history,imported_history
2021,Team Novo Nordisk,team-novo-nordisk-2021,PRT,16,67.0,0.746269,1.0,1.0,0,0,0,0,0.1107646470588235,0.0,0.145336,0,0,0,team-novo-nordisk,1,0,0,0,0,0,0.0,3,1.697164461247637,-1.986494,2022,team-novo-nordisk-2022,16,375.0,0,0,0,Team Novo Nordisk,pcs_prev_link,True,imported_history,imported_history
2022,Alpecin - Deceuninck,alpecin-deceuninck-2022,PRT,1,9961.0,0.199478,0.509185,0.638087,16,14,12,6,5.376034806451615,1.421053,6.249059,3,0,8,alpecin-deceuninck,20,16,14,12,11,6,3605.0,35,9.331435819994642,39.177806,,,,,,,,,,False,imported_history,imported_history
2022,Team Arkéa Samsic,team-arkea-samsic-2022,PRT,2,9379.0,0.130824,0.353236,0.532999,19,15,12,7,5.265316411764707,2.2832505000000003,5.193245,1,6,2,team-arkea-samsic,24,19,15,12,9,7,4380.0,31,13.229784025142798,44.601596,,,,,,,,,,False,imported_history,imported_history
2022,TotalEnergies,totalenergies-2022,PRT,3,7642.0,0.149568,0.365873,0.53664,15,13,12,7,5.024473785714286,4.0798915,5.374121,1,3,7,totalenergies,22,15,13,12,9,7,3541.0,26,12.818916628985596,38.943186,2023,totalenergies-2023,7,3049.0,0,0,1,TotalEnergies,pcs_prev_link,True,imported_history,imported_history
2022,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2022,PRT,4,3173.0,0.171447,0.437126,0.581154,9,7,4,2,2.636913655172415,1.8,2.657454,0,2,4,uno-x-pro-cycling-team,16,9,7,4,3,2,1329.0,27,10.846314780201135,21.445369,2023,uno-x-pro-cycling-team-2023,1,6041.0,1,1,1,Uno-X Pro Cycling Team,pcs_prev_link,True,imported_history,imported_history
2022,B&B Hotels - KTM,b-b-hotels-ktm-2022,PRT,5,2619.0,0.327224,0.632684,0.725468,7,3,3,2,1.6029722962962965,0.557377,1.857447,0,1,2,b-b-hotels-ktm,10,7,3,3,3,2,719.0,23,6.058992299898505,11.6086,,,,,,,,,,False,imported_history,imported_history
2022,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2022,PRT,6,2201.0,0.175829,0.425716,0.571104,7,5,2,0,2.3134699047619045,1.645833,2.369214,0,0,3,sport-vlaanderen-baloise,16,7,5,2,2,0,944.0,19,11.056060816994432,17.562714,2023,team-flanders--baloise-2023,13,1552.0,0,0,0,Team Flanders - Baloise,pcs_prev_link,True,imported_history,imported_history
2022,Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb-2022,PRT,7,2170.0,0.176498,0.441935,0.616129,8,5,3,0,1.52905225,0.93042,1.853117,0,0,2,bingoal-pauwels-sauzen-wb,12,8,5,3,2,0,833.0,21,10.293352569567404,16.706684,2023,bingoal-wb-2023,12,1819.0,0,0,0,Bingoal WB,pcs_prev_link,True,imported_history,imported_history
