team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,37.009092,37.009092,7,ZANONCELLO Enrico,oneday,0.207743,19.83885,1.115196,0.159314,119.378096,0.611961,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,59.101191,59.101191,7,ZANONCELLO Enrico,oneday,0.207743,33.228404,1.115196,0.159314,199.662651,0.651617,ZANONCELLO Enrico | ROJAS Vicente | MARCELLUSI Martin,oneday | oneday | hills
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,51.445511,51.445511,7,ZANONCELLO Enrico,oneday,0.207743,28.648735,1.115196,0.159314,172.197601,0.64353,ZANONCELLO Enrico | ROJAS Vicente | MARCELLUSI Martin,oneday | oneday | hills
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,43.673708,43.673708,7,ZANONCELLO Enrico,oneday,0.207743,24.026943,1.115196,0.159314,144.474933,0.633366,ZANONCELLO Enrico | ROJAS Vicente | MARCELLUSI Martin,oneday | oneday | hills
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,37.009092,37.009092,7,ZANONCELLO Enrico,oneday,0.207743,19.83885,1.115196,0.159314,119.378096,0.611961,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,27.072502,27.072502,7,ZANONCELLO Enrico,oneday,0.207743,13.960027,1.115196,0.159314,84.126616,0.581263,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,34.002618,34.002618,7,ZANONCELLO Enrico,oneday,0.207743,18.132104,1.115196,0.159314,109.142474,0.607853,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,37.70215,37.70215,7,ZANONCELLO Enrico,oneday,0.207743,20.457541,1.115196,0.159314,123.068111,0.621981,ZANONCELLO Enrico | ROJAS Vicente | MARCELLUSI Martin,oneday | oneday | hills
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,74,Vuelta a Murcia,2.1,2026-02-13,completed,sprint-friendly one-day,18.944804,18.944804,7,ZANONCELLO Enrico,oneday,0.207743,9.83049,1.115196,0.159314,59.228033,0.58617,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,79.982725,79.982725,7,ZANONCELLO Enrico,oneday,0.207743,42.195095,1.115196,0.159314,254.077657,0.599237,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,16519,Clásica Jaén,1.1,2026-02-16,completed,sprint-friendly one-day,53.676176,53.676176,7,ZANONCELLO Enrico,oneday,0.207743,29.975016,1.115196,0.159314,180.152989,0.645896,ZANONCELLO Enrico | ROJAS Vicente | MARCELLUSI Martin,oneday | oneday | hills
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,109,Giro di Sardegna,2.1,2026-02-25,completed,multi-stage race,45.756954,45.756954,7,MARCELLUSI Martin,hills,0.263245,22.140378,1.165538,0.166505,116.537645,0.413222,MARCELLUSI Martin | ZANONCELLO Enrico | ROJAS Vicente,hills | oneday | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,27602,Visit South Aegean GP,1.1,2026-02-28,completed,sprint-friendly one-day,29.607273,29.607273,7,ZANONCELLO Enrico,oneday,0.207743,15.87108,1.115196,0.159314,95.502478,0.611961,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,27604,Region on Dodecanese GP,1.1,2026-03-01,completed,sprint-friendly one-day,29.607273,29.607273,7,ZANONCELLO Enrico,oneday,0.207743,15.87108,1.115196,0.159314,95.502478,0.611961,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,60.290698,60.290698,7,ZANONCELLO Enrico,oneday,0.207743,30.378252,1.115196,0.159314,183.216727,0.563454,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,54,Strade Bianche,1.UWT,2026-03-07,completed,hard one-day,34.990975,34.990975,7,ZANONCELLO Enrico,oneday,0.207743,17.962577,1.115196,0.159314,107.989373,0.575744,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,3,Tirreno-Adriatico,2.UWT,2026-03-09,completed,multi-stage race,90.421197,90.421197,7,MARCELLUSI Martin,hills,0.263245,47.323904,1.123835,0.160548,253.658175,0.505163,MARCELLUSI Martin | ZANONCELLO Enrico | PALETTI Luca,hills | oneday | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,89,Milano - Torino,1.Pro,2026-03-18,completed,sprint-friendly one-day,81.435794,81.435794,7,ZANONCELLO Enrico,oneday,0.207743,42.795182,1.115196,0.159314,257.725385,0.596149,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,4,Milano-Sanremo,1.UWT,2026-03-21,completed,hard one-day,43.738719,43.738719,7,ZANONCELLO Enrico,oneday,0.207743,22.453222,1.115196,0.159314,134.986716,0.575744,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,114,Coppi e Bartali,2.1,2026-03-25,completed,multi-stage race,42.090168,42.090168,7,MARCELLUSI Martin,hills,0.263245,20.49253,1.165538,0.166505,107.98664,0.418084,MARCELLUSI Martin | ZANONCELLO Enrico | ROJAS Vicente,hills | oneday | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,260,La Roue Tourangelle,1.1,2026-03-29,completed,sprint-friendly one-day,20.516406,20.516406,7,ZANONCELLO Enrico,oneday,0.207743,10.755339,1.115196,0.159314,64.777283,0.59422,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,145,Paris - Camembert,1.1,2026-03-31,completed,sprint-friendly one-day,22.408218,22.408218,7,ZANONCELLO Enrico,oneday,0.207743,11.612946,1.115196,0.159314,69.970284,0.585178,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,134,Route Adélie de Vitré,1.1,2026-04-03,completed,hard one-day,13.072863,13.072863,7,MARCELLUSI Martin,hills,0.263245,6.42782,1.115196,0.159314,38.593262,0.540928,MARCELLUSI Martin | ZANONCELLO Enrico | ROJAS Vicente,hills | oneday | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,217,Région Pays de la Loire Tour,2.Pro,2026-04-07,completed,short stage race,39.841632,39.841632,7,MARCELLUSI Martin,hills,0.263245,18.997892,1.165538,0.166505,99.991705,0.403572,MARCELLUSI Martin | ZANONCELLO Enrico | ROJAS Vicente,hills | oneday | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,139,Tour of Hainan,2.Pro,2026-04-15,completed,multi-stage race,207.514714,207.514714,7,MARCELLUSI Martin,hills,0.263245,104.192223,1.142697,0.163242,555.780444,0.463791,MARCELLUSI Martin | ZANONCELLO Enrico | PALETTI Luca,hills | oneday | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,62,Tour of the Alps,2.Pro,2026-04-20,scheduled,multi-stage race,110.566842,110.566842,7,MARCELLUSI Martin,hills,0.263245,61.562306,1.123835,0.160548,336.421876,0.566827,MARCELLUSI Martin | PALETTI Luca | CONFORTI Lorenzo,hills | fallback | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,152,Tour of Türkiye,2.Pro,2026-04-26,scheduled,multi-stage race,139.60332,139.60332,7,MARCELLUSI Martin,hills,0.263245,73.450038,1.119316,0.159902,399.931775,0.527118,MARCELLUSI Martin | ZANONCELLO Enrico | PALETTI Luca,hills | oneday | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,149,Giro dell'Appennino,1.1,2026-04-26,scheduled,sprint-friendly one-day,30.045764,30.045764,7,ZANONCELLO Enrico,oneday,0.207743,16.329984,1.115196,0.159314,98.232245,0.623332,ZANONCELLO Enrico | ROJAS Vicente | MARCELLUSI Martin,oneday | oneday | hills
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,13,Giro d'Italia,2.UWT,2026-05-08,scheduled,multi-stage race,90.421197,90.421197,7,MARCELLUSI Martin,hills,0.263245,47.323904,1.123835,0.160548,253.658175,0.505163,MARCELLUSI Martin | ZANONCELLO Enrico | PALETTI Luca,hills | oneday | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,27600,Baku-Khankendi Azerbaijan Cycling Race,2.1,2026-05-10,scheduled,multi-stage race,45.756954,45.756954,7,MARCELLUSI Martin,hills,0.263245,22.140378,1.165538,0.166505,116.537645,0.413222,MARCELLUSI Martin | ZANONCELLO Enrico | ROJAS Vicente,hills | oneday | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,539,Grand Prix Criquielion,1.1,2026-05-24,scheduled,sprint-friendly one-day,21.757827,21.757827,7,ZANONCELLO Enrico,oneday,0.207743,11.487661,1.115196,0.159314,69.171009,0.59988,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,10204,Antwerp Port Epic,1.1,2026-05-25,scheduled,sprint-friendly one-day,28.118106,28.118106,7,ZANONCELLO Enrico,oneday,0.207743,15.184788,1.115196,0.159314,91.362864,0.618094,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,211,Tour of Slovenia,2.Pro,2026-06-17,scheduled,multi-stage race,139.38495,139.38495,7,MARCELLUSI Martin,hills,0.263245,74.620456,1.123835,0.160548,401.250463,0.524235,MARCELLUSI Martin | ZANONCELLO Enrico | PALETTI Luca,hills | oneday | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,127,Tour of Magnificent Qinghai,2.Pro,2026-07-05,scheduled,multi-stage race,207.173195,207.173195,7,MARCELLUSI Martin,hills,0.263245,115.906605,1.007036,0.143862,658.281693,0.657931,MARCELLUSI Martin | PALETTI Luca | CONFORTI Lorenzo,hills | fallback | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,32,PostNord Tour of Denmark,2.Pro,2026-07-29,scheduled,multi-stage race,111.803976,111.803976,7,MARCELLUSI Martin,hills,0.263245,61.695484,1.123835,0.160548,335.4121,0.555736,MARCELLUSI Martin | PALETTI Luca | CONFORTI Lorenzo,hills | fallback | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,15209,Czech Tour,2.Pro,2026-08-13,scheduled,short stage race,32.243565,32.243565,7,MARCELLUSI Martin,hills,0.263245,15.78844,1.165538,0.166505,83.377775,0.42335,MARCELLUSI Martin | ZANONCELLO Enrico | PALETTI Luca,hills | oneday | fallback
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,209,GP Kranj,1.1,2026-08-30,scheduled,sprint-friendly one-day,35.158637,35.158637,7,ZANONCELLO Enrico,oneday,0.207743,18.846907,1.115196,0.159314,113.409192,0.611961,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,263,GP Industria & Artigianato,1.Pro,2026-09-06,scheduled,sprint-friendly one-day,71.088677,71.088677,7,ZANONCELLO Enrico,oneday,0.207743,38.014195,1.115196,0.159314,228.797082,0.610099,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,4025,Giro della Toscana,1.1,2026-09-09,scheduled,sprint-friendly one-day,34.249635,34.249635,7,ZANONCELLO Enrico,oneday,0.207743,18.487294,1.115196,0.159314,111.234938,0.617708,ZANONCELLO Enrico | MARCELLUSI Martin | ROJAS Vicente,oneday | hills | oneday
