team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,37.38857,37.38857,7,LEITÃO Iúri,oneday,0.277158,22.718589,1.222565,0.174652,120.806437,0.611961,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,59.801996,59.801996,7,LEITÃO Iúri,oneday,0.277158,37.903115,1.222565,0.174652,202.356932,0.651617,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,52.037848,52.037848,7,LEITÃO Iúri,oneday,0.277158,32.703524,1.222565,0.174652,174.464579,0.64353,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,868,AlUla Tour,2.Pro,2026-01-27,completed,multi-stage race,53.368445,53.368445,7,LEITÃO Iúri,oneday,0.277158,24.543395,1.31488,0.18784,135.132379,0.397002,LEITÃO Iúri | BERWICK Sebastian | MOLENAAR Alex,oneday | hills | oneday
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,35.32613,35.32613,7,LEITÃO Iúri,oneday,0.277158,21.963237,1.222565,0.174652,117.053713,0.633366,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,29.910856,29.910856,7,LEITÃO Iúri,oneday,0.277158,18.174871,1.222565,0.174652,96.645149,0.611961,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,21.849719,21.849719,7,LEITÃO Iúri,oneday,0.277158,12.83091,1.222565,0.174652,68.016424,0.581263,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,27.473892,27.473892,7,LEITÃO Iúri,oneday,0.277158,16.617235,1.222565,0.174652,88.33651,0.607853,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,30.481299,30.481299,7,LEITÃO Iúri,oneday,0.277158,18.721327,1.222565,0.174652,99.664205,0.621981,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,21.192329,21.192329,7,LEITÃO Iúri,oneday,0.277158,12.63516,1.222565,0.174652,67.076681,0.594827,LEITÃO Iúri | MOLENAAR Alex | BERWICK Sebastian,oneday | oneday | hills
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,319,Volta Comunitat Valenciana,2.Pro,2026-02-04,completed,multi-stage race,117.353109,117.353109,7,BERWICK Sebastian,hills,0.260099,59.508498,1.390632,0.198662,348.330043,0.48451,BERWICK Sebastian | LEITÃO Iúri | CASTELLON Jan,hills | oneday | gc
