team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
cofidis,Cofidis,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,39.760617,39.760617,7,IZAGIRRE Ion,hills,0.908744,26.256137,3.558117,0.508302,155.482636,0.56516,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,64.195112,64.195112,7,IZAGIRRE Ion,hills,0.908744,42.110575,3.558117,0.508302,257.330964,0.590642,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,55.760283,55.760283,7,IZAGIRRE Ion,hills,0.908744,36.632594,3.558117,0.508302,222.415077,0.585499,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,868,AlUla Tour,2.Pro,2026-01-27,completed,multi-stage race,68.650559,68.650559,7,IZAGIRRE Ion,hills,0.908744,43.010716,3.712164,0.530309,223.151853,0.371429,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,28.075705,28.075705,7,IZAGIRRE Ion,hills,0.908744,18.611762,3.558117,0.508302,108.639111,0.55452,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,106,Étoile de Bessèges,2.1,2026-02-04,completed,multi-stage race,31.708056,31.708056,7,IZAGIRRE Ion,hills,0.908744,21.425877,3.693729,0.527676,112.750886,0.452989,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,18946,Muscat Classic,1.Pro,2026-02-06,completed,sprint-friendly one-day,38.365386,38.365386,7,IZAGIRRE Ion,hills,0.908744,25.16942,3.558117,0.508302,153.738707,0.590291,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,57,Tour of Oman,2.Pro,2026-02-07,completed,multi-stage race,139.194492,139.194492,7,IZAGIRRE Ion,hills,0.908744,95.35562,3.693729,0.527676,499.424508,0.461315,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,4396,Tour de La Provence,2.1,2026-02-13,completed,short stage race,81.015052,81.015052,7,IZAGIRRE Ion,hills,0.908744,52.761017,3.693729,0.527676,272.975142,0.404556,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,18947,Figueira Champions Classic,1.Pro,2026-02-14,completed,sprint-friendly one-day,89.644279,89.644279,7,IZAGIRRE Ion,hills,0.908744,58.788594,3.558117,0.508302,359.668477,0.591577,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,68.536711,68.536711,7,IZAGIRRE Ion,hills,0.908744,45.396963,3.558117,0.508302,265.943433,0.557326,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,110,Vuelta a Andalucía,2.Pro,2026-02-18,completed,multi-stage race,124.067032,124.067032,7,IZAGIRRE Ion,hills,0.908744,85.528712,3.693729,0.527676,447.172212,0.465554,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,21999,Classic Var,1.1,2026-02-21,completed,sprint-friendly one-day,52.464639,52.464639,7,ANIOŁKOWSKI Stanisław,oneday,0.567983,34.407277,3.558117,0.508302,210.50325,0.591607,ANIOŁKOWSKI Stanisław | IZAGIRRE Ion | COQUARD Bryan,oneday | hills | oneday
cofidis,Cofidis,2026,111,Tour des Alpes-Maritimes,1.1,2026-02-22,completed,short stage race,27.54577,27.54577,7,IZAGIRRE Ion,hills,0.908744,18.576463,3.693729,0.527676,97.871785,0.45225,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,121,Faun-Ardèche Classic,1.Pro,2026-02-28,completed,sprint-friendly one-day,49.76212,49.76212,7,IZAGIRRE Ion,hills,0.908744,33.202414,3.558117,0.508302,188.25466,0.532075,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | ARANBURU Alex,hills | oneday | fallback
cofidis,Cofidis,2026,53,Omloop Nieuwsblad,1.UWT,2026-02-28,completed,hard one-day,37.337676,37.337676,7,IZAGIRRE Ion,hills,0.908744,24.536329,3.558117,0.508302,142.08751,0.537888,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,27602,Visit South Aegean GP,1.1,2026-02-28,completed,sprint-friendly one-day,31.808494,31.808494,7,IZAGIRRE Ion,hills,0.908744,21.004909,3.558117,0.508302,124.386108,0.56516,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,84,Kuurne-Brussel-Kuurne,1.Pro,2026-03-01,completed,sprint-friendly one-day,48.075801,48.075801,7,IZAGIRRE Ion,hills,0.908744,32.096037,3.558117,0.508302,181.498683,0.530041,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,432,Faun Drome Classic,1.Pro,2026-03-01,completed,hard one-day,46.760652,46.760652,7,IZAGIRRE Ion,hills,0.908744,31.098745,3.558117,0.508302,175.198766,0.522626,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,27604,Region on Dodecanese GP,1.1,2026-03-01,completed,sprint-friendly one-day,31.808494,31.808494,7,IZAGIRRE Ion,hills,0.908744,21.004909,3.558117,0.508302,124.386108,0.56516,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,116,Ename Samyn Classic,1.1,2026-03-03,completed,sprint-friendly one-day,18.527871,18.527871,7,IZAGIRRE Ion,hills,0.908744,12.349233,3.558117,0.508302,70.352792,0.535722,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,63.953413,63.953413,7,IZAGIRRE Ion,hills,0.908744,42.640564,3.558117,0.508302,242.554674,0.534565,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,2,Paris-Nice,2.UWT,2026-03-08,completed,multi-stage race,113.422447,113.422447,7,IZAGIRRE Ion,hills,0.908744,78.648549,3.500115,0.500016,412.797674,0.506879,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,89,Milano - Torino,1.Pro,2026-03-18,completed,sprint-friendly one-day,69.723708,69.723708,7,IZAGIRRE Ion,hills,0.908744,46.209507,3.558117,0.508302,270.022099,0.555361,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,122,Nokere Koerse,1.Pro,2026-03-18,completed,sprint-friendly one-day,61.203645,61.203645,7,IZAGIRRE Ion,hills,0.908744,40.65593,3.558117,0.508302,235.158574,0.547436,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,146,GP de Denain,1.Pro,2026-03-19,completed,sprint-friendly one-day,82.964057,82.964057,7,IZAGIRRE Ion,hills,0.908744,55.003006,3.558117,0.508302,320.928935,0.554204,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,123,Bredene Koksijde Classic,1.Pro,2026-03-20,completed,sprint-friendly one-day,71.247011,71.247011,7,IZAGIRRE Ion,hills,0.908744,47.422963,3.558117,0.508302,271.833164,0.540457,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,4,Milano-Sanremo,1.UWT,2026-03-21,completed,hard one-day,46.672095,46.672095,7,IZAGIRRE Ion,hills,0.908744,30.670411,3.558117,0.508302,177.609386,0.537888,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,2729,GP Jean-Pierre Monseré,1.1,2026-03-22,completed,sprint-friendly one-day,31.820657,31.820657,7,IZAGIRRE Ion,hills,0.908744,21.054052,3.558117,0.508302,123.937876,0.561113,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,40,Ronde Van Brugge - Tour of Bruges,1.UWT,2026-03-25,completed,hard one-day,46.672095,46.672095,7,IZAGIRRE Ion,hills,0.908744,30.670411,3.558117,0.508302,177.609386,0.537888,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,7,In Flanders Fields,1.UWT,2026-03-29,completed,hard one-day,37.337676,37.337676,7,IZAGIRRE Ion,hills,0.908744,24.536329,3.558117,0.508302,142.08751,0.537888,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,260,La Roue Tourangelle,1.1,2026-03-29,completed,sprint-friendly one-day,21.945728,21.945728,7,IZAGIRRE Ion,hills,0.908744,14.549735,3.558117,0.508302,84.886524,0.554134,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,145,Paris - Camembert,1.1,2026-03-31,completed,sprint-friendly one-day,23.910712,23.910712,7,IZAGIRRE Ion,hills,0.908744,15.878901,3.558117,0.508302,91.957669,0.548383,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,75,Dwars door Vlaanderen,1.UWT,2026-04-01,completed,hard one-day,46.672095,46.672095,7,IZAGIRRE Ion,hills,0.908744,30.670411,3.558117,0.508302,177.609386,0.537888,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,134,Route Adélie de Vitré,1.1,2026-04-03,completed,hard one-day,13.81564,13.81564,7,IZAGIRRE Ion,hills,0.908744,9.142259,3.558117,0.508302,51.407007,0.515929,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,48,GP Miguel Indurain,1.Pro,2026-04-04,completed,sprint-friendly one-day,73.404004,73.404004,7,IZAGIRRE Ion,hills,0.908744,48.788479,3.558117,0.508302,281.470208,0.545437,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,5,Ronde van Vlaanderen,1.UWT,2026-04-05,completed,hard one-day,46.672095,46.672095,7,IZAGIRRE Ion,hills,0.908744,30.670411,3.558117,0.508302,177.609386,0.537888,IZAGIRRE Ion | ANIOŁKOWSKI Stanisław | COQUARD Bryan,hills | oneday | oneday
cofidis,Cofidis,2026,6,Itzulia Basque Country,2.UWT,2026-04-06,completed,multi-stage race,90.737957,90.737957,7,IZAGIRRE Ion,hills,0.908744,62.918839,3.500115,0.500016,330.238138,0.506879,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
cofidis,Cofidis,2026,217,Région Pays de la Loire Tour,2.Pro,2026-04-07,completed,short stage race,32.553524,32.553524,7,IZAGIRRE Ion,hills,0.908744,21.058092,3.693729,0.527676,109.78822,0.405363,IZAGIRRE Ion | ARANBURU Alex | ANIOŁKOWSKI Stanisław,hills | fallback | oneday
