team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
euskaltel-euskadi,Euskaltel - Euskadi,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,37.332775,37.332775,7,MARTÍN Gotzon,oneday,0.240746,21.534906,1.130289,0.16147,118.507562,0.611961,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,59.704376,59.704376,7,MARTÍN Gotzon,oneday,0.240746,36.002459,1.130289,0.16147,198.638447,0.651617,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,51.956331,51.956331,7,MARTÍN Gotzon,oneday,0.240746,31.052136,1.130289,0.16147,171.242814,0.64353,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,44.092154,44.092154,7,MARTÍN Gotzon,oneday,0.240746,26.055362,1.130289,0.16147,143.597895,0.633366,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,37.332775,37.332775,7,MARTÍN Gotzon,oneday,0.240746,21.534906,1.130289,0.16147,118.507562,0.611961,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,27.283338,27.283338,7,MARTÍN Gotzon,oneday,0.240746,15.181443,1.130289,0.16147,83.382544,0.581263,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,34.298604,34.298604,7,MARTÍN Gotzon,oneday,0.240746,19.688742,1.130289,0.16147,108.333521,0.607853,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,30.438922,30.438922,7,MARTÍN Gotzon,oneday,0.240746,17.757838,1.130289,0.16147,97.798268,0.621981,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,21.167599,21.167599,7,MARTÍN Gotzon,oneday,0.240746,11.968493,1.130289,0.16147,65.797169,0.594827,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,319,Volta Comunitat Valenciana,2.Pro,2026-02-04,completed,multi-stage race,147.938282,147.938282,7,MARTÍN Gotzon,oneday,0.240746,66.608822,1.248995,0.178428,421.96786,0.478481,MARTÍN Gotzon | LÓPEZ Jordi | VAN DER TUUK Axel,oneday | gc | gc
euskaltel-euskadi,Euskaltel - Euskadi,2026,74,Vuelta a Murcia,2.1,2026-02-13,completed,sprint-friendly one-day,15.276443,15.276443,7,MARTÍN Gotzon,oneday,0.240746,8.549992,1.130289,0.16147,46.976008,0.58617,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
