team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,29.398769,29.398769,7,BUDZIŃSKI Marcin,hills,0.211339,13.27876,1.027284,0.146755,75.360198,0.459269,BUDZIŃSKI Marcin | BURATTI Nicolò | AMBROSINI Matteo,hills | hills | oneday
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,46.83171,46.83171,7,BUDZIŃSKI Marcin,hills,0.211339,20.947822,1.027284,0.146755,124.454589,0.483712,BUDZIŃSKI Marcin | AMBROSINI Matteo | ZOCCARATO Samuele,hills | oneday | oneday
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,40.787387,40.787387,7,BUDZIŃSKI Marcin,hills,0.211339,18.284486,1.027284,0.146755,107.613863,0.478757,BUDZIŃSKI Marcin | AMBROSINI Matteo | BURATTI Nicolò,hills | oneday | hills
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,26.092496,26.092496,7,BUDZIŃSKI Marcin,hills,0.211339,11.852136,1.027284,0.146755,65.845085,0.448917,BUDZIŃSKI Marcin | BURATTI Nicolò | AMBROSINI Matteo,hills | hills | oneday
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,4396,Tour de La Provence,2.1,2026-02-13,completed,short stage race,79.660361,79.660361,7,BUDZIŃSKI Marcin,hills,0.211339,35.255413,1.117913,0.159702,200.197421,0.404843,BUDZIŃSKI Marcin | BURATTI Nicolò | VERRE Alessandro,hills | hills | gc
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,63.600788,63.600788,7,BUDZIŃSKI Marcin,hills,0.211339,28.855452,1.027284,0.146755,161.159918,0.45162,BUDZIŃSKI Marcin | BURATTI Nicolò | AMBROSINI Matteo,hills | hills | oneday
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,110,Vuelta a Andalucía,2.Pro,2026-02-18,completed,multi-stage race,154.862213,154.862213,7,BUDZIŃSKI Marcin,hills,0.211339,74.441809,1.117913,0.159702,455.635088,0.516287,BUDZIŃSKI Marcin | BURATTI Nicolò | VERRE Alessandro,hills | hills | gc
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,109,Giro di Sardegna,2.1,2026-02-25,completed,multi-stage race,57.419739,57.419739,7,BUDZIŃSKI Marcin,hills,0.211339,25.565102,1.117913,0.159702,144.486239,0.402747,BUDZIŃSKI Marcin | BURATTI Nicolò | VERRE Alessandro,hills | hills | gc
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,48.057445,48.057445,7,BUDZIŃSKI Marcin,hills,0.211339,22.013491,1.015701,0.1451,118.641693,0.443503,BUDZIŃSKI Marcin | BURATTI Nicolò | AMBROSINI Matteo,hills | hills | oneday
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,54,Strade Bianche,1.UWT,2026-03-07,completed,hard one-day,43.505665,43.505665,7,BUDZIŃSKI Marcin,hills,0.211339,19.510929,1.027284,0.146755,107.384066,0.434567,BUDZIŃSKI Marcin | BURATTI Nicolò | AMBROSINI Matteo,hills | hills | oneday
mbh-bank-csb-telecom-fort,MBH Bank CSB Telecom Fort,2026,89,Milano - Torino,1.Pro,2026-03-18,completed,sprint-friendly one-day,80.962072,80.962072,7,BUDZIŃSKI Marcin,hills,0.211339,36.762751,1.027284,0.146755,204.562535,0.449728,BUDZIŃSKI Marcin | BURATTI Nicolò | AMBROSINI Matteo,hills | hills | oneday
