team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,868,AlUla Tour,2.Pro,2026-01-27,completed,multi-stage race,66.906018,66.906018,7,OLIVER Ben,sprint,0.16434,26.443826,1.023061,0.146152,142.614139,0.37137,OLIVER Ben | MCGILL Scott | DE BOD Stefan,sprint | sprint | tt
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,74,Vuelta a Murcia,2.1,2026-02-13,completed,sprint-friendly one-day,18.522385,18.522385,7,CARPENTER Robin,oneday,0.115739,7.212613,1.019685,0.145669,40.002768,0.391008,CARPENTER Robin | PICKRELL Riley | OLIVER Ben,oneday | hills | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,9800,UAE Tour,2.UWT,2026-02-16,completed,multi-stage race,90.96714,90.96714,7,OLIVER Ben,sprint,0.16434,39.244705,1.025854,0.146551,237.558413,0.490149,OLIVER Ben | LÓPEZ Ian | MCGILL Scott,sprint | climber | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,110,Vuelta a Andalucía,2.Pro,2026-02-18,completed,multi-stage race,123.855991,123.855991,7,OLIVER Ben,sprint,0.16434,52.085108,1.025854,0.146551,315.157139,0.472765,OLIVER Ben | LÓPEZ Ian | PICKRELL Riley,sprint | climber | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,84,Kuurne-Brussel-Kuurne,1.Pro,2026-03-01,completed,sprint-friendly one-day,55.719288,55.719288,7,CARPENTER Robin,oneday,0.115739,20.59678,1.019685,0.145669,118.798608,0.383838,CARPENTER Robin | PICKRELL Riley | CHRISTIAN Sean,oneday | hills | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,116,Ename Samyn Classic,1.1,2026-03-03,completed,sprint-friendly one-day,17.116435,17.116435,7,CARPENTER Robin,oneday,0.115739,6.428345,1.019685,0.145669,36.635257,0.385984,CARPENTER Robin | PICKRELL Riley | OLIVER Ben,oneday | hills | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,122,Nokere Koerse,1.Pro,2026-03-18,completed,sprint-friendly one-day,70.150069,70.150069,7,CARPENTER Robin,oneday,0.115739,27.201215,1.019685,0.145669,151.341802,0.390411,CARPENTER Robin | PICKRELL Riley | OLIVER Ben,oneday | hills | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,146,GP de Denain,1.Pro,2026-03-19,completed,sprint-friendly one-day,75.746479,75.746479,7,CARPENTER Robin,oneday,0.115739,29.904854,1.019685,0.145669,164.161644,0.39297,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,123,Bredene Koksijde Classic,1.Pro,2026-03-20,completed,sprint-friendly one-day,65.62056,65.62056,7,CARPENTER Robin,oneday,0.115739,24.968207,1.019685,0.145669,140.903558,0.387774,CARPENTER Robin | PICKRELL Riley | OLIVER Ben,oneday | hills | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,2729,GP Jean-Pierre Monseré,1.1,2026-03-22,completed,sprint-friendly one-day,28.925475,28.925475,7,CARPENTER Robin,oneday,0.115739,11.627827,0.875555,0.125079,63.18822,0.443392,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,14,Volta Ciclista a Catalunya,2.UWT,2026-03-23,completed,multi-stage race,113.708924,113.708924,7,OLIVER Ben,sprint,0.16434,49.055881,1.025854,0.146551,296.948017,0.490149,OLIVER Ben | LÓPEZ Ian | MCGILL Scott,sprint | climber | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,134,Route Adélie de Vitré,1.1,2026-04-03,completed,hard one-day,12.840574,12.840574,7,CARPENTER Robin,oneday,0.115739,4.632142,1.019685,0.145669,26.875731,0.373692,CARPENTER Robin | PICKRELL Riley | CHRISTIAN Sean,oneday | hills | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,56,Scheldeprijs,1.Pro,2026-04-08,completed,hard one-day,37.536517,37.536517,7,CARPENTER Robin,oneday,0.115739,10.235949,1.019685,0.145669,61.723386,0.257153,CARPENTER Robin | DE BOD Stefan | PICKRELL Riley,oneday | tt | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,8,Paris-Roubaix,1.UWT,2026-04-12,completed,hard one-day,42.759244,42.759244,7,CARPENTER Robin,oneday,0.115739,16.413008,1.019685,0.145669,90.828664,0.381785,CARPENTER Robin | PICKRELL Riley | OLIVER Ben,oneday | hills | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,437,Ronde van Limburg,1.1,2026-04-15,completed,sprint-friendly one-day,30.559882,30.559882,7,CARPENTER Robin,oneday,0.115739,12.388585,0.875555,0.125079,67.102032,0.446311,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,15075,Classic Grand Besançon Doubs,1.1,2026-04-17,completed,sprint-friendly one-day,48.127183,48.127183,7,CARPENTER Robin,oneday,0.115739,20.414861,0.875555,0.125079,108.790562,0.461369,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,1285,Tour du Jura,1.1,2026-04-18,completed,sprint-friendly one-day,37.882943,37.882943,7,CARPENTER Robin,oneday,0.115739,15.608934,0.875555,0.125079,84.014879,0.452024,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,152,Tour of Türkiye,2.Pro,2026-04-26,scheduled,multi-stage race,140.508733,140.508733,7,OLIVER Ben,sprint,0.16434,68.318224,0.878348,0.125478,394.969239,0.597317,OLIVER Ben | MCGILL Scott | LÓPEZ Ian,sprint | sprint | climber
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,148,Tro-Bro Leon,1.Pro,2026-05-10,scheduled,sprint-friendly one-day,72.78384,72.78384,7,CARPENTER Robin,oneday,0.115739,28.868062,1.019685,0.145669,157.926606,0.393633,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,765,Tour de Hongrie,2.Pro,2026-05-13,scheduled,multi-stage race,115.486589,115.486589,7,OLIVER Ben,sprint,0.16434,48.505884,1.024738,0.146391,273.088765,0.4317,OLIVER Ben | MCGILL Scott | DE BOD Stefan,sprint | sprint | tt
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,211,Tour of Slovenia,2.Pro,2026-06-17,scheduled,multi-stage race,140.310402,140.310402,7,OLIVER Ben,sprint,0.16434,57.788001,1.022478,0.146068,367.457489,0.49856,OLIVER Ben | LÓPEZ Ian | PICKRELL Riley,sprint | climber | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,258,Sibiu Cycling Tour,2.1,2026-07-04,scheduled,short stage race,56.084553,56.084553,7,OLIVER Ben,sprint,0.16434,20.900056,1.023061,0.146152,118.118137,0.368257,OLIVER Ben | DE BOD Stefan | PICKRELL Riley,sprint | tt | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,32,PostNord Tour of Denmark,2.Pro,2026-07-29,scheduled,multi-stage race,112.743369,112.743369,7,LÓPEZ Ian,climber,0.115739,47.387797,0.874973,0.124996,304.04514,0.571801,LÓPEZ Ian | PICKRELL Riley | OLIVER Ben,climber | hills | sprint
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,15209,Czech Tour,2.Pro,2026-08-13,scheduled,short stage race,32.234879,32.234879,7,OLIVER Ben,sprint,0.16434,11.057838,1.023061,0.146152,68.141336,0.371459,OLIVER Ben | PICKRELL Riley | DE BOD Stefan,sprint | hills | tt
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,265,Philly Cycling Classic,1.1,2026-08-30,scheduled,sprint-friendly one-day,34.256825,34.256825,7,CARPENTER Robin,oneday,0.115739,13.927165,0.875555,0.125079,75.320508,0.447076,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,13191,Maryland Cycling Classic,2.Pro,2026-09-05,scheduled,sprint-friendly one-day,105.741774,105.741774,7,CARPENTER Robin,oneday,0.115739,45.583619,0.875555,0.125079,242.688731,0.470363,CARPENTER Robin | OLIVER Ben | PICKRELL Riley,oneday | sprint | hills
