team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,27.165772,27.165772,7,NENCINI Tommaso,oneday,0.141852,12.293538,1.014872,0.144982,75.405422,0.55452,NENCINI Tommaso | RAJOVIĆ Dušan | ARASHIRO Yukiya,oneday | fallback | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,319,Volta Comunitat Valenciana,2.Pro,2026-02-04,completed,multi-stage race,118.136994,118.136994,7,RAJOVIĆ Dušan,fallback,0.291516,65.850853,1.063581,0.15194,331.661907,0.532933,RAJOVIĆ Dušan | FABBRO Matteo | UMBA Santiago,fallback | gc | gc
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,106,Étoile de Bessèges,2.1,2026-02-04,completed,multi-stage race,31.258768,31.258768,7,RAJOVIĆ Dušan,fallback,0.291516,16.709896,1.073155,0.153308,78.8288,0.459972,RAJOVIĆ Dušan | FABBRO Matteo | CONTI Valerio,fallback | gc | fallback
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,109,Giro di Sardegna,2.1,2026-02-25,completed,multi-stage race,57.740232,57.740232,7,RAJOVIĆ Dušan,fallback,0.291516,28.977853,1.086558,0.155223,135.94489,0.405868,RAJOVIĆ Dušan | FABBRO Matteo | NENCINI Tommaso,fallback | gc | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,49.33671,49.33671,7,RAJOVIĆ Dušan,fallback,0.291516,23.094474,1.014872,0.144982,133.155966,0.534565,RAJOVIĆ Dušan | NENCINI Tommaso | ARASHIRO Yukiya,fallback | oneday | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,54,Strade Bianche,1.UWT,2026-03-07,completed,hard one-day,45.161247,45.161247,7,RAJOVIĆ Dušan,fallback,0.291516,20.009261,1.014872,0.144982,122.464562,0.537888,RAJOVIĆ Dušan | NENCINI Tommaso | ARASHIRO Yukiya,fallback | oneday | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,3,Tirreno-Adriatico,2.UWT,2026-03-09,completed,multi-stage race,90.282966,90.282966,7,RAJOVIĆ Dušan,fallback,0.291516,50.029014,1.076985,0.153855,255.99958,0.532653,RAJOVIĆ Dušan | FABBRO Matteo | UMBA Santiago,fallback | gc | gc
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,132,Tour de Taiwan,2.1,2026-03-15,completed,multi-stage race,42.479398,42.479398,7,RAJOVIĆ Dušan,fallback,0.291516,21.446854,1.086558,0.155223,100.925183,0.411436,RAJOVIĆ Dušan | FABBRO Matteo | NENCINI Tommaso,fallback | gc | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,89,Milano - Torino,1.Pro,2026-03-18,completed,sprint-friendly one-day,67.473502,67.473502,7,NENCINI Tommaso,oneday,0.141852,30.593389,1.014872,0.144982,187.508154,0.555361,NENCINI Tommaso | RAJOVIĆ Dušan | ARASHIRO Yukiya,oneday | fallback | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,114,Coppi e Bartali,2.1,2026-03-25,completed,multi-stage race,53.080941,53.080941,7,RAJOVIĆ Dušan,fallback,0.291516,26.865421,1.086558,0.155223,126.564739,0.413647,RAJOVIĆ Dušan | FABBRO Matteo | NENCINI Tommaso,fallback | gc | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,56,Scheldeprijs,1.Pro,2026-04-08,completed,hard one-day,38.568924,38.568924,7,RAJOVIĆ Dušan,fallback,0.291516,15.360425,1.014872,0.144982,78.676199,0.363386,RAJOVIĆ Dušan | NENCINI Tommaso | ARASHIRO Yukiya,fallback | oneday | oneday
