team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
team-polti-visitmalta,Team Polti VisitMalta,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,37.186564,37.186564,7,LONARDI Giovanni,oneday,0.259055,22.414085,1.106782,0.158112,122.830643,0.641458,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,59.446404,59.446404,7,LONARDI Giovanni,oneday,0.259055,37.387179,1.106782,0.158112,207.24926,0.68905,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,51.735626,51.735626,7,LONARDI Giovanni,oneday,0.259055,32.26072,1.106782,0.158112,178.428171,0.679316,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,43.908904,43.908904,7,LONARDI Giovanni,oneday,0.259055,27.084771,1.106782,0.158112,149.36687,0.667082,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,37.186564,37.186564,7,LONARDI Giovanni,oneday,0.259055,22.414085,1.106782,0.158112,122.830643,0.641458,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,27.182878,27.182878,7,LONARDI Giovanni,oneday,0.259055,15.829863,1.106782,0.158112,85.905825,0.604367,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,34.163994,34.163994,7,LONARDI Giovanni,oneday,0.259055,20.496673,1.106782,0.158112,112.177848,0.636372,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,30.315554,30.315554,7,LONARDI Giovanni,oneday,0.259055,18.471354,1.106782,0.158112,101.526307,0.653378,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,21.087035,21.087035,7,LONARDI Giovanni,oneday,0.259055,12.469315,1.106782,0.158112,67.96661,0.620693,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,319,Volta Comunitat Valenciana,2.Pro,2026-02-04,completed,multi-stage race,117.954216,117.954216,7,LONARDI Giovanni,oneday,0.259055,56.164816,1.225919,0.175131,338.836778,0.477332,LONARDI Giovanni | CRESCIOLI Ludovico | PESENTI Thomas,oneday | hills | hills
team-polti-visitmalta,Team Polti VisitMalta,2026,106,Étoile de Bessèges,2.1,2026-02-04,completed,multi-stage race,31.153256,31.153256,7,LONARDI Giovanni,oneday,0.259055,14.659318,1.225919,0.175131,85.644607,0.44526,LONARDI Giovanni | PEÑALVER Manuel | CRESCIOLI Ludovico,oneday | oneday | hills
team-polti-visitmalta,Team Polti VisitMalta,2026,4396,Tour de La Provence,2.1,2026-02-13,completed,short stage race,79.144612,79.144612,7,LONARDI Giovanni,oneday,0.259055,36.531615,1.225919,0.175131,206.47405,0.408814,LONARDI Giovanni | PEÑALVER Manuel | CRESCIOLI Ludovico,oneday | oneday | hills
team-polti-visitmalta,Team Polti VisitMalta,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,64.276008,64.276008,7,LONARDI Giovanni,oneday,0.259055,38.195765,1.106782,0.158112,208.484787,0.626002,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,21999,Classic Var,1.1,2026-02-21,completed,sprint-friendly one-day,60.707585,60.707585,7,LONARDI Giovanni,oneday,0.259055,38.241299,1.106782,0.158112,212.072689,0.690875,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,111,Tour des Alpes-Maritimes,1.1,2026-02-22,completed,short stage race,33.627244,33.627244,7,LONARDI Giovanni,oneday,0.259055,15.875269,1.225919,0.175131,92.324558,0.444323,LONARDI Giovanni | PEÑALVER Manuel | CRESCIOLI Ludovico,oneday | oneday | hills
team-polti-visitmalta,Team Polti VisitMalta,2026,109,Giro di Sardegna,2.1,2026-02-25,completed,multi-stage race,45.617644,45.617644,7,LONARDI Giovanni,oneday,0.259055,21.118566,1.225919,0.175131,119.739713,0.412979,LONARDI Giovanni | PEÑALVER Manuel | CRESCIOLI Ludovico,oneday | oneday | hills
team-polti-visitmalta,Team Polti VisitMalta,2026,27602,Visit South Aegean GP,1.1,2026-02-28,completed,sprint-friendly one-day,29.749251,29.749251,7,LONARDI Giovanni,oneday,0.259055,17.931268,1.106782,0.158112,98.264515,0.641458,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,27604,Region on Dodecanese GP,1.1,2026-03-01,completed,sprint-friendly one-day,29.749251,29.749251,7,LONARDI Giovanni,oneday,0.259055,17.931268,1.106782,0.158112,98.264515,0.641458,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,60.509403,60.509403,7,LONARDI Giovanni,oneday,0.259055,34.524031,1.147583,0.16394,186.289176,0.563454,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,54,Strade Bianche,1.UWT,2026-03-07,completed,hard one-day,43.926633,43.926633,7,LONARDI Giovanni,oneday,0.259055,25.479306,1.106782,0.158112,138.112371,0.600177,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
team-polti-visitmalta,Team Polti VisitMalta,2026,3,Tirreno-Adriatico,2.UWT,2026-03-09,completed,multi-stage race,90.159162,90.159162,7,LONARDI Giovanni,oneday,0.259055,42.56998,1.225919,0.175131,256.124457,0.46907,LONARDI Giovanni | CRESCIOLI Ludovico | PESENTI Thomas,oneday | hills | hills
team-polti-visitmalta,Team Polti VisitMalta,2026,89,Milano - Torino,1.Pro,2026-03-18,completed,sprint-friendly one-day,81.798338,81.798338,7,LONARDI Giovanni,oneday,0.259055,48.441116,1.106782,0.158112,264.149408,0.622285,LONARDI Giovanni | PEÑALVER Manuel | CROZZOLO Fabrizio,oneday | oneday | oneday
