team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,1,Tour Down Under,2.UWT,2026-01-20,completed,multi-stage race,114.433664,114.433664,7,TRENTIN Matteo,oneday,0.784849,70.277038,3.102667,0.443238,403.469166,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,868,AlUla Tour,2.Pro,2026-01-27,completed,multi-stage race,54.8332,54.8332,7,TRENTIN Matteo,oneday,0.784849,32.733362,3.092429,0.441776,166.077729,0.365456,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,36.439062,36.439062,7,TRENTIN Matteo,oneday,0.784849,27.650119,2.671487,0.381641,138.799976,0.633366,TRENTIN Matteo | MOZZATO Luca | PLUIMERS Rick,oneday | oneday | oneday
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,30.791442,30.791442,7,TRENTIN Matteo,oneday,0.784849,22.930731,2.671487,0.381641,114.750104,0.611961,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,22.455663,22.455663,7,TRENTIN Matteo,oneday,0.784849,16.264886,2.671487,0.381641,81.031303,0.581263,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,28.288855,28.288855,7,TRENTIN Matteo,oneday,0.784849,20.987894,2.671487,0.381641,104.9763,0.607853,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,1172,Cadel Evans Great Ocean Road Race,1.UWT,2026-02-01,completed,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,31.416594,31.416594,7,TRENTIN Matteo,oneday,0.784849,23.602255,2.671487,0.381641,118.291822,0.621981,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,18946,Muscat Classic,1.Pro,2026-02-06,completed,sprint-friendly one-day,46.144746,46.144746,7,TRENTIN Matteo,oneday,0.784849,35.555522,2.671487,0.381641,178.914267,0.651065,TRENTIN Matteo | MOZZATO Luca | PLUIMERS Rick,oneday | oneday | oneday
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,57,Tour of Oman,2.Pro,2026-02-07,completed,multi-stage race,175.276224,175.276224,7,TRENTIN Matteo,oneday,0.784849,107.767063,3.087729,0.441104,608.097104,0.479964,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,18947,Figueira Champions Classic,1.Pro,2026-02-14,completed,sprint-friendly one-day,107.788247,107.788247,7,TRENTIN Matteo,oneday,0.784849,83.197405,2.671487,0.381641,418.759788,0.653087,TRENTIN Matteo | MOZZATO Luca | PLUIMERS Rick,oneday | oneday | oneday
