team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
unibet-rose-rockets,Unibet Rose Rockets,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,39.480417,39.480417,7,GROENEWEGEN Dylan,sprint,0.978735,25.662342,2.368396,0.338342,137.545425,0.603261,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,63.71893,63.71893,7,GROENEWEGEN Dylan,sprint,0.978735,43.931226,2.368396,0.338342,234.510828,0.654301,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,55.349461,55.349461,7,GROENEWEGEN Dylan,sprint,0.978735,37.709197,2.368396,0.338342,201.47826,0.643838,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,46.86435,46.86435,7,GROENEWEGEN Dylan,sprint,0.978735,31.447717,2.368396,0.338342,168.218853,0.630688,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,39.480417,39.480417,7,GROENEWEGEN Dylan,sprint,0.978735,25.662342,2.368396,0.338342,137.545425,0.603261,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,28.655841,28.655841,7,GROENEWEGEN Dylan,sprint,0.978735,17.722471,2.904514,0.414931,96.863998,0.504802,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,36.244601,36.244601,7,GROENEWEGEN Dylan,sprint,0.978735,23.388297,2.747461,0.392494,125.52836,0.552631,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,32.269486,32.269486,7,GROENEWEGEN Dylan,sprint,0.978735,21.283262,2.368396,0.338342,114.000727,0.615958,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,22.301991,22.301991,7,GROENEWEGEN Dylan,sprint,0.978735,14.098115,2.904514,0.414931,76.232124,0.514652,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,106,Étoile de Bessèges,2.1,2026-02-04,completed,multi-stage race,39.417435,39.417435,7,GROENEWEGEN Dylan,sprint,0.978735,25.568549,2.893121,0.413303,121.371154,0.42891,GROENEWEGEN Dylan | KUBIŠ Lukáš | VENTURINI Clément,sprint | fallback | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,4396,Tour de La Provence,2.1,2026-02-13,completed,short stage race,80.57471,80.57471,7,GROENEWEGEN Dylan,sprint,0.978735,53.760755,2.944577,0.420654,241.698561,0.400465,GROENEWEGEN Dylan | KUBIŠ Lukáš | VENTURINI Clément,sprint | fallback | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,74,Vuelta a Murcia,2.1,2026-02-13,completed,sprint-friendly one-day,16.063108,16.063108,7,GROENEWEGEN Dylan,sprint,0.978735,10.013918,2.904514,0.414931,54.517738,0.508365,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,68.050899,68.050899,7,GROENEWEGEN Dylan,sprint,0.978735,43.321011,2.747461,0.392494,233.586355,0.544619,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,16519,Clásica Jaén,1.1,2026-02-16,completed,sprint-friendly one-day,57.784717,57.784717,7,GROENEWEGEN Dylan,sprint,0.978735,39.506284,2.368396,0.338342,211.023915,0.6469,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,21999,Classic Var,1.1,2026-02-21,completed,sprint-friendly one-day,65.093724,65.093724,7,GROENEWEGEN Dylan,sprint,0.978735,44.978682,2.368396,0.338342,240.06224,0.656263,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,111,Tour des Alpes-Maritimes,1.1,2026-02-22,completed,short stage race,34.223302,34.223302,7,GROENEWEGEN Dylan,sprint,0.978735,20.415479,2.893121,0.413303,103.590589,0.415346,GROENEWEGEN Dylan | KUBIŠ Lukáš | VENTURINI Clément,sprint | fallback | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,121,Faun-Ardèche Classic,1.Pro,2026-02-28,completed,sprint-friendly one-day,49.422213,49.422213,7,GROENEWEGEN Dylan,sprint,0.978735,29.482225,2.904514,0.414931,164.057751,0.489026,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,53,Omloop Nieuwsblad,1.UWT,2026-02-28,completed,hard one-day,37.081506,37.081506,7,GROENEWEGEN Dylan,sprint,0.978735,23.0831,2.904514,0.414931,124.437247,0.498444,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,27602,Visit South Aegean GP,1.1,2026-02-28,completed,sprint-friendly one-day,31.584333,31.584333,7,GROENEWEGEN Dylan,sprint,0.978735,20.529873,2.368396,0.338342,110.036339,0.603261,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,84,Kuurne-Brussel-Kuurne,1.Pro,2026-03-01,completed,sprint-friendly one-day,47.748426,47.748426,7,GROENEWEGEN Dylan,sprint,0.978735,28.32967,2.904514,0.414931,158.074679,0.486703,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,432,Faun Drome Classic,1.Pro,2026-03-01,completed,hard one-day,46.446455,46.446455,7,GROENEWEGEN Dylan,sprint,0.978735,27.355617,2.904514,0.414931,152.471192,0.479471,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,27604,Region on Dodecanese GP,1.1,2026-03-01,completed,sprint-friendly one-day,31.584333,31.584333,7,GROENEWEGEN Dylan,sprint,0.978735,20.529873,2.368396,0.338342,110.036339,0.603261,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,116,Ename Samyn Classic,1.1,2026-03-03,completed,sprint-friendly one-day,18.400616,18.400616,7,GROENEWEGEN Dylan,sprint,0.978735,11.083131,2.904514,0.414931,61.376098,0.49319,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,63.514925,63.514925,7,GROENEWEGEN Dylan,sprint,0.978735,38.139953,2.904514,0.414931,211.533845,0.491868,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
unibet-rose-rockets,Unibet Rose Rockets,2026,54,Strade Bianche,1.UWT,2026-03-07,completed,hard one-day,46.351882,46.351882,7,GROENEWEGEN Dylan,sprint,0.978735,28.853875,2.904514,0.414931,155.546556,0.498444,GROENEWEGEN Dylan | VENTURINI Clément | JOHANNINK Jelle,sprint | oneday | oneday
