race_id,race_name,category,date_label,month,year
868,AlUla Tour,2.Pro,27.01-31.01,1,2026
24922,Classica Camp de Morvedre,1.1,23.01,1,2026
411,Clàssica Comunitat Valenciana 1969,1.1,25.01,1,2026
22183,Gran Premio Castellón,1.1,24.01,1,2026
27605,Pune Grand Tour,2.2,19.01-23.01,1,2026
1,Tour Down Under,2.UWT,20.01-25.01,1,2026
460,Tour of Sharjah,2.2,23.01-27.01,1,2026
274,Trofeo Andratx - Pollença,1.1,31.01,1,2026
271,Trofeo Calvià,1.1,28.01,1,2026
100,Trofeo Serra Tramuntana,1.1,30.01,1,2026
27987,Trofeo Ses Salines TTT,1.1,29.01,1,2026
454,Vuelta al Táchira,2.2,09.01-18.01,1,2026
1172,Cadel Evans Great Ocean Road Race,1.UWT,01.02,2,2026
129,Clasica de Almeria,1.Pro,15.02,2,2026
21999,Classic Var,1.1,21.02,2,2026
16519,Clásica Jaén,1.1,16.02,2,2026
121,Faun-Ardèche Classic,1.Pro,28.02,2,2026
18947,Figueira Champions Classic,1.Pro,14.02,2,2026
97,GP la Marseillaise,1.1,01.02,2,2026
27612,Grand Prix Alaiye,1.2,21.02,2,2026
13421,Grand Prix Antalya,1.2,07.02,2,2026
27613,Grand Prix Pedalia,1.2,28.02,2,2026
18946,Muscat Classic,1.Pro,06.02,2,2026
53,Omloop Nieuwsblad,1.UWT,28.02,2,2026
4396,Tour de La Provence,2.1,13.02-15.02,2,2026
111,Tour des Alpes-Maritimes,1.1,22.02,2,2026
57,Tour of Oman,2.Pro,07.02-11.02,2,2026
83,Trofeo Palma,1.1,01.02,2,2026
9800,UAE Tour,2.UWT,16.02-22.02,2,2026
27602,Visit South Aegean GP,1.1,28.02,2,2026
319,Volta Comunitat Valenciana,2.Pro,04.02-08.02,2,2026
107,Volta ao Algarve,2.Pro,18.02-22.02,2,2026
110,Vuelta a Andalucía,2.Pro,18.02-22.02,2,2026
74,Vuelta a Murcia,2.1,13.02-14.02,2,2026
106,Étoile de Bessèges,2.1,04.02-08.02,2,2026
1529,Annemasse-Bellegarde,1.2,29.03,3,2026
123,Bredene Koksijde Classic,1.Pro,20.03,3,2026
124,Classic Loire Atlantique,1.2,28.03,3,2026
22014,Clásica Terres de l´Ebre,1.1,21.03,3,2026
114,Coppi e Bartali,2.1,25.03-29.03,3,2026
510,Dorpenomloop Rucphen,1.2,08.03,3,2026
47,E3 Saxo Classic,1.UWT,27.03,3,2026
116,Ename Samyn Classic,1.1,03.03,3,2026
432,Faun Drome Classic,1.Pro,01.03,3,2026
