scope,cycle_label,team_rank,team_name,team_slug,team_class,ranking_total_points,team_total_points,sanction_points_total,ranking_url,source_url,scraped_at,is_placeholder_team_row,season_year,rider_name,rider_slug,team_rank_within_counted_list,points_counted,points_not_counted,sanction_points
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,PIDCOCK Tom,tom-pidcock,1,3173.5,0.0,30.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,HERMANS Quinten,quinten-hermans,2,837.5,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,DE GENDT Aimé,aime-de-gendt,3,618.0,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,MOSCHETTI Matteo,matteo-moschetti,4,490.0,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,CAMPRUBÍ Marcel,marcel-camprubi,5,474.0,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,WRIGHT Fred,alfred-wright,6,392.5,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,HARPER Chris,chris-harper,7,391.5,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,DONOVAN Mark,mark-donovan,8,365.0,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,VAN MOER Brent,brent-van-moer,9,320.5,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,DUNBAR Eddie,edward-irl-dunbar,10,257.0,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,CALZONI Walter,walter-calzoni,11,225.0,0.0,0.0
cycle_2026_2028,2026-2028,16,Pinarello Q36.5 Pro Cycling Team,pinarello-q365-pro-cycling-team-2026,PRT,8664.0,8663.5,30.0,team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/results/ranking-2026-2028,2026-09-18T13:37:27.410507+00:00,False,2026,GLOAG Thomas,thomas-gloag,12,171.0,0.0,0.0
