race_id,race_name,year,month,date_label,category,race_type,race_country,race_subtitle,finishers,scoring_places,winner_points,top10_points,total_points,gc_scoring_places,gc_winner_points,gc_top10_points,gc_total_points,stage_count,stage_pages_parsed,stage_pages_missing,stage_scoring_places,stage_winner_points,stage_top10_points,stage_total_points,gc_points_share,stage_points_share,startlist_size,experienced_riders,total_startlist_starts,total_startlist_wins,total_startlist_podiums,total_startlist_top10s,total_field_form,top10_field_form,avg_top10_field_form,finish_rate,points_per_top10_form,points_per_total_form
97,GP la Marseillaise,2021,1,31.01,1.1,One-day,France,"UCI, One-day race, 31st January 2021, France",119,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,119,119,319.0,3.0,11.0,39.0,90.9,49.2,4.92,1.0,10.975609756097562,6.71067106710671
129,Clasica de Almeria,2021,2,14.02,1.Pro,One-day,Spain,"UCI, One-day race, 14th February 2021, Spain",154,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,154,154,307.0,3.0,10.0,35.0,84.69999999999999,46.4,4.64,1.0,19.719827586206897,13.22314049586777
432,Faun Drome Classic,2021,2,28.02,1.Pro,One-day,France,"UCI, One-day race, 28th February 2021, France",144,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,144,144,320.0,4.0,10.0,31.0,85.0,47.400000000000006,4.74,1.0,19.30379746835443,13.176470588235292
121,Faun-Ardèche Classic,2021,2,27.02,1.Pro,One-day,France,"UCI, One-day race, 27th February 2021, France",144,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,144,144,355.0,3.0,11.0,43.0,98.5,44.8,4.4799999999999995,1.0,20.424107142857142,11.370558375634518
84,Kuurne-Brussel-Kuurne,2021,2,28.02,1.Pro,One-day,Belgium,"UCI, One-day race, 28th February 2021, Belgium",174,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,174,174,599.0,3.0,17.0,55.0,140.9,49.8,4.98,1.0,18.373493975903617,7.948899929027679
4396,Tour de La Provence,2021,2,11.02-14.02,2.Pro,Stage race,France,"UCI, Stage race, 11th -14th February 2021, France",140,52,280.0,1055.0,1260.0,40,200.0,915.0,1120.0,4,4,0,12,80.0,140.0,140.0,0.8888888888888888,0.1111111111111111,140,140,234.0,2.0,10.0,27.0,66.4,33.9,3.3899999999999997,1.0,31.12094395280236,18.97590361445783
111,Tour des Alpes-Maritimes,2021,2,19.02-21.02,2.1,Stage race,France,"UCI, Stage race, 19th -21st February 2021, France",150,34,167.0,606.0,676.0,25,125.0,540.0,610.0,3,3,0,9,42.0,66.0,66.0,0.9023668639053254,0.0976331360946745,150,150,346.0,5.0,15.0,47.0,111.6,59.9,5.99,1.0,10.11686143572621,6.057347670250897
106,Étoile de Bessèges,2021,2,03.02-07.02,2.1,Stage race,France,"UCI, Stage race, 3rd  -7th February 2021, France",152,40,195.0,650.0,720.0,25,125.0,540.0,610.0,5,5,0,15,70.0,110.0,110.0,0.8472222222222222,0.1527777777777778,152,152,354.0,2.0,11.0,34.0,86.4,37.50000000000001,3.750000000000001,1.0,17.33333333333333,8.333333333333332
123,Bredene Koksijde Classic,2021,3,19.03,1.Pro,One-day,Belgium,"UCI, One-day race, 19th March 2021, Belgium",166,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,166,166,318.0,2.0,7.0,25.0,69.80000000000001,30.200000000000003,3.0200000000000005,1.0,30.29801324503311,16.0458452722063
125,Cholet Agglo Tour,2021,3,28.03,1.1,One-day,France,"UCI, One-day race, 28th March 2021, France",164,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,164,164,258.0,3.0,6.0,23.0,63.80000000000001,34.3,3.4299999999999997,1.0,15.743440233236154,9.561128526645769
114,Coppi e Bartali,2021,3,23.03-27.03,2.1,Stage race,Italy,"UCI, Stage race, 23rd  -27th March 2021, Italy",171,40,195.0,650.0,720.0,25,125.0,540.0,610.0,6,5,1,15,70.0,110.0,110.0,0.8472222222222222,0.1527777777777778,171,171,337.0,1.0,7.0,23.0,66.7,27.1,2.71,1.0,23.985239852398525,10.794602698650674
116,Ename Samyn Classic,2021,3,02.03,1.1,One-day,Belgium,"UCI, One-day race, 2nd March 2021, Belgium",170,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,170,170,390.0,5.0,14.0,31.0,99.0,56.7,5.67,1.0,9.523809523809524,6.161616161616162
263,GP Industria & Artigianato,2021,3,07.03,1.Pro,One-day,Italy,"UCI, One-day race, 7th March 2021, Italy",169,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,169,169,298.0,4.0,10.0,29.0,80.8,45.1,4.51,1.0,20.288248337028826,13.86138613861386
2729,GP Jean-Pierre Monseré,2021,3,07.03,1.1,One-day,Belgium,"UCI, One-day race, 7th March 2021, Belgium",168,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,168,168,260.0,1.0,10.0,26.0,65.0,30.8,3.08,1.0,17.532467532467532,9.384615384615383
122,Nokere Koerse,2021,3,17.03,1.Pro,One-day,Belgium,"UCI, One-day race, 17th March 2021, Belgium",167,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,167,167,330.0,2.0,9.0,23.0,71.0,31.9,3.1900000000000004,1.0,28.6833855799373,15.774647887323944
15066,Per Sempre Alfredo,2021,3,21.03,1.1,One-day,Italy,"UCI, One-day race, 21st March 2021, Italy",134,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,134,134,134.0,1.0,3.0,10.0,29.4,17.0,1.7,1.0,31.764705882352946,20.74829931972789
112,Trofeo Laigueglia,2021,3,03.03,1.Pro,One-day,Italy,"UCI, One-day race, 3rd  March 2021, Italy",173,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,173,173,372.0,4.0,14.0,38.0,101.2,53.2,5.32,1.0,17.19924812030075,11.06719367588933
9018,Belgrade Banjaluka,2021,4,22.04-25.04,2.1,Stage race,Bosnia&Herzegovina,"UCI, Stage race, 22nd -25th April 2021, Bosnia&Herzegovina",159,37,181.0,628.0,698.0,25,125.0,540.0,610.0,4,4,0,12,56.0,88.0,88.0,0.8739255014326648,0.1260744985673352,159,159,234.0,3.0,6.0,18.0,56.400000000000006,27.4,2.74,1.0,22.91970802919708,12.375886524822691
77,Brabantse Pijl,2021,4,14.04,1.Pro,One-day,Belgium,"UCI, One-day race, 14th April 2021, Belgium",158,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,158,158,393.0,3.0,11.0,42.0,101.3,50.8,5.08,1.0,18.011811023622045,11.056268509378084
48,GP Miguel Indurain,2021,4,03.04,1.Pro,One-day,Spain,"UCI, One-day race, 3rd  April 2021, Spain",127,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,127,127,274.0,4.0,13.0,35.0,87.39999999999999,56.4,5.64,1.0,16.22340425531915,12.814645308924486
260,La Roue Tourangelle,2021,4,04.04,1.1,One-day,France,"UCI, One-day race, 4th April 2021, France",149,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,149,149,270.0,3.0,10.0,27.0,73.0,42.400000000000006,4.24,1.0,12.735849056603772,8.356164383561644
56,Scheldeprijs,2021,4,07.04,1.Pro,One-day,Belgium,"UCI, One-day race, 7th April 2021, Belgium",159,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,159,159,529.0,5.0,16.0,54.0,137.9,66.3,6.63,1.0,13.800904977375566,8.121827411167512
152,Tour of Türkiye,2021,4,11.04-18.04,2.Pro,Stage race,Turkey,"UCI, Stage race, 11th -18th April 2021, Turkey",172,64,360.0,1195.0,1400.0,40,200.0,915.0,1120.0,8,8,0,24,160.0,280.0,280.0,0.8,0.2,172,172,302.0,3.0,8.0,24.0,71.2,37.0,3.7,1.0,32.2972972972973,19.662921348314605
62,Tour of the Alps,2021,4,19.04-23.04,2.Pro,Stage race,Italy,"UCI, Stage race, 19th -23rd April 2021, Italy",143,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,143,143,274.0,4.0,14.0,30.0,83.4,54.3,5.43,1.0,20.07366482504604,15.52757793764988
319,Volta Comunitat Valenciana,2021,4,14.04-18.04,2.Pro,Stage race,Spain,"UCI, Stage race, 14th -18th April 2021, Spain",116,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,116,116,179.0,1.0,3.0,12.0,35.9,18.5,1.85,1.0,58.91891891891892,36.072423398328695
343,Boucles de la Mayenne,2021,5,27.05-30.05,2.Pro,Stage race,France,"UCI, Stage race, 27th -30th May 2021, France",124,52,280.0,1055.0,1260.0,40,200.0,915.0,1120.0,4,4,0,12,80.0,140.0,140.0,0.8888888888888888,0.1111111111111111,124,124,251.0,3.0,7.0,21.0,62.099999999999994,35.1,3.51,1.0,30.056980056980056,20.28985507246377
537,Circuit de Wallonie,2021,5,13.05,1.1,One-day,Belgium,"UCI, One-day race, 13th May 2021, Belgium",161,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,161,161,235.0,1.0,8.0,24.0,58.5,24.6,2.46,1.0,21.95121951219512,10.427350427350428
13188,Mercan'Tour Classic Alpes-Maritimes,2021,5,24.05,1.1,One-day,France,"UCI, One-day race, 24th May 2021, France",101,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,101,101,101.0,1.0,3.0,10.0,26.10000000000001,17.0,1.7,1.0,31.764705882352946,23.371647509578537
437,Ronde van Limburg,2021,5,24.05,1.1,One-day,Belgium,"UCI, One-day race, 24th May 2021, Belgium",133,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,133,133,211.0,1.0,7.0,26.0,57.099999999999994,31.200000000000003,3.12,1.0,17.307692307692307,10.683012259194395
765,Tour de Hongrie,2021,5,12.05-16.05,2.1,Stage race,Hungary,"UCI, Stage race, 12th -16th May 2021, Hungary",130,40,195.0,650.0,720.0,25,125.0,540.0,610.0,5,5,0,15,70.0,110.0,110.0,0.8472222222222222,0.1527777777777778,130,130,201.0,2.0,6.0,16.0,48.10000000000001,25.9,2.5900000000000003,1.0,25.096525096525095,14.968814968814966
147,Tour du Finistère,2021,5,22.05,1.1,One-day,France,"UCI, One-day race, 22nd May 2021, France",92,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,92,92,204.0,5.0,11.0,35.0,81.39999999999999,60.900000000000006,6.090000000000001,1.0,8.866995073891625,7.493857493857495
450,Tour du Rwanda,2021,5,02.05-09.05,2.1,Stage race,Rwanda,"UCI, Stage race, 2nd -9th May 2021, Rwanda",75,49,237.0,716.0,786.0,25,125.0,540.0,610.0,8,8,0,24,112.0,176.0,176.0,0.7760814249363868,0.2239185750636132,75,75,148.0,4.0,11.0,34.0,71.79999999999998,51.60000000000001,5.160000000000001,1.0,13.87596899224806,10.947075208913652
250,Tour of Estonia,2021,5,28.05-29.05,2.1,Stage race,Estonia,"UCI, Stage race, 28th -29th May 2021, Estonia",100,31,153.0,584.0,654.0,25,125.0,540.0,610.0,2,2,0,6,28.0,44.0,44.0,0.9327217125382264,0.0672782874617737,100,100,206.0,5.0,11.0,33.0,79.59999999999998,53.6,5.36,1.0,10.8955223880597,8.216080402010052
148,Tro-Bro Leon,2021,5,16.05,1.Pro,One-day,France,"UCI, One-day race, 16th May 2021, France",138,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,138,138,270.0,3.0,8.0,27.0,71.0,38.5,3.85,1.0,23.766233766233768,15.774647887323944
273,Trofeo Alcudia - Port d'Alcudia,2021,5,16.05,1.1,One-day,Spain,"UCI, One-day race, 16th May 2021, Spain",161,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,161,161,162.0,1.0,3.0,10.0,32.2,17.0,1.7,1.0,31.764705882352946,18.944099378881987
274,Trofeo Andratx - Pollença,2021,5,15.05,1.1,One-day,Spain,"UCI, One-day race, 15th May 2021, Spain",163,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,163,163,260.0,1.0,3.0,13.0,45.0,18.90000000000001,1.8900000000000008,1.0,28.57142857142856,13.555555555555555
271,Trofeo Calvià,2021,5,13.05,1.1,One-day,Spain,"UCI, One-day race, 13th May 2021, Spain",158,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,158,158,169.0,2.0,4.0,11.0,37.9,21.200000000000003,2.12,1.0,25.471698113207545,16.094986807387862
100,Trofeo Serra Tramuntana,2021,5,14.05,1.1,One-day,Spain,"UCI, One-day race, 14th May 2021, Spain",164,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,164,164,295.0,1.0,3.0,14.0,49.5,18.9,1.89,1.0,28.571428571428573,12.323232323232324
107,Volta ao Algarve,2021,5,05.05-09.05,2.Pro,Stage race,Portugal,"UCI, Stage race, 5th -9th May 2021, Portugal",175,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,175,175,493.0,1.0,4.0,22.0,78.30000000000001,30.6,3.0599999999999996,1.0,35.62091503267974,16.538952745849294
110,Vuelta a Andalucía,2021,5,18.05-22.05,2.Pro,Stage race,Spain,"UCI, Stage race, 18th -22nd May 2021, Spain",111,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,111,111,207.0,1.0,3.0,16.0,42.7,21.4,2.1399999999999997,1.0,50.93457943925234,30.327868852459016
153,Vuelta a Asturias,2021,5,30.04-02.05,2.1,Stage race,Spain,"UCI, Stage race, 30th April-2nd May 2021, Spain",102,34,167.0,606.0,676.0,25,125.0,540.0,610.0,3,3,0,9,42.0,66.0,66.0,0.9023668639053254,0.0976331360946745,102,102,184.0,1.0,5.0,17.0,43.39999999999999,23.0,2.3,1.0,26.347826086956523,15.57603686635945
74,Vuelta a Murcia,2021,5,23.05,1.1,One-day,Spain,"UCI, One-day race, 23rd  -23rd May 2021, Spain",99,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,99,99,221.0,7.0,13.0,36.0,92.1,66.0,6.6,1.0,8.181818181818182,6.623235613463627
8516,Adriatica Ionica Race,2021,6,15.06-17.06,2.1,Stage race,Italy,"UCI, Stage race, 15th -17th June 2021, Italy",110,34,167.0,606.0,676.0,25,125.0,540.0,610.0,3,3,0,9,42.0,66.0,66.0,0.9023668639053254,0.0976331360946745,110,109,131.0,1.0,3.0,12.0,31.10000000000001,18.4,1.8400000000000003,1.0,32.93478260869565,21.73633440514469
60,Baloise Belgium Tour,2021,6,09.06-13.06,2.Pro,Stage race,Belgium,"UCI, Stage race, 9th -13th June 2021, Belgium",146,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,146,146,332.0,3.0,8.0,34.0,84.2,46.7,4.67,1.0,23.34047109207709,15.380047505938242
10459,CIC - Mont Ventoux,2021,6,08.06,1.1,One-day,France,"UCI, One-day race, 8th June 2021, France",131,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,131,131,184.0,1.0,3.0,14.0,38.4,19.90000000000001,1.9900000000000009,1.0,27.13567839195979,15.885416666666668
425,Dwars door het Hageland,2021,6,05.06,1.Pro,One-day,Belgium,"UCI, One-day race, 5th June 2021, Belgium",137,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,137,137,273.0,3.0,8.0,28.0,72.3,38.4,3.84,1.0,23.828125,15.491009681881051
8515,Elfstedenronde,2021,6,06.06,1.1,One-day,Belgium,"UCI, One-day race, 6th June 2021, Belgium",156,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,156,156,213.0,2.0,5.0,18.0,50.3,24.4,2.44,1.0,22.13114754098361,12.127236580516898
199,GP Gippingen,2021,6,04.06,1.1,One-day,Switzerland,"UCI, One-day race, 4th June 2021, Switzerland",147,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,147,147,242.0,2.0,9.0,23.0,62.2,36.2,3.62,1.0,14.917127071823204,9.807073954983922
149,Giro dell'Appennino,2021,6,24.06,1.1,One-day,Italy,"UCI, One-day race, 24th June 2021, Italy",127,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,127,127,256.0,1.0,8.0,26.0,62.599999999999994,32.5,3.25,1.0,16.615384615384617,9.7444089456869
120,Gran Premio di Lugano,2021,6,27.06,1.1,One-day,Switzerland,"UCI, One-day race, 27th June 2021, Switzerland",118,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,118,118,208.0,2.0,10.0,24.0,60.8,36.69999999999999,3.669999999999999,1.0,14.713896457765673,10.032894736842104
145,Paris - Camembert,2021,6,15.06,1.1,One-day,France,"UCI, One-day race, 15th June 2021, France",102,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,102,102,223.0,3.0,11.0,27.0,69.29999999999998,43.900000000000006,4.390000000000001,1.0,12.300683371298405,8.802308802308804
212,Route d'Occitanie,2021,6,10.06-13.06,2.1,Stage race,France,"UCI, Stage race, 10th -13th June 2021, France",135,37,181.0,628.0,698.0,25,125.0,540.0,610.0,4,4,0,12,56.0,88.0,88.0,0.8739255014326648,0.1260744985673352,135,135,302.0,1.0,5.0,22.0,60.20000000000002,27.4,2.74,1.0,22.91970802919708,11.594684385382056
211,Tour of Slovenia,2021,6,09.06-13.06,2.Pro,Stage race,Slovenia,"UCI, Stage race, 9th -13th June 2021, Slovenia",139,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,139,139,258.0,5.0,14.0,35.0,89.8,64.19999999999999,6.419999999999999,1.0,16.97819314641745,14.420935412026726
349,Heistse Pijl,2021,7,31.07,1.1,One-day,Belgium,"UCI, One-day race, 31st July 2021, Belgium",129,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,129,129,256.0,3.0,8.0,30.0,72.6,36.7,3.669999999999999,1.0,14.713896457765667,8.402203856749312
15074,Settimana Ciclistica Italiana,2021,7,14.07-18.07,2.1,Stage race,Italy,"UCI, Stage race, 14th -18th July 2021, Italy",144,40,195.0,650.0,720.0,25,125.0,540.0,610.0,5,5,0,15,70.0,110.0,110.0,0.8472222222222222,0.1527777777777778,144,144,144.0,1.0,3.0,10.0,30.4,17.0,1.7,1.0,38.23529411764706,23.684210526315788
258,Sibiu Cycling Tour,2021,7,03.07-06.07,2.1,Stage race,Romania,"UCI, Stage race, 3rd  -6th July 2021, Romania",164,37,181.0,628.0,698.0,25,125.0,540.0,610.0,4,4,0,12,56.0,88.0,88.0,0.8739255014326648,0.1260744985673352,164,164,290.0,2.0,8.0,27.0,70.0,35.49999999999999,3.5499999999999994,1.0,17.690140845070427,9.971428571428572
193,Tour de Wallonie,2021,7,20.07-24.07,2.Pro,Stage race,Belgium,"UCI, Stage race, 20th -24th July 2021, Belgium",172,55,300.0,1090.0,1295.0,40,200.0,915.0,1120.0,5,5,0,15,100.0,175.0,175.0,0.8648648648648649,0.1351351351351351,172,172,383.0,5.0,12.0,31.0,96.3,45.5,4.55,1.0,23.956043956043956,13.44755970924195
63,Tour de l'Ain,2021,7,29.07-31.07,2.1,Stage race,France,"UCI, Stage race, 29th -31st July 2021, France",125,34,167.0,606.0,676.0,25,125.0,540.0,610.0,3,3,0,9,42.0,66.0,66.0,0.9023668639053254,0.0976331360946745,125,125,256.0,2.0,7.0,23.0,61.6,33.3,3.3299999999999996,1.0,18.1981981981982,10.974025974025974
207,Villafranca de Ordizia,2021,7,25.07,1.1,One-day,Spain,"UCI, One-day race, 25th July 2021, Spain",120,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,120,120,233.0,3.0,10.0,34.0,76.29999999999998,43.900000000000006,4.390000000000001,1.0,12.300683371298405,7.994757536041941
85,Vuelta a Castilla y León,2021,7,29.07,1.1,One-day,Spain,"UCI, One-day race, 29th July 2021, Spain",107,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,107,107,171.0,1.0,4.0,20.0,44.1,22.6,2.26,1.0,23.89380530973451,13.83219954648526
259,Arctic Race of Norway,2021,8,05.08-08.08,2.Pro,Stage race,Norway,"UCI, Stage race, 5th -8th August 2021, Norway",111,52,280.0,1055.0,1260.0,40,200.0,915.0,1120.0,4,4,0,12,80.0,140.0,140.0,0.8888888888888888,0.1111111111111111,111,111,189.0,1.0,6.0,21.0,48.900000000000006,28.799999999999997,2.88,1.0,36.63194444444445,25.76687116564417
64,Brussels Cycling Classic,2021,8,28.08,1.Pro,One-day,Belgium,"UCI, One-day race, 28th August 2021, Belgium",136,40,200.0,915.0,1120.0,40,200.0,915.0,1120.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,136,136,271.0,2.0,5.0,16.0,54.1,27.1,2.71,1.0,33.76383763837639,20.702402957486136
202,Circuito de Getxo,2021,8,01.08,1.1,One-day,Spain,"UCI, One-day race, 1st August 2021, Spain",136,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,136,136,250.0,7.0,16.0,28.0,90.0,61.3,6.13,1.0,8.809135399673735,6.777777777777778
15209,Czech Tour,2021,8,05.08-08.08,2.1,Stage race,Czechia,"UCI, Stage race, 5th -8th August 2021, Czechia",117,37,181.0,628.0,698.0,25,125.0,540.0,610.0,4,4,0,12,56.0,88.0,88.0,0.8739255014326648,0.1260744985673352,117,117,226.0,2.0,8.0,26.0,62.6,36.3,3.63,1.0,17.300275482093664,11.150159744408946
186,Druivenkoers Overijse,2021,8,26.08,1.1,One-day,Belgium,"UCI, One-day race, 26th August 2021, Belgium",149,25,125.0,540.0,610.0,25,125.0,540.0,610.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,149,149,312.0,3.0,11.0,29.0,80.20000000000002,42.599999999999994,4.26,1.0,12.67605633802817,7.605985037406482
