team_slug,team_name,planning_year,source,scraped_at_utc,race_id,race_name,category,date_label,month,start_date,end_date,status,team_calendar_status,source_url,pcs_race_slug,observed_race_name,matched_via,notes,overlap_group
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,271,Trofeo Calvià,1.1,28.01,1,2026-01-28,2026-01-28,completed,active,race/trofeo-calvia/2026/startlist,trofeo-calvia,Trofeo Calvià,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,27987,Trofeo Ses Salines TTT,1.1,29.01,1,2026-01-29,2026-01-29,completed,active,race/trofeo-ses-salines-felanitx/2026/startlist,trofeo-ses-salines-felanitx,Trofeo Ses Salines,token_overlap,matched_via=token_overlap,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,100,Trofeo Serra Tramuntana,1.1,30.01,1,2026-01-30,2026-01-30,completed,active,race/deia-trophy/2026/startlist,deia-trophy,Trofeo Serra Tramuntana,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,274,Trofeo Andratx - Pollença,1.1,31.01,1,2026-01-31,2026-01-31,completed,active,race/trofeo-pollenca-port-d-andratx/2026/startlist,trofeo-pollenca-port-d-andratx,Trofeo Andratx - Pollença,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,83,Trofeo Palma,1.1,01.02,2,2026-02-01,2026-02-01,completed,active,race/trofeo-palma/2026/startlist,trofeo-palma,Trofeo Palma,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,106,Étoile de Bessèges,2.1,04.02-08.02,2,2026-02-04,2026-02-08,completed,active,race/etoile-de-besseges/2026/startlist,etoile-de-besseges,Etoile de Bessèges - Tour du Gard,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,74,Vuelta a Murcia,2.1,13.02-14.02,2,2026-02-13,2026-02-14,completed,active,race/vuelta-ciclista-a-la-region-de-murcia/2026/startlist,vuelta-ciclista-a-la-region-de-murcia,Vuelta a la Región de Murcia “Costa Cálida”,token_overlap,matched_via=token_overlap,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,129,Clasica de Almeria,1.Pro,15.02,2,2026-02-15,2026-02-15,completed,active,race/clasica-de-almeria/2026/startlist,clasica-de-almeria,Clasica de Almeria,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,16519,Clásica Jaén,1.1,16.02,2,2026-02-16,2026-02-16,completed,active,race/clasica-jaen-paraiso-interior/2026/startlist,clasica-jaen-paraiso-interior,Clásica Jaén,normalized_name,matched_via=normalized_name,
team-flanders-baloise,Team Flanders - Baloise,2026,team_program_live,2026-05-09T10:31:05.062033+00:00,110,Vuelta a Andalucía,2.Pro,18.02-22.02,2,2026-02-18,2026-02-22,completed,active,race/ruta-del-sol/2026/startlist,ruta-del-sol,Vuelta a Andalucia Ruta Ciclista Del Sol,token_overlap,matched_via=token_overlap,
