team_slug,team_name,planning_year,source,scraped_at_utc,race_id,race_name,category,date_label,month,start_date,end_date,status,team_calendar_status,source_url,pcs_race_slug,observed_race_name,matched_via,notes,overlap_group
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,319,Volta Comunitat Valenciana,2.Pro,04.02-08.02,2,2026-02-04,2026-02-08,completed,active,race/vuelta-a-la-comunidad-valenciana/2026/startlist,vuelta-a-la-comunidad-valenciana,Volta Comunitat Valenciana,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,4396,Tour de La Provence,2.1,13.02-15.02,2,2026-02-13,2026-02-15,completed,active,race/tour-cycliste-international-la-provence/2026/startlist,tour-cycliste-international-la-provence,Tour de la Provence,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,109,Giro di Sardegna,2.1,25.02-01.03,3,2026-02-25,2026-03-01,completed,active,race/giro-di-sardegna/2026/startlist,giro-di-sardegna,Giro di Sardegna,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,132,Tour de Taiwan,2.1,15.03-19.03,3,2026-03-15,2026-03-19,completed,active,race/tour-de-taiwan/2026/startlist,tour-de-taiwan,Tour de Taiwan,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,4,Milano-Sanremo,1.UWT,21.03,3,2026-03-21,2026-03-21,completed,active,race/milano-sanremo/2026/startlist,milano-sanremo,Milano-Sanremo,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,260,La Roue Tourangelle,1.1,29.03,3,2026-03-29,2026-03-29,completed,active,race/la-roue-tourangelle/2026/startlist,la-roue-tourangelle,La Roue Tourangelle Centre Val de Loire - Groupama P.V.L.,token_overlap,matched_via=token_overlap,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,134,Route Adélie de Vitré,1.1,03.04,4,2026-04-03,2026-04-03,completed,active,race/route-adelie-de-vitre/2026/startlist,route-adelie-de-vitre,Classic Velox Adélie de Vitré,token_overlap,matched_via=token_overlap,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,217,Région Pays de la Loire Tour,2.Pro,07.04-10.04,4,2026-04-07,2026-04-10,completed,active,race/region-pays-de-la-loire/2026/startlist,region-pays-de-la-loire,Région Pays de la Loire Tour,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,139,Tour of Hainan,2.Pro,15.04-19.04,4,2026-04-15,2026-04-19,completed,active,race/tour-of-hainan/2026/startlist,tour-of-hainan,Tour of Hainan,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,152,Tour of Türkiye,2.Pro,26.04-03.05,5,2026-04-26,2026-05-03,scheduled,active,race/tour-of-turkey/2026/startlist,tour-of-turkey,Presidential Cycling Tour of Turkiye,token_overlap,matched_via=token_overlap,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,513,Tour of Hellas,2.1,06.05-10.05,5,2026-05-06,2026-05-10,scheduled,active,race/international-tour-of-hellas/2026/startlist,international-tour-of-hellas,ΔΕΗ Tour of Hellas,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,539,Grand Prix Criquielion,1.1,24.05,5,2026-05-24,2026-05-24,scheduled,active,race/grand-prix-criquielion/2026/startlist,grand-prix-criquielion,Grand Prix Criquielion,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,10204,Antwerp Port Epic,1.1,25.05,5,2026-05-25,2026-05-25,scheduled,active,race/antwerp-port-epic/2026/startlist,antwerp-port-epic,Antwerp Port Epic / Sels Trophy,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,250,Tour of Estonia,2.1,04.06-06.06,6,2026-06-04,2026-06-06,scheduled,active,race/tour-of-estonia/2026/startlist,tour-of-estonia,Tour of Estonia,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,211,Tour of Slovenia,2.Pro,17.06-21.06,6,2026-06-17,2026-06-21,scheduled,active,race/tour-of-slovenia/2026/startlist,tour-of-slovenia,Tour of Slovenia,normalized_name,matched_via=normalized_name,
team-novo-nordisk,Team Novo Nordisk,2026,team_program_live,2026-04-22T10:46:01.357418+00:00,32,PostNord Tour of Denmark,2.Pro,29.07-02.08,8,2026-07-29,2026-08-02,scheduled,active,race/tour-of-denmark/2026/startlist,tour-of-denmark,PostNord Tour of Denmark,normalized_name,matched_via=normalized_name,
