team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,4,Milano-Sanremo,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,5,Ronde van Vlaanderen,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,7,In Flanders Fields,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,8,Paris-Roubaix,,completed,team_calendar_refresh,matched_via=token_overlap
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,9,Amstel Gold Race,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,10,La Flèche Wallonne,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,13,Giro d'Italia,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,28,Paris - Tours,,scheduled,team_calendar_refresh,matched_via=token_overlap
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,35,Eschborn-Frankfurt,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,40,Ronde Van Brugge - Tour of Bruges,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,47,E3 Saxo Classic,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,53,Omloop Nieuwsblad,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,54,Strade Bianche,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,56,Scheldeprijs,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,60,Baloise Belgium Tour,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,63,Tour de l'Ain,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,74,Vuelta a Murcia,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,75,Dwars door Vlaanderen,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,77,Brabantse Pijl,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,83,Trofeo Palma,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,84,Kuurne-Brussel-Kuurne,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,89,Milano - Torino,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,92,GP de Fourmies,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,94,Tour de Vendée,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,97,GP la Marseillaise,,completed,team_calendar_refresh,matched_via=alias
