team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,one_day_signal,stage_hunter_signal,gc_signal,time_trial_signal,all_round_signal,sprint_bonus_signal,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
cofidis,Cofidis,2026,24922,Classica Camp de Morvedre,1.1,23.01,1,2026-01-23,2026-01-23,classica-camp-de-morvedre,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.8534898445481564,0.0,0.0,0.013513513513513514,0.22328265765765762,0.5810900552066851,0.43913995738148154,0.16913224060069837,0.4804559941705221,0.8441367982511566,1.0,0.4,39.76061730233475,0.0,-39.76061730233475,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,2026-04-25
cofidis,Cofidis,2026,22183,Gran Premio Castellón,1.1,24.01,1,2026-01-24,2026-01-24,ruta-de-la-ceramica-gran-premio-castellon,2.0,One-day,sprint-friendly one-day,540.0,125.0,27.323030907278167,0.0,0.0,2.0300000000000002,0.3473834390260394,187.58705707406128,0.9723582474226804,0.0,0.0,0.0,0.04252577319587636,0.7181056701030928,0.4364921427959944,0.20901204535225154,0.5184586580205137,0.8555375974061541,1.0,0.4,64.1951120454534,0.0,-64.1951120454534,completed,active,team_program_live,,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,411,Clàssica Comunitat Valenciana 1969,1.1,25.01,1,2026-01-25,2026-01-25,gp-de-valence,3.0,One-day,sprint-friendly one-day,540.0,125.0,23.821529103953182,0.0,0.0,2.3233333333333337,0.30257155061700064,163.38863733318036,0.9477878006872852,0.0,0.0,0.0,0.0803264604810997,0.6897551546391752,0.4370692847211022,0.20076033606961444,0.5106161075662794,0.8531848322698837,1.0,0.4,55.76028285516574,0.0,-55.76028285516574,completed,active,team_program_live,,matched_via=token_overlap,2026-04-25
cofidis,Cofidis,2026,868,AlUla Tour,2.Pro,27.01-31.01,1,2026-01-27,2026-01-31,alula-tour,4.0,Stage race,multi-stage race,650.0,195.0,34.58954546782044,110.0,5.0,1.8825000000000003,0.507845289055371,330.0994378859911,0.15,0.3277229845626072,0.29000341482382497,0.0,0.5235180412371134,0.7972199596382027,0.29276396428334334,0.2320390734913688,0.4395910731184376,0.8318773219355312,1.0,0.25,68.65055909025563,25.0,-43.650559090255626,completed,active,team_program_live,,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,97,GP la Marseillaise,1.1,01.02,2,2026-02-01,2026-02-01,gp-d-ouverture,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.66798354266588,0.0,0.0,4.09,0.15491993959869524,83.65676738329543,0.7998067010309279,0.0,0.0,0.0,0.3079896907216494,0.5190077319587629,0.4405452531336831,0.15106254152645907,0.4633825650578227,0.8390147695173468,1.0,0.4,28.075705361864767,83.0,54.92429463813524,completed,active,team_program_live,,matched_via=token_overlap,2026-04-25
cofidis,Cofidis,2026,106,Étoile de Bessèges,2.1,04.02-08.02,2,2026-02-04,2026-02-08,etoile-de-besseges,5.0,Stage race,multi-stage race,641.2,189.4,15.805960763106615,101.2,5.0,4.158,0.24777596431508042,158.87394831882958,0.15,0.3142324185248714,0.33673542842329857,0.0,0.8167525773195876,0.5721053783310641,0.3838032912802598,0.16651715793419747,0.43861055154452716,0.8315831654633581,0.8,0.3,31.70805620463222,56.0,24.29194379536778,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,18946,Muscat Classic,1.Pro,06.02,2,2026-02-06,2026-02-06,muscat-classic,3.0,One-day,sprint-friendly one-day,540.0,125.0,27.241041946924298,0.0,0.0,2.0500000000000003,0.3460803217014345,186.88337371877464,0.9706829896907216,0.0,0.0,0.0,0.045103092783505216,0.7161726804123711,0.43653149338179714,0.20844942881025358,0.5179239386713613,0.8553771816014084,0.8,0.3,38.365385639934765,4.0,-34.365385639934765,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,57,Tour of Oman,2.Pro,07.02-11.02,2,2026-02-07,2026-02-11,tour-of-oman,4.0,Stage race,multi-stage race,1166.25,305.0,38.18677431010861,251.25,5.25,3.1125000000000003,0.7013216050563859,817.91632189701,0.15,0.5522164451114924,0.5625651807613312,0.0,0.6820231958762887,0.7616252917720288,0.3968624246381859,0.2216788791020458,0.5030304109141485,0.8509091232742445,0.8,0.25,139.19449207541592,55.0,-84.19449207541592,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,4396,Tour de La Provence,2.1,13.02-15.02,2,2026-02-13,2026-02-15,tour-cycliste-international-la-provence,4.0,Stage race,short stage race,836.0,227.0,29.90213119534626,108.5,3.75,2.825,0.4854101655760043,405.8028984215396,0.15,0.28565072898799315,0.3482888492292967,0.0,0.6449742268041238,0.7052433865006809,0.3303458653872153,0.20526834534323352,0.4394636470002822,0.8318390941000846,0.8,0.3,81.01505169747892,12.0,-69.01505169747892,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,18947,Figueira Champions Classic,1.Pro,14.02,2,2026-02-14,2026-02-14,figueira-champions-classic,3.0,One-day,sprint-friendly one-day,790.0,175.0,39.46615632554391,0.0,0.0,1.9766666666666672,0.5523674151820623,436.3702579938292,0.9768256013745704,0.0,0.0,0.0,0.03565292096219941,0.7232603092783505,0.43638720790052027,0.21051235613091285,0.5198845762849199,0.8559653728854759,0.8,0.3,89.64427934395665,130.0,40.355720656043346,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,129,Clasica de Almeria,1.Pro,15.02,2,2026-02-15,2026-02-15,clasica-de-almeria,5.0,One-day,sprint-friendly one-day,915.0,200.0,23.605323832074316,0.0,0.0,3.9300000000000006,0.37141337792062823,339.84324079737485,0.8132087628865978,0.0,0.0,0.0,0.28737113402061865,0.5344716494845361,0.44023044844726067,0.15556347386244293,0.4676603198510414,0.8402980959553124,0.8,0.3,68.53671075967604,85.0,16.46328924032396,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,110,Vuelta a Andalucía,2.Pro,18.02-22.02,2,2026-02-18,2026-02-22,ruta-del-sol,4.0,Stage race,multi-stage race,1135.0,300.0,35.07038875316878,220.0,5.0,3.4375,0.6448380014380815,731.8911316322225,0.15,0.4963550600343053,0.5534849897306027,0.0,0.7239046391752577,0.7117885017506322,0.4016629922502756,0.20717336849290752,0.49192821331067044,0.8475784639932011,0.8,0.25,124.067032231817,119.0,-5.067032231816995,completed,active,team_program_live,overlap_3,matched_via=token_overlap,2026-04-25
cofidis,Cofidis,2026,21999,Classic Var,1.1,21.02,2,2026-02-21,2026-02-21,classic-var,2.0,One-day,sprint-friendly one-day,540.0,125.0,27.88235294117647,0.0,0.0,1.975,0.3546990042322327,191.53746228540567,0.976965206185567,0.0,0.0,0.0,0.03543814432989689,0.7234213917525774,0.4363839286850367,0.21055924084274602,0.5199291362306826,0.8559787408692048,0.8,0.4,52.46463865483019,10.0,-42.46463865483019,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
cofidis,Cofidis,2026,111,Tour des Alpes-Maritimes,1.1,22.02,2,2026-02-22,2026-02-22,tour-des-alpes-maritimes,5.0,Stage race,short stage race,597.2,161.4,13.114396553715306,57.2,2.6,4.7780000000000005,0.17515101002405623,104.60018318636638,0.15,0.17041595197255574,0.2276857963269457,0.0,0.8966494845360824,0.4862393016922778,0.3784558120382463,0.14152495267550705,0.4098273059084425,0.8229481917725328,0.8,0.4,27.545770115934687,40.0,12.454229884065313,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-25
