team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,one_day_signal,stage_hunter_signal,gc_signal,time_trial_signal,all_round_signal,sprint_bonus_signal,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
euskaltel-euskadi,Euskaltel - Euskadi,2026,24922,Classica Camp de Morvedre,1.1,23.01,1,2026-01-23,2026-01-23,classica-camp-de-morvedre,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.8534898445481564,0.0,0.0,0.013513513513513514,0.22328265765765762,0.5810900552066851,0.2442582158286054,0.11107234753013431,0.3086418733828709,0.7925925620148613,1.0,0.4,37.33277544615884,12.0,-25.33277544615884,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,22183,Gran Premio Castellón,1.1,24.01,1,2026-01-24,2026-01-24,ruta-de-la-ceramica-gran-premio-castellon,2.0,One-day,sprint-friendly one-day,540.0,125.0,27.323030907278167,0.0,0.0,2.0300000000000002,0.3473834390260394,187.58705707406128,0.9723582474226804,0.0,0.0,0.0,0.04252577319587636,0.7181056701030928,0.2246395099546984,0.13726217104968463,0.3189630048127684,0.7956889014438304,1.0,0.4,59.70437574733637,50.0,-9.704375747336371,completed,active,team_program_live,,matched_via=normalized_name,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,411,Clàssica Comunitat Valenciana 1969,1.1,25.01,1,2026-01-25,2026-01-25,gp-de-valence,3.0,One-day,sprint-friendly one-day,540.0,125.0,23.821529103953182,0.0,0.0,2.3233333333333337,0.30257155061700064,163.38863733318036,0.9477878006872852,0.0,0.0,0.0,0.0803264604810997,0.6897551546391752,0.22842099938219987,0.13184311719038797,0.3166026283071655,0.7949807884921496,1.0,0.4,51.956331095115836,0.0,-51.956331095115836,completed,active,team_program_live,,matched_via=token_overlap,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,271,Trofeo Calvià,1.1,28.01,1,2026-01-28,2026-01-28,trofeo-calvia,5.0,One-day,sprint-friendly one-day,540.0,125.0,20.38785642330014,0.0,0.0,2.692,0.2570617092813843,138.81332301194752,0.9169072164948454,0.0,0.0,0.0,0.12783505154639174,0.6541237113402062,0.23317364404903698,0.12503235177177197,0.3136360641989874,0.7940908192596962,1.0,0.4,44.0921541578873,0.0,-44.0921541578873,completed,active,team_program_live,,matched_via=normalized_name,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,27987,Trofeo Ses Salines TTT,1.1,29.01,1,2026-01-29,2026-01-29,trofeo-ses-salines-felanitx,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.8534898445481564,0.0,0.0,0.013513513513513514,0.22328265765765762,0.5810900552066851,0.2442582158286054,0.11107234753013431,0.3086418733828709,0.7925925620148613,1.0,0.4,37.33277544615884,0.0,-37.33277544615884,completed,active,team_program_live,,matched_via=token_overlap | history_fallback_from=1.1 | history_missing,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,100,Trofeo Serra Tramuntana,1.1,30.01,1,2026-01-30,2026-01-30,deia-trophy,5.0,One-day,sprint-friendly one-day,540.0,125.0,14.971744110565528,0.0,0.0,4.582,0.1599838099492309,86.39125737258468,0.7585953608247423,0.0,0.0,0.0,0.3713917525773195,0.4714561855670104,0.2575384679739612,0.09011640247380374,0.29842772921402333,0.7895283187642069,1.0,0.4,27.28333767572107,0.0,-27.28333767572107,completed,active,team_program_live,,matched_via=normalized_name,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,274,Trofeo Andratx - Pollença,1.1,31.01,1,2026-01-31,2026-01-31,trofeo-pollenca-port-d-andratx,4.0,One-day,sprint-friendly one-day,540.0,125.0,16.930940526612698,0.0,0.0,3.6175,0.20052851108518205,108.2853959859983,0.8393846649484535,0.0,0.0,0.0,0.24710051546391754,0.5646746134020618,0.24510467290751178,0.10793462104411608,0.30618880809920734,0.7918566424297622,1.0,0.4,34.298604035859945,0.0,-34.298604035859945,completed,active,team_program_live,,matched_via=normalized_name,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,97,GP la Marseillaise,1.1,01.02,2,2026-02-01,2026-02-01,gp-d-ouverture,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.66798354266588,0.0,0.0,4.09,0.15491993959869524,83.65676738329543,0.7998067010309279,0.0,0.0,0.0,0.3079896907216494,0.5190077319587629,0.25119587888874284,0.09920563371962403,0.3023867243529664,0.7907160173058898,0.8,0.4,21.16759869632148,46.0,24.83240130367852,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,83,Trofeo Palma,1.1,01.02,2,2026-02-01,2026-02-01,trofeo-palma,4.0,One-day,sprint-friendly one-day,540.0,125.0,17.97501458583164,0.0,0.0,3.1050000000000004,0.2221063388928985,119.93742300216519,0.8823131443298969,0.0,0.0,0.0,0.18105670103092786,0.6142074742268041,0.23849780927707595,0.11740257025851222,0.31031276136893965,0.7930938284106819,0.8,0.4,30.438921593119545,0.0,-30.438921593119545,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-05-09
euskaltel-euskadi,Euskaltel - Euskadi,2026,319,Volta Comunitat Valenciana,2.Pro,04.02-08.02,2,2026-02-04,2026-02-08,vuelta-a-la-comunidad-valenciana,5.0,Stage race,multi-stage race,1133.4,296.0,33.80228947274654,218.4,5.0,3.876,0.6198064426177117,702.4886220629145,0.15,0.49390222984562604,0.5562758978244831,0.0,0.7804123711340206,0.6684643065551449,0.4287327299795762,0.12777348210300107,0.47455617636066694,0.8423668529082,1.0,0.25,147.9382824427388,5.0,-142.9382824427388,completed,active,team_program_live,,matched_via=normalized_name,2026-05-09
