team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,one_day_signal,stage_hunter_signal,gc_signal,time_trial_signal,all_round_signal,sprint_bonus_signal,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,868,AlUla Tour,2.Pro,27.01-31.01,1,2026-01-27,2026-01-31,alula-tour,4.0,Stage race,multi-stage race,650.0,195.0,34.58954546782044,110.0,5.0,1.8825000000000003,0.507845289055371,330.0994378859911,0.15,0.3277229845626072,0.29000341482382497,0.0,0.5235180412371134,0.7972199596382027,0.289268852376331,0.125334013400547,0.3691257978964534,0.810737739368936,1.0,0.25,66.90601800966124,100.0,33.09398199033876,completed,active,team_program_live,,matched_via=normalized_name,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,74,Vuelta a Murcia,2.1,13.02-14.02,2,2026-02-13,2026-02-14,vuelta-ciclista-a-la-region-de-murcia,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.700626781835172,0.0,0.0,4.404,0.14921525672537683,80.57623863170349,0.7735051546391754,0.0,0.0,0.0,0.34845360824742255,0.4886597938144331,0.1708600201645647,0.07682408400065828,0.22082254381663147,0.7662467631449894,1.0,0.3,18.522384611382314,0.0,-18.522384611382314,completed,active,team_program_live,,matched_via=token_overlap,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,9800,UAE Tour,2.UWT,16.02-22.02,2,2026-02-16,2026-02-22,uae-tour,,Stage race,multi-stage race,1155.4944444444445,303.9194444444444,34.23952658855011,249.86944444444444,5.447222222222222,3.833013888888889,0.6404649540503146,742.531046339422,0.15,0.5563752799218601,0.5842148598565164,0.0,0.733206257159221,0.6911739889964122,0.4673470350358339,0.10866211884396311,0.5025357305870968,0.8507607191761289,0.8,0.18,90.96713956718354,84.0,-6.967139567183537,completed,active,team_program_live,overlap_2,matched_via=normalized_name | history_fallback_from=2.Pro | history_missing,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,110,Vuelta a Andalucía,2.Pro,18.02-22.02,2,2026-02-18,2026-02-22,ruta-del-sol,4.0,Stage race,multi-stage race,1135.0,300.0,35.07038875316878,220.0,5.0,3.4375,0.6448380014380815,731.8911316322225,0.15,0.4963550600343053,0.5534849897306027,0.0,0.7239046391752577,0.7117885017506322,0.44521300408587144,0.11190300561121828,0.48712236246638074,0.8461367087399142,0.8,0.25,123.85599065504401,12.0,-111.85599065504401,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,84,Kuurne-Brussel-Kuurne,1.Pro,01.03,3,2026-03-01,2026-03-01,kuurne-brussel-kuurne,5.0,One-day,sprint-friendly one-day,915.0,200.0,16.728202736967194,0.0,0.0,5.486,0.2644596742503294,241.9806019390514,0.6828737113402062,0.0,0.0,0.0,0.48788659793814426,0.38408505154639183,0.19550150013751014,0.060383486910327536,0.22514944494076128,0.7675448334822284,1.0,0.3,55.719288246371576,6.0,-49.719288246371576,completed,active,team_program_live,,matched_via=normalized_name,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,116,Ename Samyn Classic,1.1,03.03,3,2026-03-03,2026-03-03,gp-samyn,5.0,One-day,sprint-friendly one-day,540.0,125.0,10.903397421859172,0.0,0.0,5.162,0.10329416882364337,55.77885116476742,0.7100128865979382,0.0,0.0,0.0,0.44613402061855667,0.4153994845360825,0.18812272055226587,0.06530654925530642,0.22385377399416417,0.7671561321982492,1.0,0.4,17.11643508720991,12.0,-5.116435087209911,completed,active,team_program_live,,matched_via=normalized_name,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,278,POREC Classic,1.2,08.03,3,2026-03-08,2026-03-08,porec-trophy,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,1.0,0.25,0.0,0.0,0.0,completed,active,team_program_live,,matched_via=normalized_name | history_missing,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,276,Istrian Spring Tour,2.2,12.03-15.03,3,2026-03-12,2026-03-15,istrian-spring-tour,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,1.0,0.25,0.0,2.0,2.0,completed,active,team_program_live,,matched_via=normalized_name | history_missing,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,122,Nokere Koerse,1.Pro,18.03,3,2026-03-18,2026-03-18,nokere-koerse,5.0,One-day,sprint-friendly one-day,915.0,200.0,21.186232896003624,0.0,0.0,4.494,0.3334693371088817,305.12444345462677,0.7659664948453608,0.0,0.0,0.0,0.3600515463917525,0.47996134020618564,0.1729096811604659,0.07545656668260858,0.22118245241290843,0.7663547357238725,1.0,0.3,70.15006866796925,0.0,-70.15006866796925,completed,active,team_program_live,,matched_via=token_overlap,2026-05-16
modern-adventure-pro-cycling,Modern Adventure Pro Cycling,2026,146,GP de Denain,1.Pro,19.03,3,2026-03-19,2026-03-19,gp-de-denain,5.0,One-day,sprint-friendly one-day,915.0,200.0,22.91809880585098,0.0,0.0,4.108,0.36029046275782084,329.66577342340605,0.798298969072165,0.0,0.0,0.0,0.31030927835051536,0.5172680412371135,0.16411891288915634,0.08132169651335504,0.2196388444333205,0.7658916533299961,1.0,0.3,75.74647927606931,0.0,-75.74647927606931,completed,active,team_program_live,,matched_via=token_overlap,2026-05-16
