team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,one_day_signal,stage_hunter_signal,gc_signal,time_trial_signal,all_round_signal,sprint_bonus_signal,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,868,AlUla Tour,2.Pro,27.01-31.01,1,2026-01-27,2026-01-31,alula-tour,4.0,Stage race,multi-stage race,650.0,195.0,34.58954546782044,110.0,5.0,1.8825000000000003,0.507845289055371,330.0994378859911,0.15,0.3277229845626072,0.29000341482382497,0.0,0.5235180412371134,0.7972199596382027,0.2440038083462904,0.174586562427571,0.36515494733345044,0.809546484200035,1.0,0.25,66.80770984425298,66.0,-0.8077098442529831,completed,active,team_program_live,,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,106,Étoile de Bessèges,2.1,04.02-08.02,2,2026-02-04,2026-02-08,etoile-de-besseges,5.0,Stage race,multi-stage race,641.2,189.4,15.805960763106615,101.2,5.0,4.158,0.24777596431508042,158.87394831882958,0.15,0.3142324185248714,0.33673542842329857,0.0,0.8167525773195876,0.5721053783310641,0.3101957930916099,0.12528777051000356,0.367552478158224,0.8102657434474672,0.8,0.3,30.895228283757817,31.0,0.10477171624218329,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,18946,Muscat Classic,1.Pro,06.02,2,2026-02-06,2026-02-06,muscat-classic,3.0,One-day,sprint-friendly one-day,540.0,125.0,27.241041946924298,0.0,0.0,2.0500000000000003,0.3460803217014345,186.88337371877464,0.9706829896907216,0.0,0.0,0.0,0.045103092783505216,0.7161726804123711,0.48182825061774426,0.15683767681190364,0.5331483259962642,0.8599444977988792,0.8,0.3,38.570238950292456,1.0,-37.570238950292456,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,57,Tour of Oman,2.Pro,07.02-11.02,2,2026-02-07,2026-02-11,tour-of-oman,4.0,Stage race,multi-stage race,1166.25,305.0,38.18677431010861,251.25,5.25,3.1125000000000003,0.7013216050563859,817.91632189701,0.15,0.5522164451114924,0.5625651807613312,0.0,0.6820231958762887,0.7616252917720288,0.32490827446093806,0.16679153593785961,0.4205467765884652,0.8261640329765395,0.8,0.25,135.14660942715426,67.0,-68.14660942715426,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,74,Vuelta a Murcia,2.1,13.02-14.02,2,2026-02-13,2026-02-14,vuelta-ciclista-a-la-region-de-murcia,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.700626781835172,0.0,0.0,4.404,0.14921525672537683,80.57623863170349,0.7735051546391754,0.0,0.0,0.0,0.34845360824742255,0.4886597938144331,0.4512679792630392,0.10701366990026787,0.45945657048749833,0.8378369711462494,0.8,0.3,16.20234041317053,7.0,-9.202340413170528,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,18947,Figueira Champions Classic,1.Pro,14.02,2,2026-02-14,2026-02-14,figueira-champions-classic,3.0,One-day,sprint-friendly one-day,790.0,175.0,39.46615632554391,0.0,0.0,1.9766666666666672,0.5523674151820623,436.3702579938292,0.9768256013745704,0.0,0.0,0.0,0.03565292096219941,0.7232603092783505,0.4827802839932803,0.15838982655992967,0.5354440193142943,0.8606332057942883,0.8,0.3,90.13313617212238,26.0,-64.13313617212238,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,129,Clasica de Almeria,1.Pro,15.02,2,2026-02-15,2026-02-15,clasica-de-almeria,5.0,One-day,sprint-friendly one-day,915.0,200.0,23.605323832074316,0.0,0.0,3.9300000000000006,0.37141337792062823,339.84324079737485,0.8132087628865978,0.0,0.0,0.0,0.28737113402061865,0.5344716494845361,0.45742157680854895,0.11704620145341794,0.47429509729767455,0.8422885291893023,1.0,0.3,85.87381903384403,50.0,-35.87381903384403,completed,active,team_program_live,,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,16519,Clásica Jaén,1.1,16.02,2,2026-02-16,2026-02-16,clasica-jaen-paraiso-interior,4.0,One-day,sprint-friendly one-day,540.0,125.0,24.841635097291935,0.0,0.0,2.2375000000000003,0.31563402702633647,170.4423745942217,0.9549774484536082,0.0,0.0,0.0,0.06926546391752586,0.6980509020618556,0.47939407437347614,0.15286911211524612,0.5272786555808463,0.8581835966742538,0.8,0.4,46.80667201759029,66.0,19.193327982409713,completed,active,team_program_live,overlap_4,matched_via=normalized_name,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,9800,UAE Tour,2.UWT,16.02-22.02,2,2026-02-16,2026-02-22,uae-tour,,Stage race,multi-stage race,1155.4944444444445,303.9194444444444,34.23952658855011,249.86944444444444,5.447222222222222,3.833013888888889,0.6404649540503146,742.531046339422,0.15,0.5563752799218601,0.5842148598565164,0.0,0.733206257159221,0.6911739889964122,0.33833537196460484,0.15136310790938823,0.41560498933248585,0.8246814967997457,0.8,0.18,88.17863251902853,45.0,-43.178632519028525,completed,active,team_program_live,overlap_4,matched_via=normalized_name | history_fallback_from=2.Pro | history_missing,2026-05-14
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,107,Volta ao Algarve,2.Pro,18.02-22.02,2,2026-02-18,2026-02-22,volta-ao-algarve,5.0,Stage race,multi-stage race,1133.4,296.0,23.620730584041674,218.4,5.0,5.07,0.48291127026838,547.3316337221819,0.15,0.49390222984562604,0.5870490937007717,0.0,0.9342783505154639,0.5530648220190624,0.3759133699874416,0.1211179987512413,0.41470851386879826,0.8244125541606394,0.8,0.25,90.24541402596391,64.0,-26.24541402596391,completed,active,team_program_live,overlap_4,matched_via=token_overlap,2026-05-14
