team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,one_day_signal,stage_hunter_signal,gc_signal,time_trial_signal,all_round_signal,sprint_bonus_signal,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,460,Tour of Sharjah,2.2,23.01-27.01,1,2026-01-23,2026-01-27,tour-of-sharjah,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,1.0,0.25,0.0,18.0,18.0,completed,active,team_program_live,,matched_via=normalized_name | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,97,GP la Marseillaise,1.1,01.02,2,2026-02-01,2026-02-01,gp-d-ouverture,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.66798354266588,0.0,0.0,4.09,0.15491993959869524,83.65676738329543,0.7998067010309279,0.0,0.0,0.0,0.3079896907216494,0.5190077319587629,0.2927230919562212,0.1835296216739516,0.37274104123330926,0.8118223123699927,1.0,0.4,27.165772137002193,0.0,-27.165772137002193,completed,active,team_program_live,,matched_via=token_overlap,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,319,Volta Comunitat Valenciana,2.Pro,04.02-08.02,2,2026-02-04,2026-02-08,vuelta-a-la-comunidad-valenciana,5.0,Stage race,multi-stage race,1133.4,296.0,33.80228947274654,218.4,5.0,3.876,0.6198064426177117,702.4886220629145,0.15,0.49390222984562604,0.5562758978244831,0.0,0.7804123711340206,0.6684643065551449,0.36063383203454963,0.23637991060671473,0.46948772196651434,0.8408463165899542,0.8,0.25,118.13699406159083,2.0,-116.13699406159083,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,106,Étoile de Bessèges,2.1,04.02-08.02,2,2026-02-04,2026-02-08,etoile-de-besseges,5.0,Stage race,multi-stage race,641.2,189.4,15.805960763106615,101.2,5.0,4.158,0.24777596431508042,158.87394831882958,0.15,0.3142324185248714,0.33673542842329857,0.0,0.8167525773195876,0.5721053783310641,0.30481527698046323,0.20230581776973536,0.39933342797780835,0.8198000283933424,0.8,0.3,31.258768162257336,1.0,-30.258768162257336,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,109,Giro di Sardegna,2.1,25.02-01.03,3,2026-02-25,2026-03-01,giro-di-sardegna,,Stage race,multi-stage race,656.0276422764229,193.53536585365853,23.1301579628762,105.3569105691057,4.792276422764227,3.2497682926829268,0.3527298415849212,233.57396975588452,0.15,0.31399565431117427,0.31646085701195803,0.0,0.6892396907216495,0.6623365132728598,0.2771663783381712,0.2342130226905183,0.4133688369756947,0.8240106510927083,1.0,0.3,57.740231669056485,27.0,-30.740231669056485,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=2.1 | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,112,Trofeo Laigueglia,1.Pro,04.03,3,2026-03-04,2026-03-04,trofeo-laigueglia,5.0,One-day,sprint-friendly one-day,915.0,200.0,17.738346094233776,0.0,0.0,5.228,0.2807387465459221,256.87595308951876,0.7044845360824743,0.0,0.0,0.0,0.4546391752577319,0.4090206185567011,0.29330962591503035,0.14463637968792611,0.3342269252063067,0.800268077561892,0.8,0.3,49.3367100361987,0.0,-49.3367100361987,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,277,UMAG Classic,1.2,04.03,3,2026-03-04,2026-03-04,trofej-umag,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,0.8,0.25,0.0,12.0,12.0,completed,active,team_program_live,overlap_2,matched_via=normalized_name | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,54,Strade Bianche,1.UWT,07.03,3,2026-03-07,2026-03-07,strade-bianche,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.7707517488954345,0.0,0.0,0.0,0.3166660530191458,0.48548278718703985,0.28593243329178303,0.17167465294858525,0.35649670179907667,0.806949010539723,1.0,0.18,45.161246765794196,10.0,-35.161246765794196,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,278,POREC Classic,1.2,08.03,3,2026-03-08,2026-03-08,porec-trophy,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,1.0,0.25,0.0,0.0,0.0,completed,active,team_program_live,,matched_via=normalized_name | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,3,Tirreno-Adriatico,2.UWT,09.03-15.03,3,2026-03-09,2026-03-15,tirreno-adriatico,,Stage race,multi-stage race,1155.4944444444445,303.9194444444444,34.23952658855011,249.86944444444444,5.447222222222222,3.833013888888889,0.6404649540503146,742.531046339422,0.15,0.5563752799218601,0.5842148598565164,0.0,0.733206257159221,0.6911739889964122,0.36634039511091976,0.24441042570338103,0.48120686611280306,0.8443620598338408,0.8,0.18,90.28296630399333,35.0,-55.282966303993334,completed,active,team_program_live,overlap_4,matched_via=normalized_name | history_fallback_from=2.Pro | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,276,Istrian Spring Tour,2.2,12.03-15.03,3,2026-03-12,2026-03-15,istrian-spring-tour,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,0.8,0.25,0.0,16.0,16.0,completed,active,team_program_live,overlap_4,matched_via=normalized_name | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,132,Tour de Taiwan,2.1,15.03-19.03,3,2026-03-15,2026-03-19,tour-de-taiwan,4.0,Stage race,multi-stage race,650.0,195.0,20.946173450029377,110.0,5.0,3.2025,0.3298164270287603,214.38067756869418,0.15,0.3277229845626072,0.324024033380526,0.0,0.6936211340206185,0.6696426400505738,0.2814811417586191,0.23679658860071232,0.41874139539888056,0.8256224186196641,0.8,0.3,42.47939844470104,53.0,10.52060155529896,completed,active,team_program_live,overlap_4,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,89,Milano - Torino,1.Pro,18.03,3,2026-03-18,2026-03-18,milano-torino,5.0,One-day,sprint-friendly one-day,915.0,200.0,24.410604084659276,0.0,0.0,4.042,0.3782503116697278,346.09903517780094,0.8038273195876289,0.0,0.0,0.0,0.30180412371134013,0.5236469072164949,0.2926983523867811,0.18517010991237798,0.374365538218631,0.8123096614655893,0.8,0.3,67.47350162372317,0.0,-67.47350162372317,completed,active,team_program_live,overlap_4,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,508,GP Slovenian Istria,1.2,22.03,3,2026-03-22,2026-03-22,gp-izola-butan-plin,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,1.0,0.25,0.0,0.0,0.0,completed,active,team_program_live,,matched_via=normalized_name | history_missing,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,114,Coppi e Bartali,2.1,25.03-29.03,3,2026-03-25,2026-03-29,settimana-internazionale-coppi-e-bartali,5.0,Stage race,multi-stage race,648.0,195.0,21.131054666328502,108.0,5.2,3.22,0.3306976941226723,214.29210579149165,0.15,0.3310205831903945,0.32992960976290653,0.0,0.6958762886597938,0.6667720287881735,0.283342860940313,0.2357814935134523,0.41892968514482626,0.8256789055434478,1.0,0.3,53.080941412955866,29.0,-24.080941412955866,completed,active,team_program_live,,matched_via=token_overlap,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,56,Scheldeprijs,1.Pro,08.04,4,2026-04-08,2026-04-08,scheldeprijs,5.0,One-day,hard one-day,915.0,200.0,12.805852377784209,0.0,0.0,7.353999999999999,0.18450515619357738,168.8222179171233,0.5264046391752578,0.0,0.0,0.0,0.27139175257731973,0.2035438144329898,0.2059482160093364,0.07197642146095759,0.2050979802912793,0.7615293940873837,1.0,0.3,38.56892439567455,50.0,11.43107560432545,completed,active,team_program_live,,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,139,Tour of Hainan,2.Pro,15.04-19.04,4,2026-04-15,2026-04-19,tour-of-hainan,3.0,Stage race,multi-stage race,1180.0,300.0,48.80856553368852,265.0,5.0,2.6,0.8336612375680654,983.7202603303172,0.15,0.5653409090909091,0.531899938184211,0.0,0.615979381443299,0.8192654639175257,0.33762763570708426,0.2897056659943258,0.5079426482825603,0.8523827944847681,0.8,0.25,167.70124489832787,98.0,-69.70124489832787,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-30
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,798,Giro della Provincia Biella,1.2,19.04,4,2026-04-19,2026-04-19,trofeo-torino-biella-giro-della-provincia-di-biell,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7,0.8,0.25,0.0,25.0,25.0,completed,active,team_program_live,overlap_2,matched_via=token_overlap | history_missing,2026-04-30
