team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,one_day_signal,stage_hunter_signal,gc_signal,time_trial_signal,all_round_signal,sprint_bonus_signal,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
totalenergies,TotalEnergies,2026,24922,Classica Camp de Morvedre,1.1,23.01,1,2026-01-23,2026-01-23,classica-camp-de-morvedre,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.8534898445481564,0.0,0.0,0.013513513513513514,0.22328265765765762,0.5810900552066851,0.34216996389225607,0.1374957855928402,0.39870251913880234,0.8196107557416407,1.0,0.4,38.60538915426447,10.0,-28.605389154264472,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,2026-04-22
totalenergies,TotalEnergies,2026,22183,Gran Premio Castellón,1.1,24.01,1,2026-01-24,2026-01-24,ruta-de-la-ceramica-gran-premio-castellon,2.0,One-day,sprint-friendly one-day,540.0,125.0,27.323030907278167,0.0,0.0,2.0300000000000002,0.3473834390260394,187.58705707406128,0.9723582474226804,0.0,0.0,0.0,0.04252577319587636,0.7181056701030928,0.34084316737361875,0.1699160093427835,0.43010988898195873,0.8290329666945876,1.0,0.4,62.206341775846376,6.0,-56.206341775846376,completed,active,team_program_live,,matched_via=normalized_name,2026-04-22
totalenergies,TotalEnergies,2026,411,Clàssica Comunitat Valenciana 1969,1.1,25.01,1,2026-01-25,2026-01-25,gp-de-valence,3.0,One-day,sprint-friendly one-day,540.0,125.0,23.821529103953182,0.0,0.0,2.3233333333333337,0.30257155061700064,163.38863733318036,0.9477878006872852,0.0,0.0,0.0,0.0803264604810997,0.6897551546391752,0.34084535603956756,0.16320779542525773,0.423403345854811,0.8270210037564433,1.0,0.4,54.050333939873724,47.0,-7.050333939873724,completed,active,team_program_live,,matched_via=token_overlap,2026-04-22
totalenergies,TotalEnergies,2026,868,AlUla Tour,2.Pro,27.01-31.01,1,2026-01-27,2026-01-31,alula-tour,4.0,Stage race,multi-stage race,650.0,195.0,34.58954546782044,110.0,5.0,1.8825000000000003,0.507845289055371,330.0994378859911,0.15,0.3277229845626072,0.29000341482382497,0.0,0.5235180412371134,0.7972199596382027,0.26174088767016207,0.1886357951897126,0.38844433924202393,0.8165333017726071,0.8,0.25,53.90743678606599,24.0,-29.907436786065993,completed,active,team_program_live,overlap_5,matched_via=normalized_name,2026-04-22
totalenergies,TotalEnergies,2026,271,Trofeo Calvià,1.1,28.01,1,2026-01-28,2026-01-28,trofeo-calvia,5.0,One-day,sprint-friendly one-day,540.0,125.0,20.38785642330014,0.0,0.0,2.692,0.2570617092813843,138.81332301194752,0.9169072164948454,0.0,0.0,0.0,0.12783505154639174,0.6541237113402062,0.340848106794726,0.15477679020618557,0.4149744405154639,0.8244923321546391,0.8,0.4,36.62416653576187,26.0,-10.624166535761873,completed,active,team_program_live,overlap_5,matched_via=normalized_name,2026-04-22
totalenergies,TotalEnergies,2026,27987,Trofeo Ses Salines TTT,1.1,29.01,1,2026-01-29,2026-01-29,trofeo-ses-salines-felanitx,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.8534898445481564,0.0,0.0,0.013513513513513514,0.22328265765765762,0.5810900552066851,0.34216996389225607,0.1374957855928402,0.39870251913880234,0.8196107557416407,0.8,0.4,30.88431132341158,0.0,-30.88431132341158,completed,active,team_program_live,overlap_5,matched_via=token_overlap | history_fallback_from=1.1 | history_missing,2026-04-22
totalenergies,TotalEnergies,2026,100,Trofeo Serra Tramuntana,1.1,30.01,1,2026-01-30,2026-01-30,deia-trophy,5.0,One-day,sprint-friendly one-day,540.0,125.0,14.971744110565528,0.0,0.0,4.582,0.1599838099492309,86.39125737258468,0.7585953608247423,0.0,0.0,0.0,0.3713917525773195,0.4714561855670104,0.34086220876737355,0.1115545482603093,0.3717629637757732,0.8115288891327319,0.8,0.4,22.434880360433148,7.0,-15.434880360433148,completed,active,team_program_live,overlap_5,matched_via=normalized_name,2026-04-22
totalenergies,TotalEnergies,2026,274,Trofeo Andratx - Pollença,1.1,31.01,1,2026-01-31,2026-01-31,trofeo-pollenca-port-d-andratx,4.0,One-day,sprint-friendly one-day,540.0,125.0,16.930940526612698,0.0,0.0,3.6175,0.20052851108518205,108.2853959859983,0.8393846649484535,0.0,0.0,0.0,0.24710051546391754,0.5646746134020618,0.34085501228450654,0.13361161299935564,0.39381453484213913,0.8181443604526417,0.8,0.4,28.349787534504202,0.0,-28.349787534504202,completed,active,team_program_live,overlap_5,matched_via=normalized_name,2026-04-22
totalenergies,TotalEnergies,2026,97,GP la Marseillaise,1.1,01.02,2,2026-02-01,2026-02-01,gp-d-ouverture,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.66798354266588,0.0,0.0,4.09,0.15491993959869524,83.65676738329543,0.7998067010309279,0.0,0.0,0.0,0.3079896907216494,0.5190077319587629,0.34085853777766845,0.12280605251288661,0.3830116656572165,0.8149034996971649,0.8,0.4,21.815101604479707,10.0,-11.815101604479707,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-04-22
totalenergies,TotalEnergies,2026,83,Trofeo Palma,1.1,01.02,2,2026-02-01,2026-02-01,trofeo-palma,4.0,One-day,sprint-friendly one-day,540.0,125.0,17.97501458583164,0.0,0.0,3.1050000000000004,0.2221063388928985,119.93742300216519,0.8823131443298969,0.0,0.0,0.0,0.18105670103092786,0.6142074742268041,0.3408511883368972,0.1453319299291237,0.4055319326353093,0.8216595797905928,0.8,0.4,31.535274427240207,0.0,-31.535274427240207,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-22
