team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
unibet-rose-rockets,Unibet Rose Rockets,2026,24922,Classica Camp de Morvedre,1.1,23.01,1,2026-01-23,2026-01-23,classica-camp-de-morvedre,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.3869533702516949,0.14527251380167128,0.43548754149044244,0.8306462624471327,0.8,0.4,31.300147770549962,6.0,-25.300147770549962,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,22183,Gran Premio Castellón,1.1,24.01,1,2026-01-24,2026-01-24,ruta-de-la-ceramica-gran-premio-castellon,2.0,One-day,sprint-friendly one-day,540.0,125.0,27.323030907278167,0.0,0.0,2.0300000000000002,0.3473834390260394,187.58705707406128,0.39744845360824743,0.1795264175257732,0.47761275773195877,0.8432838273195876,0.8,0.4,50.62052206241035,40.0,-10.620522062410352,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,411,Clàssica Comunitat Valenciana 1969,1.1,25.01,1,2026-01-25,2026-01-25,gp-de-valence,3.0,One-day,sprint-friendly one-day,540.0,125.0,23.821529103953182,0.0,0.0,2.3233333333333337,0.30257155061700064,163.38863733318036,0.395180412371134,0.1724387886597938,0.4688240979381443,0.8406472293814432,0.8,0.4,43.9527056916952,121.0,77.0472943083048,completed,active,team_program_live,,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,271,Trofeo Calvià,1.1,28.01,1,2026-01-28,2026-01-28,trofeo-calvia,5.0,One-day,sprint-friendly one-day,540.0,125.0,20.38785642330014,0.0,0.0,2.692,0.2570617092813843,138.81332301194752,0.3923298969072165,0.16353092783505155,0.4577783505154639,0.8373335051546391,0.8,0.4,37.19457482232229,8.0,-29.194574822322288,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,27987,Trofeo Ses Salines TTT,1.1,29.01,1,2026-01-29,2026-01-29,trofeo-ses-salines-felanitx,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.3869533702516949,0.14527251380167128,0.43548754149044244,0.8306462624471327,0.8,0.4,31.300147770549962,42.0,10.699852229450038,completed,active,team_program_live,,matched_via=token_overlap | history_fallback_from=1.1 | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,100,Trofeo Serra Tramuntana,1.1,30.01,1,2026-01-30,2026-01-30,deia-trophy,5.0,One-day,sprint-friendly one-day,540.0,125.0,14.971744110565528,0.0,0.0,4.582,0.1599838099492309,86.39125737258468,0.3777164948453608,0.1178640463917526,0.4011514175257732,0.8203454252577319,0.8,0.4,22.678615285716205,2.0,-20.678615285716205,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,274,Trofeo Andratx - Pollença,1.1,31.01,1,2026-01-31,2026-01-31,trofeo-pollenca-port-d-andratx,4.0,One-day,sprint-friendly one-day,540.0,125.0,16.930940526612698,0.0,0.0,3.6175,0.20052851108518205,108.2853959859983,0.38517396907216495,0.14116865335051546,0.4300491301546392,0.8290147390463917,0.8,0.4,28.726460574677624,14.0,-14.726460574677624,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,97,GP la Marseillaise,1.1,01.02,2,2026-02-01,2026-02-01,gp-d-ouverture,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.66798354266588,0.0,0.0,4.09,0.15491993959869524,83.65676738329543,0.38152061855670105,0.12975193298969073,0.4158923969072165,0.824767719072165,0.8,0.4,22.079168390294807,0.0,-22.079168390294807,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,83,Trofeo Palma,1.1,01.02,2,2026-02-01,2026-02-01,trofeo-palma,4.0,One-day,sprint-friendly one-day,540.0,125.0,17.97501458583164,0.0,0.0,3.1050000000000004,0.2221063388928985,119.93742300216519,0.3891365979381443,0.15355186855670103,0.44540431701030925,0.8336212951030927,0.8,0.4,31.99436476620557,20.0,-11.994364766205571,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,106,Étoile de Bessèges,2.1,04.02-08.02,2,2026-02-04,2026-02-08,etoile-de-besseges,5.0,Stage race,multi-stage race,641.2,189.4,15.805960763106615,101.2,5.0,4.158,0.24777596431508042,158.87394831882958,0.33109505629199826,0.14302634458276603,0.3913476368017647,0.8174042910405294,0.8,0.3,31.167419301687023,128.0,96.83258069831298,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
