team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,3,Tirreno-Adriatico,2.UWT,09.03-15.03,completed,25.0,6,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tirreno-adriatico/points-per-rider,tirreno-adriatico,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,4,Milano-Sanremo,1.UWT,21.03,completed,35.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/milano-sanremo/points-per-rider,milano-sanremo,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,13,Giro d'Italia,2.UWT,08.05-31.05,scheduled,13.0,8,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/giro-d-italia/points-per-rider,giro-d-italia,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,29,Giro dell'Emilia,1.Pro,03.10,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/giro-dell-emilia/points-per-rider,giro-dell-emilia,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,32,PostNord Tour of Denmark,2.Pro,29.07-02.08,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tour-of-denmark/points-per-rider,tour-of-denmark,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,54,Strade Bianche,1.UWT,07.03,completed,25.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/strade-bianche/points-per-rider,strade-bianche,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,61,Gran Piemonte,1.Pro,08.10,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/gran-piemonte/points-per-rider,gran-piemonte,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,62,Tour of the Alps,2.Pro,20.04-24.04,completed,41.0,6,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tour-of-the-alps/points-per-rider,tour-of-the-alps,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,68,Memorial Pantani,1.1,12.09,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/memorial-marco-pantani/points-per-rider,memorial-marco-pantani,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,74,Vuelta a Murcia,2.1,13.02-14.02,completed,0.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/vuelta-ciclista-a-la-region-de-murcia/points-per-rider,vuelta-ciclista-a-la-region-de-murcia,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,83,Trofeo Palma,1.1,01.02,completed,30.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/trofeo-palma/points-per-rider,trofeo-palma,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,88,Giro del Lazio,1.1,19.09,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/gran-premio-del-lazio/points-per-rider,gran-premio-del-lazio,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,89,Milano - Torino,1.Pro,18.03,completed,0.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/milano-torino/points-per-rider,milano-torino,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,100,Trofeo Serra Tramuntana,1.1,30.01,completed,0.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/deia-trophy/points-per-rider,deia-trophy,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,109,Giro di Sardegna,2.1,25.02-01.03,completed,26.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/giro-di-sardegna/points-per-rider,giro-di-sardegna,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,112,Trofeo Laigueglia,1.Pro,04.03,completed,15.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/trofeo-laigueglia/points-per-rider,trofeo-laigueglia,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,114,Coppi e Bartali,2.1,25.03-29.03,completed,10.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/settimana-internazionale-coppi-e-bartali/points-per-rider,settimana-internazionale-coppi-e-bartali,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,127,Tour of Magnificent Qinghai,2.Pro,05.07-12.07,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tour-of-magnificent-qinghai/points-per-rider,tour-of-magnificent-qinghai,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,128,Tour de Langkawi,2.Pro,27.09-04.10,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tour-de-langkawi/points-per-rider,tour-de-langkawi,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,129,Clasica de Almeria,1.Pro,15.02,completed,38.0,6,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/clasica-de-almeria/points-per-rider,clasica-de-almeria,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,134,Route Adélie de Vitré,1.1,03.04,completed,12.0,6,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/route-adelie-de-vitre/points-per-rider,route-adelie-de-vitre,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,139,Tour of Hainan,2.Pro,15.04-19.04,completed,50.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tour-of-hainan/points-per-rider,tour-of-hainan,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,145,Paris - Camembert,1.1,31.03,completed,0.0,6,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/paris-camembert/points-per-rider,paris-camembert,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,149,Giro dell'Appennino,1.1,26.04,completed,30.0,6,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/giro-dell-appennino/points-per-rider,giro-dell-appennino,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,152,Tour of Türkiye,2.Pro,26.04-03.05,completed,17.0,7,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tour-of-turkey/points-per-rider,tour-of-turkey,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,160,Coppa Sabatini,1.Pro,10.09,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/gp-citta-di-peccioli/points-per-rider,gp-citta-di-peccioli,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,163,Giro della Romagna,1.1,20.09,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/giro-di-romagna/points-per-rider,giro-di-romagna,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,183,Giro del Veneto,1.Pro,14.10,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/giro-del-veneto/points-per-rider,giro-del-veneto,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,190,Tre Valli Varesine,1.Pro,06.10,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/tre-valli-varesine/points-per-rider,tre-valli-varesine,2026-05-11T12:26:43.697047+00:00,
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,196,Coppa Bernocchi,1.Pro,05.10,scheduled,,,https://www.procyclingstats.com/team-in-race/bardiani-csf-7-saber-2026/coppa-bernocchi/points-per-rider,coppa-bernocchi,2026-05-11T12:26:43.697047+00:00,
