team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
burgos-burpellet-bh,Burgos Burpellet BH,2026,5,Ronde van Vlaanderen,1.UWT,05.04,completed,20.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/ronde-van-vlaanderen/points-per-rider,ronde-van-vlaanderen,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,6,Itzulia Basque Country,2.UWT,06.04-11.04,completed,25.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/itzulia-basque-country/points-per-rider,itzulia-basque-country,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,7,In Flanders Fields,1.UWT,29.03,completed,0.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/gent-wevelgem/points-per-rider,gent-wevelgem,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,11,Liège-Bastogne-Liège,1.UWT,26.04,scheduled,,,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/liege-bastogne-liege/points-per-rider,liege-bastogne-liege,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,14,Volta Ciclista a Catalunya,2.UWT,23.03-29.03,completed,30.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/volta-a-catalunya/points-per-rider,volta-a-catalunya,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,23,Vuelta a España,2.UWT,22.08-13.09,scheduled,,,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/vuelta-a-espana/points-per-rider,vuelta-a-espana,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,40,Ronde Van Brugge - Tour of Bruges,1.UWT,25.03,completed,5.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/classic-brugge-de-panne/points-per-rider,classic-brugge-de-panne,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,47,E3 Saxo Classic,1.UWT,27.03,completed,10.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/e3-harelbeke/points-per-rider,e3-harelbeke,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,48,GP Miguel Indurain,1.Pro,04.04,completed,12.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/gran-premio-miguel-indurain/points-per-rider,gran-premio-miguel-indurain,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,53,Omloop Nieuwsblad,1.UWT,28.02,completed,15.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/omloop-het-nieuwsblad/points-per-rider,omloop-het-nieuwsblad,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,56,Scheldeprijs,1.Pro,08.04,completed,25.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/scheldeprijs/points-per-rider,scheldeprijs,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,57,Tour of Oman,2.Pro,07.02-11.02,completed,36.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/tour-of-oman/points-per-rider,tour-of-oman,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,74,Vuelta a Murcia,2.1,13.02-14.02,completed,0.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/vuelta-ciclista-a-la-region-de-murcia/points-per-rider,vuelta-ciclista-a-la-region-de-murcia,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,75,Dwars door Vlaanderen,1.UWT,01.04,completed,0.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/dwars-door-vlaanderen/points-per-rider,dwars-door-vlaanderen,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,77,Brabantse Pijl,1.Pro,17.04,completed,0.0,6,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/brabantse-pijl/points-per-rider,brabantse-pijl,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,83,Trofeo Palma,1.1,01.02,completed,12.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/trofeo-palma/points-per-rider,trofeo-palma,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,84,Kuurne-Brussel-Kuurne,1.Pro,01.03,completed,0.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/kuurne-brussel-kuurne/points-per-rider,kuurne-brussel-kuurne,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,97,GP la Marseillaise,1.1,01.02,completed,0.0,6,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/gp-d-ouverture/points-per-rider,gp-d-ouverture,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,100,Trofeo Serra Tramuntana,1.1,30.01,completed,0.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/deia-trophy/points-per-rider,deia-trophy,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,110,Vuelta a Andalucía,2.Pro,18.02-22.02,completed,29.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/ruta-del-sol/points-per-rider,ruta-del-sol,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,129,Clasica de Almeria,1.Pro,15.02,completed,20.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/clasica-de-almeria/points-per-rider,clasica-de-almeria,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,132,Tour de Taiwan,2.1,15.03-19.03,completed,23.0,5,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/tour-de-taiwan/points-per-rider,tour-de-taiwan,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,139,Tour of Hainan,2.Pro,15.04-19.04,completed,203.0,7,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/tour-of-hainan/points-per-rider,tour-of-hainan,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,148,Tro-Bro Leon,1.Pro,10.05,scheduled,,,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/tro-bro-leon/points-per-rider,tro-bro-leon,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,152,Tour of Türkiye,2.Pro,26.04-03.05,scheduled,,,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/tour-of-turkey/points-per-rider,tour-of-turkey,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,153,Vuelta a Asturias,2.1,23.04-26.04,scheduled,,,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/vuelta-asturias/points-per-rider,vuelta-asturias,2026-04-22T10:45:15.956071+00:00,
burgos-burpellet-bh,Burgos Burpellet BH,2026,180,Grand Prix du Morbihan,1.Pro,09.05,scheduled,,,https://www.procyclingstats.com/team-in-race/burgos-burpellet-bh-2026/gp-de-plumelec/points-per-rider,gp-de-plumelec,2026-04-22T10:45:15.956071+00:00,
