team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,3,Tirreno-Adriatico,2.UWT,09.03-15.03,completed,25.0,2,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,tirreno-adriatico,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,6,Itzulia Basque Country,2.UWT,06.04-11.04,completed,40.0,2,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,itzulia-basque-country,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,9,Amstel Gold Race,1.UWT,19.04,completed,80.0,3,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,amstel-gold-race,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,10,La Flèche Wallonne,1.UWT,22.04,scheduled,,,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,la-fleche-wallonne,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,11,Liège-Bastogne-Liège,1.UWT,26.04,scheduled,,,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,liege-bastogne-liege,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,14,Volta Ciclista a Catalunya,2.UWT,23.03-29.03,completed,65.0,5,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,volta-a-catalunya,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,15,Tour Auvergne - Rhône-Alpes,2.UWT,07.06-14.06,scheduled,,,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,dauphine,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,17,Tour de France,2.UWT,04.07-26.07,scheduled,,,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,tour-de-france,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,48,GP Miguel Indurain,1.Pro,04.04,completed,11.0,2,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,gran-premio-miguel-indurain,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,57,Tour of Oman,2.Pro,07.02-11.02,completed,109.0,4,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,tour-of-oman,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,64,Brussels Cycling Classic,1.Pro,07.06,scheduled,,,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,brussels-cycling-classic,2026-04-21T03:37:25.138862+00:00,
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,74,Vuelta a Murcia,2.1,13.02-14.02,completed,0.0,0,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,vuelta-ciclista-a-la-region-de-murcia,2026-04-21T03:37:25.138862+00:00,uci_points_missing_after_race
caja-rural-seguros-rga,Caja Rural - Seguros RGA,2026,77,Brabantse Pijl,1.Pro,17.04,completed,220.0,4,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2026/season/points-per-rider,brabantse-pijl,2026-04-21T03:37:25.138862+00:00,
