team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
equipo-kern-pharma,Equipo Kern Pharma,2026,6,Itzulia Basque Country,2.UWT,06.04-11.04,completed,38.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/itzulia-basque-country/points-per-rider,itzulia-basque-country,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,11,Liège-Bastogne-Liège,1.UWT,26.04,scheduled,,,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/liege-bastogne-liege/points-per-rider,liege-bastogne-liege,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,14,Volta Ciclista a Catalunya,2.UWT,23.03-29.03,completed,35.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/volta-a-catalunya/points-per-rider,volta-a-catalunya,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,18,Donostia San Sebastian Klasikoa,1.UWT,01.08,scheduled,,,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/san-sebastian/points-per-rider,san-sebastian,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,23,Vuelta a España,2.UWT,22.08-13.09,scheduled,,,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/vuelta-a-espana/points-per-rider,vuelta-a-espana,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,48,GP Miguel Indurain,1.Pro,04.04,completed,12.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/gran-premio-miguel-indurain/points-per-rider,gran-premio-miguel-indurain,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,68,Memorial Pantani,1.1,12.09,scheduled,,,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/memorial-marco-pantani/points-per-rider,memorial-marco-pantani,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,74,Vuelta a Murcia,2.1,13.02-14.02,completed,0.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/vuelta-ciclista-a-la-region-de-murcia/points-per-rider,vuelta-ciclista-a-la-region-de-murcia,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,83,Trofeo Palma,1.1,01.02,completed,18.0,6,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/trofeo-palma/points-per-rider,trofeo-palma,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,85,Vuelta a Castilla y León,1.1,26.07,scheduled,,,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/vuelta-a-castilla-y-leon/points-per-rider,vuelta-a-castilla-y-leon,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,97,GP la Marseillaise,1.1,01.02,completed,0.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/gp-d-ouverture/points-per-rider,gp-d-ouverture,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,100,Trofeo Serra Tramuntana,1.1,30.01,completed,8.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/deia-trophy/points-per-rider,deia-trophy,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,109,Giro di Sardegna,2.1,25.02-01.03,completed,74.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/giro-di-sardegna/points-per-rider,giro-di-sardegna,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,110,Vuelta a Andalucía,2.Pro,18.02-22.02,completed,4.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/ruta-del-sol/points-per-rider,ruta-del-sol,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,128,Tour de Langkawi,2.Pro,27.09-04.10,scheduled,,,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/tour-de-langkawi/points-per-rider,tour-de-langkawi,2026-04-18T01:23:37.812058+00:00,
equipo-kern-pharma,Equipo Kern Pharma,2026,129,Clasica de Almeria,1.Pro,15.02,completed,0.0,7,https://www.procyclingstats.com/team-in-race/equipo-kern-pharma-2026/clasica-de-almeria/points-per-rider,clasica-de-almeria,2026-04-18T01:23:37.812058+00:00,
