team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
euskaltel-euskadi,Euskaltel - Euskadi,2026,6,Itzulia Basque Country,2.UWT,06.04-11.04,completed,40.0,4,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,itzulia-basque-country,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,14,Volta Ciclista a Catalunya,2.UWT,23.03-29.03,completed,16.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,volta-a-catalunya,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,48,GP Miguel Indurain,1.Pro,04.04,completed,14.0,3,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gran-premio-miguel-indurain,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,74,Vuelta a Murcia,2.1,13.02-14.02,completed,0.0,0,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,vuelta-ciclista-a-la-region-de-murcia,2026-04-21T03:37:50.511898+00:00,uci_points_missing_after_race
euskaltel-euskadi,Euskaltel - Euskadi,2026,83,Trofeo Palma,1.1,01.02,completed,0.0,0,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,trofeo-palma,2026-04-21T03:37:50.511898+00:00,uci_points_missing_after_race
euskaltel-euskadi,Euskaltel - Euskadi,2026,97,GP la Marseillaise,1.1,01.02,completed,76.0,4,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gp-d-ouverture,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,100,Trofeo Serra Tramuntana,1.1,30.01,completed,0.0,0,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,deia-trophy,2026-04-21T03:37:50.511898+00:00,uci_points_missing_after_race
euskaltel-euskadi,Euskaltel - Euskadi,2026,110,Vuelta a Andalucía,2.Pro,18.02-22.02,completed,13.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,ruta-del-sol,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,129,Clasica de Almeria,1.Pro,15.02,completed,3.0,1,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,clasica-de-almeria,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,132,Tour de Taiwan,2.1,15.03-19.03,completed,100.0,4,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,tour-de-taiwan,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,134,Route Adélie de Vitré,1.1,03.04,completed,3.0,1,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,route-adelie-de-vitre,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,139,Tour of Hainan,2.Pro,15.04-19.04,completed,236.0,3,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,tour-of-hainan,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,145,Paris - Camembert,1.1,31.03,completed,6.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,paris-camembert,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,147,Tour du Finistère,1.1,16.05,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,tour-du-finistere,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,152,Tour of Türkiye,2.Pro,26.04-03.05,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,tour-of-turkey,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,153,Vuelta a Asturias,2.1,23.04-26.04,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,vuelta-asturias,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,182,Boucles de l'Aulne,1.1,17.05,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,boucles-de-l-aulne,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,211,Tour of Slovenia,2.Pro,17.06-21.06,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,tour-of-slovenia,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,217,Région Pays de la Loire Tour,2.Pro,07.04-10.04,completed,56.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,region-pays-de-la-loire,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,260,La Roue Tourangelle,1.1,29.03,completed,3.0,1,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,la-roue-tourangelle,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,271,Trofeo Calvià,1.1,28.01,completed,0.0,0,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,trofeo-calvia,2026-04-21T03:37:50.511898+00:00,uci_points_missing_after_race
euskaltel-euskadi,Euskaltel - Euskadi,2026,274,Trofeo Andratx - Pollença,1.1,31.01,completed,0.0,0,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,trofeo-pollenca-port-d-andratx,2026-04-21T03:37:50.511898+00:00,uci_points_missing_after_race
euskaltel-euskadi,Euskaltel - Euskadi,2026,319,Volta Comunitat Valenciana,2.Pro,04.02-08.02,completed,12.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,vuelta-a-la-comunidad-valenciana,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,411,Clàssica Comunitat Valenciana 1969,1.1,25.01,completed,0.0,0,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gp-de-valence,2026-04-21T03:37:50.511898+00:00,uci_points_missing_after_race
euskaltel-euskadi,Euskaltel - Euskadi,2026,513,Tour of Hellas,2.1,06.05-10.05,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,international-tour-of-hellas,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,1499,Gran Premio Primavera-Ontur,1.2,22.03,completed,70.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gran-premio-de-primavera-ontur-copa-de-espana-elit,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,3277,GP Anicolor,2.1,01.05-03.05,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gp-anicolor,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,4008,GP Beiras e Serra da Estrela,2.1,20.05-24.05,scheduled,,,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gp-internacional-beiras-e-serra-da-estrela,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,16519,Clásica Jaén,1.1,16.02,completed,3.0,1,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,clasica-jaen-paraiso-interior,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,16526,O Gran Camiño,2.1,14.04-18.04,completed,40.0,2,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,gran-camino,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,18947,Figueira Champions Classic,1.Pro,14.02,completed,15.0,3,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,figueira-champions-classic,2026-04-21T03:37:50.511898+00:00,
euskaltel-euskadi,Euskaltel - Euskadi,2026,22014,Clásica Terres de l´Ebre,1.1,21.03,completed,160.0,4,https://www.procyclingstats.com/team/euskaltel-euskadi-2026/season/points-per-rider,clasica-terres-de-l-ebre,2026-04-21T03:37:50.511898+00:00,
