team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,2,Paris-Nice,2.UWT,08.03-15.03,completed,40.0,1,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,paris-nice,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,3,Tirreno-Adriatico,2.UWT,09.03-15.03,completed,35.0,2,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,tirreno-adriatico,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,4,Milano-Sanremo,1.UWT,21.03,completed,665.0,3,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,milano-sanremo,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,5,Ronde van Vlaanderen,1.UWT,05.04,completed,145.0,2,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,ronde-van-vlaanderen,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,7,In Flanders Fields,1.UWT,29.03,completed,140.0,3,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,gent-wevelgem,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,8,Paris-Roubaix,1.UWT,12.04,completed,95.0,3,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,paris-roubaix,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,9,Amstel Gold Race,1.UWT,19.04,completed,20.0,1,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,amstel-gold-race,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,10,La Flèche Wallonne,1.UWT,22.04,scheduled,,,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,la-fleche-wallonne,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,11,Liège-Bastogne-Liège,1.UWT,26.04,scheduled,,,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,liege-bastogne-liege,2026-04-21T03:38:11.415136+00:00,
pinarello-q365-pro-cycling-team,Pinarello Q36.5 Pro Cycling Team,2026,13,Giro d'Italia,2.UWT,08.05-31.05,scheduled,,,https://www.procyclingstats.com/team/pinarello-q365-pro-cycling-team-2026/season/points-per-rider,giro-d-italia,2026-04-21T03:38:11.415136+00:00,
