team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,1,Tour Down Under,2.UWT,20.01-25.01,completed,297.0,3,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-down-under,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,2,Paris-Nice,2.UWT,08.03-15.03,completed,208.0,4,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,paris-nice,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,3,Tirreno-Adriatico,2.UWT,09.03-15.03,completed,55.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tirreno-adriatico,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,4,Milano-Sanremo,1.UWT,21.03,completed,185.0,3,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,milano-sanremo,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,5,Ronde van Vlaanderen,1.UWT,05.04,completed,15.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,ronde-van-vlaanderen,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,6,Itzulia Basque Country,2.UWT,06.04-11.04,completed,0.0,0,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,itzulia-basque-country,2026-04-21T03:39:02.982195+00:00,uci_points_missing_after_race
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,7,In Flanders Fields,1.UWT,29.03,completed,325.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gent-wevelgem,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,8,Paris-Roubaix,1.UWT,12.04,completed,0.0,0,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,paris-roubaix,2026-04-21T03:39:02.982195+00:00,uci_points_missing_after_race
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,9,Amstel Gold Race,1.UWT,19.04,completed,5.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,amstel-gold-race,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,10,La Flèche Wallonne,1.UWT,22.04,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,la-fleche-wallonne,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,11,Liège-Bastogne-Liège,1.UWT,26.04,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,liege-bastogne-liege,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,12,Tour de Romandie,2.UWT,28.04-03.05,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-de-romandie,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,13,Giro d'Italia,2.UWT,08.05-31.05,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,giro-d-italia,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,15,Tour Auvergne - Rhône-Alpes,2.UWT,07.06-14.06,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,dauphine,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,16,Tour de Suisse,2.UWT,17.06-21.06,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-de-suisse,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,17,Tour de France,2.UWT,04.07-26.07,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-de-france,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,18,Donostia San Sebastian Klasikoa,1.UWT,01.08,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,san-sebastian,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,19,Tour de Pologne,2.UWT,03.08-09.08,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-de-pologne,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,20,ADAC Cyclassics,1.UWT,16.08,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,cyclassics-hamburg,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,21,Renewi Tour,2.UWT,19.08-23.08,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,renewi-tour,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,22,Bretagne Classic,1.UWT,30.08,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,bretagne-classic,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,23,Vuelta a España,2.UWT,22.08-13.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,vuelta-a-espana,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,24,Il Lombardia,1.UWT,10.10,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,il-lombardia,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,28,Paris - Tours,1.Pro,11.10,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,paris-tours,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,29,Giro dell'Emilia,1.Pro,03.10,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,giro-dell-emilia,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,35,Eschborn-Frankfurt,1.UWT,01.05,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,eschborn-frankfurt,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,36,Lidl Deutschland Tour,2.Pro,19.08-23.08,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,deutschland-tour,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,40,Ronde Van Brugge - Tour of Bruges,1.UWT,25.03,completed,188.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,classic-brugge-de-panne,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,47,E3 Saxo Classic,1.UWT,27.03,completed,84.0,3,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,e3-harelbeke,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,48,GP Miguel Indurain,1.Pro,04.04,completed,10.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gran-premio-miguel-indurain,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,50,Veenendaal Classic,1.1,23.05,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,veenendaal-veenendaal,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,53,Omloop Nieuwsblad,1.UWT,28.02,completed,28.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,omloop-het-nieuwsblad,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,54,Strade Bianche,1.UWT,07.03,completed,30.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,strade-bianche,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,56,Scheldeprijs,1.Pro,08.04,completed,12.0,3,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,scheldeprijs,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,57,Tour of Oman,2.Pro,07.02-11.02,completed,20.0,3,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-of-oman,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,58,GP Montreal,1.UWT,13.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gp-montreal,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,59,GP Québec,1.UWT,11.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gp-quebec,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,60,Baloise Belgium Tour,2.Pro,17.06-21.06,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-of-belgium,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,61,Gran Piemonte,1.Pro,08.10,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gran-piemonte,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,62,Tour of the Alps,2.Pro,20.04-24.04,scheduled,10.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-of-the-alps,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,64,Brussels Cycling Classic,1.Pro,07.06,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,brussels-cycling-classic,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,68,Memorial Pantani,1.1,12.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,memorial-marco-pantani,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,75,Dwars door Vlaanderen,1.UWT,01.04,completed,32.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,dwars-door-vlaanderen,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,83,Trofeo Palma,1.1,01.02,completed,0.0,0,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,trofeo-palma,2026-04-21T03:39:02.982195+00:00,uci_points_missing_after_race
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,84,Kuurne-Brussel-Kuurne,1.Pro,01.03,completed,310.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,kuurne-brussel-kuurne,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,88,Giro del Lazio,1.1,19.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gran-premio-del-lazio,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,89,Milano - Torino,1.Pro,18.03,completed,43.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,milano-torino,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,92,GP de Fourmies,1.Pro,13.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gp-de-fourmies,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,93,Grand Prix de Wallonie,1.Pro,16.09,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,gp-de-wallonie,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,95,Japan Cup,1.Pro,18.10,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,japan-cup,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,100,Trofeo Serra Tramuntana,1.1,30.01,completed,63.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,deia-trophy,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,107,Volta ao Algarve,2.Pro,18.02-22.02,completed,49.0,3,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,volta-ao-algarve,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,111,Tour des Alpes-Maritimes,1.1,22.02,completed,63.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-des-alpes-maritimes,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,112,Trofeo Laigueglia,1.Pro,04.03,completed,5.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,trofeo-laigueglia,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,121,Faun-Ardèche Classic,1.Pro,28.02,completed,11.0,2,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,faun-ardeche-classic,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,122,Nokere Koerse,1.Pro,18.03,completed,30.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,nokere-koerse,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,123,Bredene Koksijde Classic,1.Pro,20.03,completed,70.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,bredene-koksijde-classic,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,128,Tour de Langkawi,2.Pro,27.09-04.10,scheduled,,,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,tour-de-langkawi,2026-04-21T03:39:02.982195+00:00,
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,129,Clasica de Almeria,1.Pro,15.02,completed,5.0,1,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2026/season/points-per-rider,clasica-de-almeria,2026-04-21T03:39:02.982195+00:00,
